指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
11,全北全州德津地区艺术会馆,全州市德津区权三得路407(德津洞2街),#全州#文化空间#参观设施,063-281-6650,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5ad147d2-435b-414c-a16b-5f27c2912eb5.jpg.png,,,大关导游德津艺术会馆优先代管文化艺术演出上午下午夜间灯1日3次代馆使用申请根据申请书电话传真等方法优先许可。※ 上半年大馆自上一年度12月下半月6日起受理报名。使用费用(设施基本使用费/演出/平日1次)标准:上午(08:00~12:00)/下午(13:00~17:00)/夜间(18:00~22:00)~平日演出标准包括照明音响冷暖        ※ 申请书要在开始使用15日之前提交使用费必须在5天前之前向市金库(全北银行)缴纳。 交通指南 从全州I.C(全州出入口)到⇒市厅方向6km左右全州I.C(全州出入口)~圆光大方医院十字路口(左转)⇒国乐院街mx长度为15.5mx高度为12.5m的化妆室(男女):65m2(20坪) 停车设施:200台左右演出场所设备现状舞台设施:音响反射板及舞台 下载 ※德镇艺术会馆舞台平面图下载 ※德镇艺术会馆舞台机器/照明设备下载 ※德镇艺术会馆演出场地座位安排图下载
12,全州美术馆,郴州市完山区丰南门4路25-26 盛源城市塔 B01,#全州#文化空间#参观设施,063-283-8887,http://www.jeonjumuseum.com,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/dc7a422d-8f61-43d8-b681-481e8ee5f2bb.jpg.png,,,全州美术馆是代表全北的第一类私立美术馆(经历认证机构)位于朝鲜时代全罗道中心全罗道监营和丰南门附近设有企划展览馆和常设展览馆教育室野外展示场等。 每年通过企划展和特别展与游客沟通进行教育演讲体验项目的综合文化空间。运营时间:上午10点~下午6点休息:每周一1月1日春节连休
13,全州扇子文化馆,全北全州市完山区京畿田路93号,#全州#文化空间#参观设施,063-231-1774,http://www.jeonjufan.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/d22bb56b-f80e-4e9c-9d82-83e1dbc74b7d.jpg.png,,, 
14,全州市民游乐场,全州市完山区玄武二路38号,#全州#文化空间#参观设施,063-287-2012,http://www.dongmunst.com,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c7ec691d-e5ff-415c-9f0c-5554a4cb3669.jpg.png,,,设施介绍全国首个24小时开放的练习空间。 地区全州市民多种同好会等全州市民均可在年中使用。通过参与型会员制运营市民才能捐献自愿服务等自律运营。 是练习和发表教育及休息等多功能空间。支持市民生活艺术发表及交流。在1楼的聊天空间里任何人都可以随意聊天。以各种小型聚会会议小型发表空间作为开放文化空间。 作为郴州市各类生活艺术信息网络中心支持关系网建设。准专家以上市民文化艺术活性化带来地区文化的生动感。 支持与准专家水平以上的市民生活艺术家和地区艺术家的连接。运营艺术家联系支援及企划项目。通过加强市民生活艺术力量及网络支持确保社区文化生态健康。空间构成及活用计划分类功能构建设施1楼故事娱乐场运营办公室多功能办公空间办公室移动空间聚会咖啡等多功能空间-聚会中心型咖啡屋小型发表空间目的练习场个人练习场团体创作空间-练习室简易更衣室个人物品盒等-舞蹈等练习空间及美术照片等视觉艺术同好会为主的创作空间
15,全州历史博物馆,全罗北道全州市完山区艾草고개路259(孝子洞二街),#全州#文化空间#参观设施,063-228-6485,http://www.jeonjumuseum.org,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/219030ce-d638-46ef-a6f0-0299b53b4e16.jpg.png,,,这里是讲述全州和全州人的地域史博物馆。 ○博物馆沿革 - 2002.5.24 全州历史博物馆开馆(东学农民革命纪念事业会) - 2005. 4.20 第二届全州历史博物馆成立(全州文化爱会) - 2006. 12     上午10点到12点之间团体参观的人很多要等很长时间。     入场前请务必在门口填写团体参观日志。     学生集体参观时带队老师必须陪同。 ○ 设施指南 - 5 层朝鲜时代全州历史的细致全州故事 - 4 层东学农民革命相关展示空间 - 3 层全州历史文化相关主题企划展示空间 - 2 层已故     - b2层收藏库是文物的分类整理保存处理和管理空间。
16,全州自然生态馆,全罗北道全州市完山区校洞951-1,#全州#文化空间#参观设施,063-281-2831,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/07300cdc-e7f2-4203-af15-1b58fb815082.jpg.png,,,以全州的舟山胜岩山美景为背景位于全州川清净水纹向前流淌的美丽自然环境中的全州自然生态博物馆于2008年5月22日开馆与韩屋村一起成为新的旅游景点。  占地面积18766m2地下1层地上3层总面积2074m2采用1级水纯净水质设计并新建了冷气和暖气系统。 此外二层是环保能源体验馆设有可以全面了解能源利用和变迁新再生能源未来能源的12种能源相关体验设施和能源影像室这些设施是全国能源展示馆中种类最多的体验设施。 与此同时在全州川岸边的水边生态公园中还新体验了鱼类隐身处水生植物和水芒沙柳等野生花120505本湿地净化及水生植物。  分为团体20人以上和个人收取300元~2000元不等的参观费上午9点到下午6点可以参观夏季5月~9月1日可延长1小时下午7点可以参观。 此外还准备了可直接触摸活昆虫的体验场为参观者提供全新多样的看点。  在保存了千年历史和秀丽自然景观的全州新观光旅游区全州自然生态博物馆中聆听风和水的洒落的自然故事不知不觉间就会发现人就是自然。
17,全州韩纸博物馆,全罗北道全州市德津区八福路59 (八福洞2街),#全州#文化空间#参观设施,063-281-1530,http://www.hanjimuseum.co.kr/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5b207aa9-5f60-4bed-918d-3260d88bc6ab.jpg.png,,,作为韩国第一个有关纸张的博物馆展示着纸张的历史变迁过程和有关纸张的文物及资料1200多件。 特别是可以亲自制作体验韩纸的体验型主题博物馆。 21世纪是信息和文化的时代... 位于纸张和出版文化发源地全州的泛亚纸博物馆是可前往有趣的纸国旅行的主题型博物馆。 为了展示纸和纸文化的所有东西于1997年10月21日建立的泛亚纸博物馆通过人类纸张文明发展史和相关文物等系统介绍展示而且参观者还亲自观看韩国传统纸张。 [交通信息] 市内公交车: 维修公团 韩化政工 Hanaro Mart方向公交车(70-1 73-1 77 78-4 84 165 路)在泛亚洲paper韩国(或 南阳
18,创作小剧场,全北全州市完山区东门路100 (庆源洞一街),#全州#文化空间#参观设施,063-282-1810,http://www.changjak1961.co.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/86c471a2-1cee-4c9e-8c5a-ff01edd04391.jpg.png,,,创作剧会是该地区最古老的戏剧团体。 1961年在战争余波未平的时期随着讲述悲剧性战争故事的戏剧《我的独白还没有结束》搬上舞台创作戏剧开始了漫长的步伐。 从那以后到现在足足演出了114部作品的年谱告诉我们悠久的传统和一贯的作品倾向让全国屈指可数的话剧团体名不虚传。 创作剧会不是属于某个人的剧团。 由任期制代表和运营团成员协商运营的协议体剧团。 这是创作剧会的目的戏剧是公共事务要对社会做出贡献特杰在系统上明确地表示。 通过戏剧和音乐剧院子剧儿童剧木偶剧打造温暖的世界是创作剧会所向往的明确的标杆。
19,太祖御真博物馆,全北全州市完山区太祖路44 (丰南洞3街) (京畿殿内),#全州#文化空间#参观设施,063-231-0090,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/ff0752f3-4a82-4427-a87d-dd552d70c477.jpg.png,,,2010年11月6日开馆的御真博物馆是全州新的旅游资源以京畿殿和太祖御真为中心通过丰富多样的高格调的展览成为灿烂的朝鲜王室文化遗产的保护管理和弘扬中心。          御真室 - 太祖御真(宝物第931号) - 新临摹的六分御真(世宗英祖正祖哲宗高宗纯宗)展示 - 制作了与京畿停战的卧室相同的模型            企划展示室 - 被指定为世界文化遗产的朝鲜王陵特别展举办期间 - 朝鲜王陵特别展通过517年历经27代的朝鲜王朝兴亡盛衰一目了然的展示形式 – 1872 年的太祖
20,八福艺术厂,全罗北道全州市德津区古雷德尔一街46,#全州#文化空间#参观设施,063-283-9221,http://www.palbokart.kr/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c73b084c-6347-4a63-8cac-1c40f21b3c28.jpg.png,,,八福艺术工厂是全州市作为磁带制作工厂运营停工25年的产业园区内的老化产业设施是作为艺术家创作空间和市民文化艺术乐园的综合文化空间。 空间构成○ 1 园区(18.3.23 开馆):艺术创作.展示空间咖啡馆艺术乐园 - 1 层:创作工作室咖啡馆&艺术店艺术创作空间: 公开招募打造工业园区艺术村-打造艺术工业园区的八福产业园区构建再生平台-为实现亚洲文化中心全州文化特别市而建立艺术创作交流据点-在艺术家和企业居民的合作下形成生产和消费的地区共同体
21,韩国声音文化殿堂,全北全州市德津区小路31(德津洞一街),#全州#文化空间#参观设施,063-270-7800,http://www.sori21.co.kr/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/d3654d4a-d9d0-429a-b967-095be72bf110.jpg.png,,,这里建有全州世界声音庆典等国内•外文化艺术及公演的2000多席规模的大剧场和国际会议场展示场并设有7000席规模的露天演出场和游乐场。  - 国际各种会议和活动空间 - 见面的场所和休息空间 - 可以边看边参与的文化空间 - 世界级文化艺术活动空间
22,韩国传统文化殿堂,全罗北道全州市完山区玄武一街,#全州#文化空间#参观设施,063-281-1500,http://www.ktcc.or.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/7a5fe1eb-8a36-46ea-bd3f-8f089ad4c281.jpg.png,,,韩国传统文化殿堂为了跃升为代表韩国整体性的国际品牌正在推进传统文化的大众化产业化全球化。 我们希望通过传统文化的价值体系化为差异化内容开发奠定基础在创意创意的积极支持下为扩大和弘扬传统文化作出贡献。全州的韩国传统文化殿堂既是品格之都又是人之都是大家享受观光体验的开放空间。 这里拥有在国内外备受瞩目的韩纸(韩纸产业支援中心)韩食(韩食创意中心联合国教科文组织饮食创意城市)韩屋(韩屋村国际慢城)工艺(千年全州名牌)。 作为体验韩纸和17处攻防饮食调理等的韩文化融合据点希望向全世界宣传韩文化。希望把韩国传统文化读出来作为过去和现在未来沟通的地方结合新一代教育和文化产业进行重新诠释创造性地发展韩文化努力培养人才。- 设施教育室 会议室 小型会议室 企划展示室 1·2 公演场 饮食调理体验室 宣传馆(全州韩文化馆) 地下停车场 - 工坊(17个) 陶瓷手 韩纸韩食韩屋韩文韩音等韩文化中心传统文化的宣传场所即将到来? 通过间接体验传统文化提高对韩国优秀传统文化的理解(2)设施现状。 张小:郴州市完山区玄武1路20(开放式1楼2楼)。 棉质:全州文化馆(一层)739.77m2韩文化馆(2层)618.93m2。 主要内容:构筑全州和韩文化故事资料-宣传1F全州文化馆 全州文化的感性传递(通过媒体的知识和信息体验)-构成:欢迎空间/全州故事/全州城市风景(韩国旅游) 感性的信息知识-经验 : 充满共鸣的记忆/ 冥想和休息中的反省性经验 2F 韩文化馆 全州文化的实际传达(实物和形象体验)- 构成:导入部分/拥抱自然和人的敌 实际效用的信息-经验 : 了解韩文化知识/ 了解必要信息 检索输出/ 了解韩文化种类: 比较运营计划家 运营时间1) 休馆:每年1月1日春节及中秋当天13:00 ~ 18:00 运营时间: 09:00 ~ 18:00。 运营人员及工作方式- 运营人员:共3名(1名道森特文化解说员2名)。 参观方式1)个人:运营时间内无需另行限制即可参观2)团体:10人以上(保护展品及维持参观秩序的预约)预约申请•电话预约5日前可预约 预期参观时间:全州文化馆自由参观/展示馆名:个人(15分钟/20分钟)团体(20分钟/40分钟)韩文化馆自由参观/展示馆名:个人(15分钟/40分钟)团体(20分钟
23,韩屋村艺术厅,田州市完山区京畿田路42号,#全州#文化空间#参观设施,063-282-1033,http://cafe.naver.com/woodmge,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/e43c5145-6acf-48a7-8075-c60d32697f2e.jpg.png,,,位于全州韩屋村和东门艺术街之间的韩屋村艺术厅于2008年7月5日开馆每年发表创作初演作品全北第一年连续150天长期演出。 此外这里还以自创剧为主仅供全州韩屋村艺术厅观赏。  举办韩屋村文艺热展-无微不至的声音和东大门艺术街年轻戏剧节等试图进行新的企划截至2013年10月将韩屋村艺术厅更名为2014年10月。
24,韩屋村禅碑文化馆,全州市 完山区 韩志街 102,#全州#文化空间#参观设施,063-288-5124,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0270def3-7b80-4d6a-b902-957150885212.jpg.png,,,这里是100年前漫步全州欣赏传统文化之都全州名扬一时的儒生生活思想和艺术世界的空间。 特别是日本帝国主义强占时期的韩屋村的书生们聚集到一起通过与现在不同的100多年前的韩屋村。 摆脱单纯观看的展示准备了能够体会书生们生活和想法的体验设施和项目展示馆入口处的韩屋村地图记录了全州书生们的足迹为游客提供了与众不同的韩屋村旅游之路。
25,韩屋村历史馆,全州市 完山区 崔明喜路 17-10,#全州#文化空间#参观设施,063-286-5125,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/16d2fe64-2a9e-4a27-a36d-f238e3cf37e6.jpg.png,,,设施概要规模大地(476.1平方米)建筑(98.64平方米) 星期二~星期五10:00~18:001名解说人员运营内容平日(星期一除外)不定期运营(随时)一般解说根据游客的要求灵活地预约(20日)。 ** 团体解说不能在定期解说时间进行。 *** 解说预约只能在历史馆办公时间(10:00~18:00)进行。
26,韩纸产业支援中心,全罗北道全州市完山区玄武一街 20 14-2,#全州#文化空间#参观设施,063-281-1530,http://www.hisc.re.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/36ae0f33-d683-4a55-9d84-3675682d4284.jpg.png,,,韩纸产业支援中心是综合系统地研究开发教育韩纸文化和产业的全国首个韩纸相关R&D研究机构也是同时拥有并利用展示体验宣传教育空间的新的复合型韩国唯一。  2010年建成地下 1 层地上 4 层规模的展示及韩纸体验空间1 层商品展示室韩纸文化体验室韩纸制造体验室2 层宣传馆及企划展示室等。 特别是在 1 层商品展示室展示从生活用品到室内装饰用品服装等多种韩纸产品和应用文化商品诱导普通人的需求将韩纸文化相关企业直接创造收益联系起来韩纸制造室同时有 40 。  2 层宣传馆通过影像等多媒体媒体可看到韩纸的历史和制造过程新材料等多种功能企划展示室计划全年举办多种企划展示活动。  来到韩纸产业支援中心后您就能看到韩纸的一切感受和体验。[周边信息]位于庆源洞原全北道厅2号办公楼紧邻全州韩屋村全州市内圈及全州市政府。
27,工艺工坊村1园区(花熟),全州市 完山区 韩志吉 68-8,#全州#文化空间#传统设施,063-282-7074,http://blog.daum.net/aldud-aldud,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0d5e412e-f89c-4ece-828b-329e5ff22e20.jpg.png,,,韩屋和韩纸组合在一起的美丽空间中是国内外国人体验(团体个人)和教育的空间韩art space是法国时隔145年回归的外奎章阁仪轨(英祖正纯王)。博物馆的全景订购工作和韩纸文化旅游商品的开发正在进行中。
28,全州小里文化馆,全罗北道全州市完山区韩纸街56,#全州#文化空间#传统设施,063-231-0771,http://www.sori.jjcf.or.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5f880add-3e1c-48bd-9fba-9778b49f0a00.jpg.png,,, 
29,全州传统文化研修院,全罗北道全州市完山区鄕校街119-6,#全州#文化空间#传统设施,063-288-9242,http://www.dongheon.or.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/31fcbcdc-6884-429c-9305-bf7e7b761b13.jpg.png,,,由全州东轩张贤式古宅(安彩中间间宅)任实镇参奉古宅(爱宅)井邑古宅(别宅)组成。
30,全州刺绣民俗博物馆,全州市 完山区 崔明喜路 9,#全州#文化空间#传统设施,063-288-6138,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/ecab8e37-196b-4fc1-8f00-b00a6ac67b69.jpg.png,,,没有营业时间周一闭馆周二~周日开馆受到外国游客的热烈响应
31,全州汉壁文化馆,郴州市完山区全州川东路20号,#全州#文化空间#传统设施,063-280-7000,http://www.jt.or.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/58d06b79-7f61-4f3c-b0c1-5a5b04e2fb43.jpg.png,,,从开馆至今全州韩壁文化馆每年接待7~10万名游客是全州韩屋村代表性的综合文化设施于2002年8月10日以全州传统文化中心的名称开馆。 设立的目的是配合全州韩屋村的复兴以市民及游客为对象提供文化服务为全州文化的发展做出贡献。主要事业是表演全州传统艺术的根基——板索里等各种类型的演出艺术为全州文化艺术振兴做出贡献并通过继承韩国传统文化命脉的传统婚礼式传统文化教育体验运营。汉壁文化馆设施汉壁公演场艺术公演的新乐园——汉壁公演场以全罗道的传统音乐和舞蹈以及其他多样的现代音乐舞蹈等表演重新填满展现着广阔的空间。在这里可以看到企划演出和打击乐合作演出等多种融合在一起的演出。华明园意为夫妻和睦相处之意是让人联想起朝鲜时代士大夫两班集的传统韩屋的美丽之处。再现传统韩屋大厅屋顶的传统婚礼场所华明园是能够一起分享深刻祝福的地方不仅是婚礼会婚仪式金婚仪式银婚仪式等宴会还有对传统婚礼的祝福。庆业堂是全州韩墙文化馆的教育体验馆是能够完整感受到传统气息的空间还可以感受传统韩屋的帅气。与年龄无关是可以学习并熟悉多种文化的空间同时也是进行小规模演出的空间。 包括烹饪体验室拌饭体验等为体验饮食的烹饪体验室按组进行体验配有烹饪设施整洁整洁。
32,崔明姬文学馆,全罗北道全州市完山区崔明姬路29,#全州#文化空间#传统设施,063-284-0570,http://www.jjhee.com,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/2cf52540-e1f1-4e8c-8eb4-124d6ef7c0ce.jpg.png,,,《魂不附体》的作者崔明姬为纪念他的文学成就崔明姬文学是全州唯一的文学馆。 作为作家的崔明姬和他的作品被发掘和重新审视事业放在中心位置同时全州市民还开展了可以关注文学和创作的各种文学活动。 而且这里既是地区文化艺术人沟通的空间也是韩屋村内的名胜。
33,传统酒博物馆,全罗北道全州市完山区韩纸街74,#全州#文化空间#传统设施,063-287-6305,http://urisul.net,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/484576b9-0ba9-42e0-b809-9c32d29f41dc.jpg.png,,,传统酒博物馆是寻找传统酒的脉搏家家户户酿酒的加阳酒传统完整保留的空间。 展示销售韩国传统酒学习韩国固有的铸造方式并亲自制作是一座体验型博物馆。 如果在杨和堂了解酿酒的过程陶醉于酒的成熟声音和香气那么在桂英院通过桂英杯可以适当观赏酒道和全国的传统酒。
34,全本文化馆,全罗北道全州市完山区全州川东路24,#全州#文化空间#传统设施,063-231-2212,https://wanpanbon.modoo.at/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/b5541205-d3b2-4047-b686-6aeb70101aec.jpg.png,,, 
35,承光斋,全罗北道全州市完山区崔明姬路12-6,#全州#文化空间#传统设施,063-284-2323,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/83d6ebb2-6663-46c6-849e-006d4da6d372.jpg.png,,,我是大韩帝国皇孙家的胜光宰。
36,江岩书法馆,全罗北道全州市完山区全州川东路74(校洞),#全州#文化空间#传统设施,063-285-7442,http://www.gangamseoye.com,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f05a3efa-b2c1-4472-9d85-2d8d49542139.jpg.png,,,笔尖上的全州气息浓郁是国内唯一的书法专业展示馆由这位古装出身的书法家姜岩宋成勇题写。 展示着秋史金正喜昌岩李三万团员金弘道茶山丁若镛等宋成龙先生一生收集的1千多幅国内著名书法家的作品。 可以陶醉于艺乡书法之城全州的氛围。 堪称全州关卡的湖南第一门和湖南第一城的匾额也是江岩宋成镛先生的题字
37,牧牛轩,全州市 完山区 麒麟大路 88,#全州#文化空间#传统设施,063-286-9285,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5762b7fc-8b3b-4b6b-a81c-9896d7b74d59.jpg.png,,,融入木工艺的匠人气息的木牛轩木牛轩是技能传承人(2005-2号)金钟渊先生的展示馆和工作室是参观传统和现代工艺作品的场所。 展出的作品包括传统木枕茶食药果架子书角造型作品等生活用品和装饰品。
38,古典翻译教育院,全罗北道全州市完山区京畿田路125-7,#全州#文化空间#传统设施,063-283-5251,http://www.itkc.or.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/e45fa680-fdb3-4f7c-8ebf-315237192487.jpg.png,,,为期3年的夜间教育每周有4天。
39,全州传统韩智园,全罗北道全州市完山区韩纸街100-10,#全州#文化空间#传统设施,063-212-9069,http://www.hanzi.co.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/30f968e0-a37b-46c1-8a53-44fe89687fec.jpg.png,,,再现传统韩纸制造技法的全州传统韩纸园全州传统韩纸园是生产蕴含千年精神的纯韩纸的地方。 这里生产的韩纸的80%以上出口到日本剩下的则在国内消费。 与其它纸张不同韩纸是蕴含着祖先匠人精神的珍贵遗产韩纸本身就是一件艺术品。 在这里可以学习韩纸制作过程如制作韩纸织纹晾晒等。
