指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
17,新浦里钓鱼台,江原道春川市史北面芝村街36-6,#江原道#春川#旅游地#休闲运动,033-243-8351,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0016_I_01.JPG&w=454&h=242,免费,可停车免费停车,新浦里钓鱼场是春川湖中面积最大的鲫鱼垂钓场比沿岸大钓鱼更突出左钓潮黄。 在华晨方面12公里、春川大坝、处的史北面到所在地道路右侧的花花绿绿的样子远奖底座所在地几乎就广告牌出现了钓鱼
18,龟钓场,江原道春川市西面玄岩里,#江原道#春川#旅游地#休闲运动,033-242-3199 010-50,http://blog.daum.net/777turtle777,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0031_I_02.JPG&w=454&h=242,免费,可停车免费停车,中游地区衣岩湖的梦想过一会儿放下话。 沿着大大小小的溪谷流着清澈的水。 森林树种也多种多样根据季节的不同可以欣赏到绿叶枫叶雪景等秀丽的景观。 同时这里栖息着各种野生动物。 在龟钓场充分感受到江原道的魅力。
19,月尺钓竿,江原道春川市博士路914-14,#江原道#春川#旅游地#休闲运动,033-243-2271,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0019_I_10.JPG&w=454&h=242,免费,可停车停车免费,四季都能欣赏的月尺钓鱼台位于沿着江原道美丽的江面上行驶的春川。 每个季节全家人一年四季都能享受舒适的休息。 附近江村游乐园动漫博物馆清平寺等周边景点众多适合作为休闲度假场所既可以缓解日常压力又可以充电。
20,原平里钓鱼台,江原道春川市史北面院坪街36-64,#江原道#春川#旅游地#休闲运动,033-243-6820,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0018_I_01.JPG&w=454&h=242,免费,可停车免费停车,元平里是春川湖中游圈与收费坐台垂钓场(世越乐园)一道以连绵的栗树沟沿岸亮点闻名于世。 从春川大坝到华川方向5公里处确认钓鱼台的招牌后急转直下就可以进入钓鱼台。 它位于交通稍显不便但地形条件上受风影响较小的地方在安静幽静的氛围中是钓鱼休闲的好去处。
21,三千钓鱼台,江原道春川市三千洞335-1,#江原道#春川#旅游地#休闲运动,033-251-3145,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0013_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于春川市衣岩湖的三千钓鱼台为方便顾客配备了最新设施可舒适愉快地垂钓。 特别是作为一家人外出游玩的场所人气很高。 主要栖息有鲫鱼鲤鱼香鱼鳗鱼等。 水上坐台有10台左右配有烧烤场是游客经常光顾的地方。
22,风声鹤唳,江原道春川市西面德斗院里,#江原道#春川#旅游地#休闲运动,033-244-8831,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0010_I_01.JPG&w=454&h=242,60000~1700000元,可停车免费停车,位于春川义岩湖入口。1万坪左右地区有10栋水上坐台。 可以钓到土生鲫鱼和 떡鱼鲤鱼香鱼水深在1M左右。 周围有很多江村游乐园动漫博物馆清平寺等旅游景点。 秀丽的景观和便利的设施让这里成为男女老少都可以一起享受的地方。
23,绿色钓鱼台,江原道春川市江仓골街64,#江原道#春川#旅游地#休闲运动,033-255-1314,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0009_I_02.JPG&w=454&h=242,10000元,可停车免费停车,位于春川市三千洞的绿色石墨寺周围环境整洁设施舒适非常适合钓鱼。 凭借着惊心动魄的手感和丰富的鱼资源这里成了喜爱垂钓的姜太公们青睐的地方。 这里有清澈的水和良好的景观人们可以愉快地垂钓。
24,高滩里钓鱼台,江原道春川市春化路337,#江原道#春川#旅游地#休闲运动,033-244-4300,http://cafe.daum.net/gotan-fish/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0006_I_02.JPG&w=454&h=242,50000~700000韩元,可停车免费停车,位于春川市沙北面古滩里的钓鱼场兼备停车场为游客提供便利。 中上流圈里坐落着寄宿家庭。 夜晚可以欣赏美丽的夜空中的星星还可以钓鱼。 这里是无论何时都喜欢用美丽的全景钓鱼的垂钓者喜欢的地方。
25,钓竿,江原道春川市松岩街47,#江原道#春川#旅游地#休闲运动,033-263-5179,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0004_I_01.JPG&w=454&h=242,无,可停车免费停车,沿着庆春国道到春川旅游时道路旁边不断有河流沿着公路延伸。 清平和加平进入江村支那就将和衣岩湖的衣岩堤。 以义岩大坝为中心展开的钓鱼场四季都能钓到自然产的鲤鱼鲫鱼等周边的德斗院鲫鱼岛龙늪等钓鱼场也是众所周知的。 为清理钓鱼场周围只有成人门票收取1000韩元。
26,江村蹦极,江原道春川市江村路256,#江原道#春川#旅游地#休闲运动,033-262-2228 010-54,http://www.gcltime.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0001_I_01.JPG&w=454&h=242,免费,可停车免费停车,作为位于江村的休闲体育中心是江村唯一可进行蹦极运动的地方。 如果体重在30KG以上谁都可以享受与家人和朋友一起访问会更好。 韩国国内最早的拱形蹦极正在进行可以在25米和45米中选择自己想要的高度跳下去尽情享受惊险刺激。 佩戴上身和下身两个保护带可以安全地体验。 在高高的跳台上看到的江村风景也是只有通过蹦极才能感受到的因素之一。
27,春川自行车街,江原道春川市西面新梅里,#江源道#春川#观光地#路,无,http://www.chuncheon.go.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0010_I_01.JPG&w=454&h=242,无,无,四季都可以享受的春川自行车道位于沿着江原道美丽的江面上行驶的春川。 每个季节全家人一年四季都能享受舒适的休息。 附近金瓶山春川休闲运动城空地川灯周边有很多旅游景点适合作为休闲胜地可以消除日常压力重新充电。
28,春内路2号路线,江原道春川市江村九谷街254,#江源道#春川#观光地#路,033-251-9363,http:///www.bomne.co.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0005_I_01.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,可以停车的轻型车1000韩元/中小型2000韩元/大型4000韩元,在春川最具代表性的徒步路线有:春内路席来故事路石坡岭길路勿磨沟里路义岩湖出入口昭阳湖渡口路品杰里五指。 春内路2路线为水芝麻沟口路路线为九曲瀑布停车场→烽火山路→文培村→九曲瀑布停车场距离81公里所需时间3小时左右。
29,浪漫胡同,江原道春川市孝子一洞,#江源道#春川#观光地#路,033-261-1360,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0002_I_01.JPG&w=454&h=242,无,可停车免费停车,春川市孝子洞的落后村庄变成了蕴含艺术和文化的空间在浪漫胡同项目的名下孝子洞居民和地区艺术家一起进行村庄环境改善工作诞生了浪漫胡同项目1号。 春川处处隐藏着的因素使春川成为更加浪漫的空间。
30,江村波涛桥公园,江原道春川市南山面江村里671-5,#江原道#春川#观光地#公园,033-250-3075,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AC0054_I_10.JPG&w=454&h=242,无,可停车免费停车,颠簸桥的正式名称是登仙桥颠簸桥是只能步行的观光型宽2M长58M。 桥的两端是回忆广场和公园。 回忆广场上展示着以前江村摇桥的照片和重现过去大学生聚集的江村繁荣景象的雕塑。
31,博士村,江原道春川市堂山一街,#江原道#春川#观光地#体验村,033-250-4110,http://ccbs.invil.org,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0003_I_08.JPG&w=454&h=242,无,可停车免费停车,这里是高丽时代忠臣申崇谦将军墓地所在地是位于江原道春川市西面的地区名胜。 指的是横跨北汉江上游40公里的西面的23个里。 村前美丽的衣岩湖如画后面是温馨的山峦环绕具有春川特有的自然美和精致美是游客经常光顾的村庄。
32,文培村,江原道春川市南山面江村文培街,#江原道#春川#观光地#体验村,033-261-0088,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0002_I_01.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,可停车景观型1000韩元/小型中型2000韩元/大型4000韩元,从九曲瀑布入口沿着右边的山脊走40多分钟就能到达看似山顶的盆地村这里就是文培村。 这里是2万多坪的盆地这里文培村的乡村风景犹如一幅风景画洋溢着浓浓的乡情。 在村子里人们可以吃到为登山者准备的山菜白饭和在那里饲养的土鸡料理等。 这将是登山中享受的别样乐趣。
33,衣岩湖天空工程,江原道春川市漆田洞485,#江原道#春川#观光地#�t望台,033-253-3700,,至3月至11月开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AP0001_I_01.JPG&w=454&h=242,免费,可停车免费停车,2014年在连接春川市衣岩湖周边金裕贞文人碑和松岩体育城方向的长100米的桥梁中间搭建的Skywalk在6个月内吸引了约30万名访客人气。 创维全路采用透明钢化玻璃让路人感受到如同在半空中行走的惊险。
34,龙华山自然休养林,江原道春川市龙华山路76-117,#江原道#春川#旅游地#自然休养林,033-243-9261,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0002_I_04.JPG&w=454&h=242,成人800~1000韩元/青少年500~600韩元/儿童200~300韩元,可以停车的轻型车1500韩元/小众型3000韩元/大型5000韩元,龙华山自然休养林位于江原道厅所在地春川市东北部28公里处的春川市泗北面古城里和华川郡间洞面及河南面的警戒地区北面的帕拉湖西侧的春川湖。
35,春川地区战绩碑(春川地区战绩纪念馆),江原道春川市水边公园街45,#江源道#春川#观光地#遗址,033-250-3668,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AM0003_I_01.JPG&w=454&h=242,免费,可停车免费停车,这是为了纪念韩国战争时期国军6师团展开激烈防御战的春川地区战斗而制作的战绩碑。 春川战役的大胜得益于地形优势和战斗精神包括炮击击退进入牛头平原的敌人用肉弹攻击摧毁自行火炮并在凤仪山阻止敌军的昭阳江渡河等。 纪念这种传承的春川地区战绩碑和纪念馆位于水边公园可以一览衣岩湖。
36,江村游乐园,江原道春川市南山面江村路34,#江源道#春川#旅游地#游园地,033-262-4464,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AL0001_I_01.JPG&w=454&h=242,免费,无,离首都圈不远可以悠闲地游览的江村游乐园也是大学生的MT场所。 江村游乐园从江村站下车15分钟车程就到了游客可以以大自然为友骑自行车赏景。 除此之外这里还可以享受四轮自行车或踏板车等各种休闲活动。
37,南怡岛,江原道春川市南二岛街1,#江原道#春川#旅游地#岛,031-580-8114,http://www.namisum.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AJ0001_I_10.JPG&w=454&h=242,成人10000韩元/青少年8000韩元/儿童4000韩元,可以停车1日4000韩元,据说东华国歌之岛南怡岛原来是一座丘陵地的小山峰。 现在是文化艺术自然生态的清洁报告。 一年四季举办各种展示项目和文化活动等给小朋友们带来梦想和希望给恋人带来爱情和美好的回忆。
38,动画博物馆,江原道春川市西面博士路854,#江原道#春川#旅游地#博物馆,033-245-6470 6411,http://www.animationmuseum.com,每周一1月1日星期一为公休日时次日定期休馆,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0007_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3200~4000韩元/儿童3200~4000韩元,350辆可停车免费停车,位于江原道春川市西面的动漫博物馆是韩国最早的动漫博物馆也是专门经营动漫的韩国国内唯一的博物馆。 坐落在衣岩湖湖边湖边风光也值得一看。一楼2楼3楼有动漫展室3D立体馆电影院等除动漫博物馆建筑外博物馆外还展出了各种动漫卡通人物。
39,幕国树体验博物馆,江原道春川市新北邑新北路二六四,#江原道#春川#旅游地#博物馆,033-244-8869,http://romantic.chuncheon.go.kr/open_content/page/include/nudle/index.html,春节中秋休假,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0004_I_01.JPG&w=454&h=242,成人800~1000韩元/青少年军人600~700韩元/儿童400~500韩元,20辆可停车免费停车,以春川乡土美食幕国水为主题的体验博物馆建成旨在实现幕国水的名牌化。 春川幕国树博物馆有荞麦展览馆和幕国树馆。 荞麦展示馆可以确定荞麦的由来和分布荞麦的效果邮件的历史以及与荞麦相关的专门资料等。 另外幕面棺材中还展示着幕面的种类和幕面制作方法和幕面的由来等幕面诞生至今的历史。
40,国立春川博物馆,江原道春川市牛石路70,#江原道#春川#旅游地#博物馆,033-260-1500,http://chuncheon.museum.go.kr,1月1日 每周一,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0003_I_08.JPG&w=454&h=242,免费,100辆可停车免费停车,位于江原道春川市牛石路的国立博物馆于2002年10月30日开馆为寻找地区文化的原型和特点并广泛宣传该博物馆举办研究和展示及教育等多种文化活动提高地区社会的关心和文化水平。 停车场宽敞使用方便。
41,江原道山林博物馆,江原道春川市花木院街24,#江原道#春川#旅游地#博物馆,033-248-6690~1,http://www.gwpa.kr,每月第一周星期一1日春节中秋节当天,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0002_I_01.JPG&w=454&h=242,免费,200辆可停车免费停车,江原道立花木园内的山林博物馆中展示着森林体验馆潮水类标本鱼类标本和栖息于中生代的化石等。 在江原道可以看到的植物和鸟类哺乳类等在详细说明的同时还可以接触到各种昆虫和蘑菇等是能够直接学习自然知识的学习空间。
42,江原警察博物馆,江原道春川市新샘밭路三六一,#江原道#春川#旅游地#博物馆,033-241-3295,https://www.gwpolice.go.kr/hall/sub01/sub01_01_01.jsp,每周一政府指定公休日,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0001_I_01.JPG&w=454&h=242,免费,20辆可停车免费,江原警察博物馆设立朝鲜成宗2年葡萄厅从用于治安活动的腰鼓到日帝时期的民族受难期和6.25战争时牺牲保护居民的哀欢遗物等
43,春川木偶剧场,江原道春川市永西路3017,#江原道#春川#旅游地#文化,033-242-8450 033-24,http://www.cccf.or.kr,每周一,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0004_I_10.JPG&w=454&h=242,免费,120辆可停车免费停车,春川市为树立文化之都春川的地位推进春川木偶剧场建设于2001年5月4日在春川市沙农洞开馆。 作为国内唯一以木偶剧为主的儿童剧场春川木偶剧院通过高水平的演出节目引领着国内木偶剧界的发展为儿童提供了积极的文化供给者功能。
44,春川艺术广场,江原道春川市西部大成路71,#江原道#春川#旅游地#文化,033-243-4360,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0003_I_01.JPG&w=454&h=242,免费,20辆可停车免费停车,春川市艺术广场为春川市民提供了参与艺术文化的机会位于市政府大楼后面公共交通便利附近有春川市内的中学高中和居住地公共机构商业大厦等。
45,金裕贞文学村,江原道春川市西里路25,#江原道#春川#旅游地#文化,033-261-4650,http://www.kimyoujeong.org,每周一1月1日春节中秋当天,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0002_I_01.JPG&w=454&h=242,免费,30辆可停车免费停车,金裕贞文学村是韩国近代短篇文学中不可或缺的作家金裕贞的痕迹所在如春天春天山茶花摘金豆地等。 江原道春川市西里村是金裕贞的故乡这里建成的金裕贞文学村复原了金裕贞的故居设立了展览馆纪念金裕贞的生平和作品世界。
46,KT&G商场,江原道春川市体育城街399号街,#江原道#春川#旅游地#文化,033-818-3200,http://www.sangsangmadang.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0001_I_04.JPG&w=454&h=242,免费,可停车免费停车,在望向湖畔之城春川名胜——衣岩湖的三千洞山坡上有一座像张开翅膀的蝴蝶一样低垂的建筑。 该建筑于1980年5月24日建成江原儿童会馆。 江原道为纪念1979年世界儿童年而建造的建筑是20世纪韩国建筑大师已故金寿根(1931~1986)的作品。 春川KT&G想象广场拥有可以让新进艺术家自由进行创作活动的创作空间通过演出及展示文化艺术讲座等与市民进行多种沟通。
47,轨自行车,江原道春川市金裕贞路一三八五,#江原道#春川#旅游地#休闲运动,033-245-1000,http://www.railpark.co.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0011_I_01.JPG&w=454&h=242,免费,100辆可停车免费停车,给停滞的京春线注入新生命奔跑的春川铁路自行车不仅在拥有回忆和浪漫的江村而且在能够感受抒情文学的金裕贞主题隧道和秀丽的北汉江美景的江村。
48,光明钓鱼台,江原道春川市博士路71-11,#江原道#春川#旅游地#休闲运动,033-243-5127,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0008_I_01.JPG&w=454&h=242,平日60000韩元/周末80000韩元,8辆可停车免费停车,水淹树与各种水草相映成趣水情较浅作为鲫鱼垂钓场所具有良好的条件。 坐台设施齐全便于垂钓者使用也适合普通出游的游客使用。 注意事项是:由于睡莲长得很长经常被垂钓绳缠住或挂在钓钩上需要注意垂钓。
49, 거두头垂钓场,江原道春川市东内面巨头里312-3,#江原道#春川#旅游地#休闲运动,033-262-6995,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0005_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于春川市东内面 거두头里的淡水钓鱼场一年四季都可以钓鱼。 这里的优点是可以在清净城市春川的幽静的地方欣赏到美丽的风景可以舒适地钓鱼因此对喜欢钓鱼的姜太公来说这里相当受欢迎。
50,江村休闲生存,江原道春川市南山面芳谷里385号,#江原道#春川#旅游地#休闲运动,010-4858-0255,http://www.gcleisure.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0003_I_01.JPG&w=454&h=242,免费,不能停车,江村离首都不远可以自由自在地游览具有以自然为友骑自行车欣赏风景的优点。 除此之外还可以享受四轮自行车或踏板车等各种休闲活动其中最受团体游客欢迎的游戏是具有生动现实感的生存游戏。
51,春内路4路线,江原道春川市西面锦山二街21,#江源道#春川#观光地#路,033-251-9363,http://www.bomne.co.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0007_I_01.JPG&w=454&h=242,无,无,春内路由春川最具代表性的徒步路线组成石坡岭~너路~水磨~九里路~义岩~湖~出入口~昭阳~呼渡路~品格利欧~~~乙路等共6条。春内路4路线的路线是西面水边公园→雪늪渡口→둑路→成在峰→村路→五味渡口(警察忠魂塔前)→新梅大桥→虎山。 其总距离为142公里左右所需时间约为5个小时。
52,春内路3路线,江原道春川市堂林内街81,#江源道#春川#观光地#路,033-251-9363,http://www.bomne.co.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0006_I_02.JPG&w=454&h=242,无,无,春川是湖水和山相融的徒步的最佳目的地最具代表性的徒步路线是春川。 春内路3路线分别是唐林小学→礼贤医院→石坡岭→德斗院(明月路)→水레(德斗院2里~1905号巴士站前)→长节公信息化。 需要5个小时左右。
