指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
11,咸德海水浴场,济州特别自治道济州市朝天邑咸德里 1008-1,#海水浴场#ACTIVITY#I#明朗#夏天,064-728-3394,,咸德综合状况室:064-728-3989(海水浴场开放时间:2018.06.23~09.02 期间),https://api.visitjeju.net/photomng/imgpath/201804/30/f4bb8c53-a598-4523-a34b-e591aa0f0a0e.jpg,,,在济州偶来19号路线上走一走就能看到拥有宝石的咸德海水浴场。 位于济州市朝天邑咸德里的咸德海水浴场因位于海水浴场旁的火山丘而被称为咸德西牛峰海边。 虽然距离济州机场只有20公里但抵达这里的瞬间感觉像是来到了其他国家。 与从入口开始欢迎的高个子椰子树白色沙子形成鲜明对比的祖母绿的大海沙子和海带也透着透明的清澈的水和白色的波涛。在济州岛众多的海水浴场中如果选出海色最美的3处那就是协才金宁和咸德海水浴场。 水清水深浅适合作为家庭单位的避暑胜地。 海水浴场西侧用云梯连接可以体验到在海上行走的感觉。 在适合郊游的草坪上夜晚也可以安心享受大海的散步路非常有魅力因此四季游客络绎不绝。 特别是夏天还进行夜间开放可以在海上享受济州的蓝色夜晚。紧挨着的徐雨峰一到春天就用黄色的油菜花夏天用绿色每个季节都呈现出如画般的风景。 登上瑞雨峰可以尽情享受将咸德海水浴场尽收眼底的好事。 天气好的话汉拿山和东边的火山丘也能够俯瞰到最佳的景观。周边景点有北村石哈尔邦公园七本崇4.3纪念馆朝天湾世东山金宁海水浴场万丈窟等。​ ​​​​​​​​​​
12,天地渊瀑布,济州特别自治道西归浦市西烘洞 666-1,#瀑布#夜#景观#土#父母#晴#夏,064-760-6304,,9:00 ~ 22:00(截止截止截止日期21:20) 18年7月开始实施,https://api.visitjeju.net/photomng/imgpath/201804/30/9533606a-132c-430d-990b-f7ff12d37725.jpg,成人2.00元/儿童青少年1.00元/残疾人免费,,西归浦在其他地区涌出大量龙泉地下层分布着不易渗水的水性凝灰岩相对其他地区瀑布较多。 在这样的西归浦瀑布中无论规模还是景观方面都有游客驻足的地方。 天地渊意为天地结合而成的莲花池瀑布长22米下面的池子深20米可以说是天地结合的莲花池。在天池渊瀑布西南方向古石松栗树山茶树等常绿树和兰种郁郁葱葱形成一片荒凉的林地盛夏时节也凉爽宜人玄武岩。 生长在这片树林中的胆八树树因此处是北方限界线被指定为天然纪念物163号乱带林本身也被指定为天然纪念物379号因此伐木植物采集野生动物捕获将受到严格保护。在瀑布落下的20米深的池塘里以无胎鳗栖息而闻名无胎鳗是从海上产卵返回河流或湖泊的回游性鱼类。 白天躲在河流或湖水深处晚上到浅处捕食大的有2米长重达20公斤。 天地渊瀑布是无太鳗鱼栖息分布的北方限界线因此被指定为天然纪念物27号。 如此一来天地渊瀑布可以说是天然纪念物的宝库。位于散步路尽头的天地渊瀑布到晚上10点为止进行夜间开放晚上看到的瀑布也很壮观。天地渊瀑布还流传着以下传说。旧时李朝中叶左右的事。村子里住着一位漂亮心灵美观举止文静地女子。 她的名字叫顺天村里的小伙子们把她放在心上。 这样的小伙子中也有名门。 可是顺天十九岁了
13,济州节水连休养林,济州特别自治道济州市凤开洞山 78-1,#休养林#步行#登山#休息#治愈#朋友#情侣#赫林#夏天,064-728-1510,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/97a0d82e-7651-419e-a5fd-70d2ad000924.jpg,残疾人入场费及停车费,,节物缘休养林一望无际的杉树尽收眼底清新的空气和森林带来的治愈感极佳是许多游客喜爱的济州市景点。 雾天营造梦幻氛围雨天不少游客选择到节物年休养林游玩。 节物连休林的步行街坡度低平缓方便儿童老弱病残者使用。位于奉盖洞中山间市内需要20多分钟车程。 天然林100公顷人工林200公顷占地约300公顷的杉树林中除杉树外还栖息着松树桑树乌鸦和獐子等动物。节物之名源于附近有药效良好的水。 之前干旱时也不干涸据说是居民食用的水量丰富对神经痛及肠胃病有特效。 目前也在济州岛定期进行水质调查。附近以节物岳闻名有大竹 큰和族银带나两个 오 오的肋下留有圆形火球造型奇特。 节物岳海拔697米到山顶只需1小时左右就可以往返。休养林内设有�t望台登山路野营场等便利设施和健身设施儿童游乐场野外教室自然观察院等教育设施周边值得一去的地方是芦楼生态观察院自然休养。​​​​​​​​​​​
14, 비자子林,济州特别自治道济州市旧左邑坪垈里 3161-1,#步行#登山#I#Hream#夏天,064-710-7912,,17:00 禁止携带入场全年无休宠物或食物,https://api.visitjeju.net/photomng/imgpath/201804/30/5bece335-6890-45df-b394-d767d85a8929.jpg,普通门票:3.00元/残疾人优惠门票:免费,,维萨林是济州岛的首个森林浴场是单一树种的森林中规模最大的。2800多棵树龄在500至800年的古 비자树掩天蔽日是一片非常独特的森林被指定为天然纪念物374号受到保护和管理同时也吸引了许多游客前来观赏。沿着 비자树丛中的小路走绕过树林有两条路一条是需要40多分钟的短道一条是需要1小时20多分钟的长道。短程可乘坐婴儿车和轮椅通行男女老少均可毫无负担地享受维萨森林的自然风光。林的边缘有被称为维萨爷爷的千年维萨树树高14米胸围6米树宽15米树龄820年以上是济州历史最悠久的维萨树。维萨林森林禁止携带宠物食物。​​​​​
15,伊霍特乌马灯塔,济州特别自治道济州市梨湖一洞374,#灯塔#日落#景观#土#情侣#晴#秋,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/62a7dfa5-813d-49bd-a3bc-7d23429c9c53.gif,,,用济州的驯马形象制作的灯塔红马和白马分别在二湖港的内侧防波堤和外面的防波堤上。 该灯塔与蔚蓝的大海背景相映成趣很多人都喜欢去济州岛拍摄风景和回忆照片。 这两个马灯塔从很远的地方也可以看到这里曾是李昊泰于海边的地标性建筑。​
16,山脚,济州特别自治道济州市朝天邑校来里38,#爬山#步行#登山#朋友#晴#秋天#优秀旅游企业,064-783-9900,,3月-10月 开盘 09:00 售票截止 18:00 / 11月-2月 开盘 09:00 售票截止: 17:00 / 参观时间:40 分钟/全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/c44bb372-4717-4e89-ad89-2c5dba285168.jpg,残疾人4.0000元,,山굼是被指定为济州特别自治道天然纪念物第263号的火山口。 굼是指火山体的火山口。 虽然是360多座汉拿山寄生火山之一但与其他寄生火山不同它拥有巨大的火山口与山体相比火山口的大小较大这一点非常特别。这里也是各种珍稀植物存在于一个空间的火山口植物园。 山굼的植被是能够类推汉拿山东部原植被的重要线索因此也受到保护。 地质学价值也很高在很多方面学术价值相当高。沿着陡峭的路一直往上走很快就能到达山顶用安装在山顶的望远镜可以更详细地看到周围的城山日出峰和包括火山丘在内的各种景观。在秋天的山脚迎着风站在紫芒地里享受济州秋天的人们熙熙攘攘。 盛开的紫芒形成的银色波浪与蓝天相映成趣。 但不仅是秋天每个季节都绽放着各种各样迎接各自季节的植物四季都有新的风景无论四季中哪个季节来访都会有精彩的景观展现在眼前。
17,涯月海岸道路,济州特别自治道济州市涯月邑涯月海岸路,#日落#海边#干菜#情侣#晴#夏天,064-728-3394,,,https://api.visitjeju.net/photomng/imgpath/201804/30/2fc1d5d9-d5af-43a1-ae26-c72afa3b544e.jpg,,,沿着西北部海岸线延伸的涯月海岸公路是能够欣赏到济州大海风景的9公里长的兜风路线。 自行车专用道和徒步道也一应俱全除了兜风以外还可以通过自行车道和散步等方法享受各种乐趣。特别是济州环状自行车道上深受自行车旅行者的喜爱。这里也是可以体验海岸路和森林路的济州偶来路16号路线高内-广宁偶来的一部分。 沿着之字形连接的涯月海岸路可以看到日落美丽的盐村九严里的石盐田等多姿多彩的景点。 这里有很多各式各样的美食店和咖啡厅住宿设施等因此作为游客的济州旅行路线也很受欢迎。​​​​​​​​​​
18,济州金宁味路公园,济州特别自治道济州市旧左邑金宁里山十六,#主题公园#孩子##春#优秀旅游公司,064-782-9266,,春天(3~6月)9点~18点30分夏天(7~8月)9点~19点(夜间开业时间22点)秋天(9~11月)9点~18点冬季(12~2月)9点~17点30分,https://api.visitjeju.net/photomng/imgpath/201804/30/5ca6b9e5-0ea7-405a-86eb-a3588f5c9ed0.gif,残疾人优惠门票3.80元,,沿着高3米的拉兰迪树组成的迷宫的水壁可以寻找迷宫的金宁迷路公园在这里可以欣赏到亮着红色火山岩泥心情舒畅缓解压力的散步。 金宁迷宫公园的迷宫是济州岛的形状可以寻找象征济州的7个故事体验迷宫的乐趣。很多街猫都是吃着公园代表给的饭才定居下来喜欢猫的人还可以发现另一种魅力。​​​
19,生态乐园主题公园,济州市朝天邑繁荣路 1278-169,#主题公园#孩子#明亮#秋天,064-802-8000,,冬季8点40分~17点,https://api.visitjeju.net/photomng/imgpath/201804/30/b3fd176a-4a05-4d42-a20f-d3e1e22873ce.jpg,成人 14.000 韩元/青少年 12.000 韩元/儿童 10.000 韩元/路径残疾人外 10.000 韩元,,Ecoland是乘坐1800年代蒸汽机车BOLDWIN机种模型的火车体验约4.5km距离的곶子曰的主题公园。곶字曰是森林的意思是곶和石头地的意思结合在一起的济州话是指火山喷发时熔岩分裂成块形成凹凸地形后形成的独特的森林。 它的保温和保湿效果极佳多种气候带的植物共存具有很高的学术价值具有观察生命力和神秘的独特氛围。ECOLAND分为不同主题的车站主车站可以使用便利设施ECOBRID地区有规模较大的湖泊和水上乐园Lakeside车站有风车和牧草地带来的异国风情。 野餐花园站可以欣赏到儿童们玩耍的儿童城和곶扎瓦森林路的生态旅游区薰衣草绿茶和玫瑰花园站则可以观赏到集草本玫瑰绿茶为一体的欧式。Ecoland四季都有不同的气氛春夏绿荫和温暖的阳光秋天画着花花绿绿的波斯菊和紫芒的波浪冬天可以看到雪白的雪景。​​​​​​​​​​​​​​​​​​
20,星辰,济州特别自治道济州市涯月邑凤城里山59-8,#日落#夜#升#走#登山#I#春天,064-728-2752,,全年无休(没有预防活佛入山控制期),https://api.visitjeju.net/photomng/imgpath/201804/30/bafab731-406a-42cd-a9e1-45d2b5928da1.jpg,,,新星岳麓是巴里梅奥姆躺着的岳麓唐奥姆金奥姆等众多岳麓密集的西部中山间岳麓地带中最具代表性的一座。晚空如晨星孤零零站着故名。风景优美城二市突木场孤立树附近是游客经常光顾的火山丘之一。虽然有轻微的倾斜但高度并不高海拔519.3米(到山顶所需时间在30分钟左右)登上山顶可以看到济州岛西侧美丽的海边和飞羊岛。登城以南峰为顶点西南向东北方向每个登城都有山峰。西边有五座山峰呈三台机状开得很宽北边是凹陷的像星标一样圆圆的标枪。整体形成草地北四面形成部分杂树西北四面形成公墓。每年正月十五前后新星节都会举行代表济州岛的野火庆典。在济州岛很久以前就有农闲时期为了放牧牛去除旧草和害虫的放火文化。新星岳野火节是继承这种畜牧文化的庆典整个岳野被点燃的情景十分壮观。从1997年开始到2015年被文化体育观光部指定为优秀庆典。秋天紫芒盛开蔚为壮观。 一年四季来的游客很多附近的停车场都整修得很好。​​​​​​​​​​​​​​​​​
21,Play K-Pop,济州特别自治道西归浦市色达洞 2864-36,#室内#主题公园#朋友#情侣#B#雪#冬季#优秀旅游公司,064-780-9000,,09:00 ~ 19:00 - 入场时间截止1小时前。 (3月12月第一个星期二 定期休馆日),https://api.visitjeju.net/photomng/imgpath/201809/18/c705ea5a-208d-44d5-8cf6-7a91d2bc1ede.jpg,残疾人优惠门票12.000元,,位于1楼的全息图公演场国内外顶级明星将登台表演。 在各个体验区与PSYG-Dragon等明星一起拍摄各种照片的观众们的声音格外兴奋。 从为了买票排队等待的瞬间开始接受bigbang的招呼入场的此地是位于中文观光园区的世界最大的K-POP体验馆PLAY KPOP。看完演出后走进2楼展示着韩国大众音乐的变迁史和李美子赵容弼徐太志孩子们南进赵成模等韩国著名明星的专辑和奖杯。 听着唱响整个中央大厅的她们的歌曲走着走着就会发现她们和G-DragonAOA雪炫亲切合影或与金范洙尹民秀合唱向Bigbang学习等。PLAY KPOP还提供了与ICT博物馆相匹配的最尖端技术的VR体验。 在位于一层的PLAY VR中可以尝试在手臂和腿上佩戴装备在虚拟世界中体现自我的全身识别VR。 体验者可以在PLAY VR提供的虚拟现实中探险丛林或成为魔法师击退歹徒搜索废弃房屋等。
22,牛 쇠,济州特别自治道西归浦市下孝洞995,#溪谷#休食#治愈#ACTIVITY#情侣#明朗#夏天,064-732-1562,,,https://api.visitjeju.net/photomng/imgpath/201807/12/2a73a721-cd77-41aa-9efc-b061c55bca90.jpg,,,铁索 효位于孝顿川的尽头据说从汉拿山流下来的水柱正流向济州岛南部。孝顿川的淡水和海水相遇形成的深坑就是牛 쇠。牛牛意味着将牛卧着模样的莲花池削掉的结尾。铁索깍在阳壁上奇岩怪石如屏风般环绕上面是茂密的森林可以感受到来自神秘山谷的感觉。以前这里曾是消旱的祈雨堤是一片神圣的土地不能随意转石戏水。堵住溪谷入口制造天日盐还用作炮口。映照在牛깍岩石上的淡水分外碧绿清澈与深灰色的奇岩怪石形成绝景。之前运营了透明皮艇Teow体验等水上休闲活动但是为了保护自然景观现在还没有实行。只是因为是连接济州偶来5号路线和6号路线的地方所以偶来者较多。沿着步行街继续走下去就会到达以黑沙闻名的河晓牛角海滩。在7~8月之间将举行牛 쇠庆典可以体验徒手抓鱼走小路等各种活动。铁牛깍中流传着一段深情的传说距今约350多年前李晓村有一位富家可爱的独生女和她家长工同岁的儿子在身份上彼此的爱都没能开花结果。悲观的小伙子投奔位于牛角尖上游的南内所自杀。少女得知这一情况后对男子的死亡感到悲伤并请求尽快找到尸体在牛蹄铁祈愿石上祈祷了100天结果下起了大雨小伙子的尸体在溪流中飘落少女的尸体。此后河孝村居民为了慰藉可怜的少女小伙子的灵魂在村子东侧的鹰池洞山上建党供奉着自己的灵魂为守护村子的平安与繁荣祈祷。
23,早熟牧场,济州特别自治道济州市月坪洞155,#体验观光#孩子#明亮#春天,064-727-2545,,每周二休息,https://api.visitjeju.net/photomng/imgpath/201804/30/164c6545-7767-4ba9-8c7e-ca45fa3609d9.jpg,,,早间美牛牧场位于济州市中山间这里有用有机牛奶做成的奶制品在老街的草地上拍照效果不错是游人一拥而上的地方。开放时间是上午10点到下午5点30分无需预约没有额外的入场费。酷似奶牛的椅子和各色的风车等拍照区更增添了草原上拍照的乐趣。早间美牛农场在2008年酪农振兴会的酪农体验牧场2009年被农林畜产食品部认证为环保牧场。如果提前预约还可以体验给牛做干草给牛犊喂牛奶等与动物交流用牧场挤牛奶制作乳制品。体验费是干草周期1000韩元牛奶周期3000韩元。​​​
24,万丈窟,济州特别自治道济州市旧左邑金宁里万丈窟路182,#洞窟#景观#土#I#흐#夏,064-710-7905,,每月第一周星期三休息 17:10 禁止入园宠物返园,https://api.visitjeju.net/photomng/imgpath/201804/30/e2ca5a48-b184-4122-a527-6d1de8dbaca5.jpg,,,
