指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
11,灯盏草屋(体验),庆尚北道庆州市北郡街180,#庆州旅行#宝文观光园区周边,054-745-7254,http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/36E532E1314645DCA8880343D2E4BDA6.jpg,,,灯盏草屋(黄土)是一座宁静幽静的田园黄土草屋它融合了昔日的深情古香现代的惬意与便利。 另外夏天凉爽冬天温暖。
12,河谷地(甲壳虫),庆尚北道庆州市安康邑下谷里,#庆州旅行# 鱼咬年糕 咕嘟咕嘟,http://korean.visitkorea.or.kr/kor/bz15/addOn/main/publish/index.jsp,#self,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/90471FB4CE40494AA6C4AFFA0E877905.jpg,,,作为32年3月竣工的岭南地区代表性的鲤鱼钓鱼场之一虽然平均水深比水库规模要浅但一般的干旱季节不会完全露出地面因此鲫鱼鲤鱼的籽粒非常粗。 由于 가두鱼圈设置在堤坝左侧所以堤坝左侧圈的香鱼鲤鱼钓鱼右侧圈分为鲫鱼钓场。 是经常钓里尔的地方。
13,七谷乡村俱乐部(休闲运动),庆尚北道漆谷郡倭馆邑凤溪三街180 Seven谷乡村俱乐部,# 七谷#高尔夫#七谷高尔夫球场#七谷cc,054-979-1000 054-979-1056 (预约),http://www.sevenvalley.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20170327/A8959720147F44B28BE328777579D648.jpg,,,
14,烽火中央漂流(休闲运动),庆尚北道奉化郡明湖面清凉路1131,#烽火旅行#友情旅行#以自然为伴#益赛庭庆北,054-672-0802,http://www.중앙래프팅.kr/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150924/621EE6BB1D7644A280FE74492CD7AFA1.jpg,,,以庆北最著名的漂流路线而闻名的奉化郡稻荷里江边的漂流比其他江更受关注的原因是具有清澈的水丰水量充足山溪谷绝景各种难度的急流路线。稻荷江边的漂流路线约10Km其中运营开发约7km。   稻荷江边栖息着只在1级2级水中生存的公鱼等是展现清澈干净的纯净水域。 因为漂流的特性只能被水浸湿所以清澈的水是决定漂流凉爽感的重要因素。
15,三槐亭 (文化遗产),庆尚北道庆州市三槐亭街14-19,#庆州文化遗产#庆尚北道有形文化遗产#了解朝鲜时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/500A138EF74B46E3B1B41392EE6A9FE3.jpg,,,东湖李芳隣
16,活城里石佛立像(文化遗产),庆尚北道庆州市外东邑活城里 385-1,#庆州文物#庆尚北道文物资料#了解新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/3A0B4DCAF3C440D387E1EF1D90FF0FEA.jpg,,,位于庆尚北道庆州市外东邑活城里的石佛表现了舟形椭圆形光背和立姿如来的形象高153厘米宽46厘米光背高19厘米。   头上是发髻状的发束耳朵表现得很长。
17,宋小古宅 (德川村)(古宅),庆尚北道青松郡巴川面松所古宅街15-2,#电视剧拍摄地#青松旅行#适合散步的地方#韩屋寄宿,054-874-6556,http://www.송소고택.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/523F0FE418DA4B2D9541CCE7FD535782.jpg,,,位于青松西北端的德泉村是青松松的洗车点至今仍是集城村。 以岭南大阜湖宋所古宅为首沈浩泽次子沈祥光的家宋靖古宅和辽东财师初传家昌室宅等挤成一团。
18,九高书院(书院),庆尚北道荣州市丹山面沙川里,# 荣州文化遗产#了解朝鲜时代# 珍贵的我们文化,054-634-3100,http://gugoseowon.alltheway.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/5C8F683BCD9F421190697B106654C91F.jpg,,,1780年(正祖4年)作为地方儒林的公义为了追悼徐汉鼎的学问和德行创建了书院供奉牌位。 在担任宣贤拜乡和地方教育一翼的过程中因兴宣大院君的书院撤废令于1870年(高宗7年)毁于一旦1974年在现位置上与尚节寺 当初建在邻村九口里都仁峰下但拆毁后被推倒只好将剩下的建筑搬到宗泽所在的公司内部。
19,德康书院(书院),庆尚北道永川市花山面花山里,#永川文化遗产#了解朝鲜时代#小众韩民族文化,054) 330-6584~5,http://dukgangseowon.alltheway.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/765135AA32814FAAA3CD420558BFBC1C.jpg,,,书院是供奉杨孝芝的书院。1621年(光海君13年)根据地区士林的公义建成1871年(高宗8年)西原毁훼撤철。 1921年在后人书堂举行享礼次年在后学和士林修溪创建祠堂景节祠修复德冈书院。
20,奉化春阳市场 (4月9日)(传统市场),庆尚北道奉化郡春阳面宜阳路二街18(春阳面),# 烽火旅行#到传统市场旅行#徒步旅行,054-672-3225,http://www.bonghwa.go.kr/open.content/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/E1AAB3619E124982A0177D7B3A6E1B57.jpg,,,春阳奖日为每月4日9日14日19日24日29日在棉材料地中心地区将展开长板。 这里是奉化郡的中心地区从郡内各地聚集而来而且蔚珍郡和江原道太白市也经常会来此地。 即使在20多年前这里也是各地人潮涌动但今天随着道路和交通的发达市场的意义逐渐退色但至今仍延续着以前传统传统市场的命脉。 春养场在农村种植的各种蔬菜牲畜药草粮食辣椒山菜高冷脂蔬菜等与外地的杂项商品交相辉映交易十分活跃。
21,新兴市场(3 8 日)(传统市场),庆尚北道闻庆市兴德洞,#闻庆旅行#到传统市场旅行#徒步旅行,054-553-3208,http://www.mgtpcr.or.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/63ABDFCF055E49218BD25F8492B63201.jpg,,,是1996年开设的商街住宅建筑型中型市场集日是每月3日~8日。新兴市场每月3 8 13 18 23 28日开市。 赶集的新兴市场上有很多从酒屹山等地采摘的香喷喷的野菜200多家店铺和200多名摊贩前来迎接客人。 碑林拱廊设施地面包装等市场现代化事业已经完成所有东西都装饰得干干净净来往也几乎没有不便之处。
22,道洞圣堂(观光地),庆尚北道郁陵郡郁陵邑杏南街9,#郁陵岛旅行#郁陵岛像模像样的地方#郁陵岛家族#郁陵岛观光,054-791-2047,http://cafe.daum.net/dodongsd,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161114/D0FF4059699A4231ADB7D75A73A4BA14.jpg,,,位于庆北郁陵郡道东里270号的大邱大桥区天主教会。
23,羚羊萤生态公园(旅游区),庆尚北道英阳郡首比面萤火炉129,#营养旅行#闪闪发光#星星发光的夜晚#生态观光#感性充电#治愈旅行#哥哥和#孩子可以去的地方#我们孩子体验学习,054-680-6045,http://www.yyg.go.kr/www/organization,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151009/D78098A059B84C6D9EFDB1DDCE845C3D.jpg,,,营养萤火虫生态公园是代表洁净营养的韩国最大的萤火虫栖息地是城市中心无法体验到的多彩看点和体验是唤醒天然自然景观美丽与环境重要性的空间。
24,醴泉金堂实村(旅游景点),庆尚北道醴泉郡龙门面金塘实街118-32,#艺川旅行#好走的地方#以前是怎么生活的#我们孩子体验学习#电视剧拍摄地#电影拍摄地#适合孩子去的地方#家庭旅行#2天1夜#高跟鞋,054-654-2222,http://geumdangsil.invil.org/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/6514439766FD483FA5A788BA96E88431.jpg,,,金堂室村位于庆尚北道醴泉郡龙门面上金谷里一带。 从醴泉郡厅沿着金谷川水流并排行驶的928号地方道向西北方向行驶6公里左右就可以到达金堂室村。 因酷似漂浮在水中的莲花而得名金堂是村庄周边散落着支石墓等的古老村庄。
25,豆内药水汤(旅游地),庆尚北道奉化郡春阳面西碧里,# 烽火旅行,文化旅游科 054-679-6341,http://www.bonghwa.go.kr/open.content/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/7168ECAB6F65413E91AA9920E4B8C605.jpg,,,豆内药水池地区位于奉化-水野-乌田药水池从朱实岭山头往下走。 相传村庄地形如马一般故而被称为杜乃100多年前就有杜乃药水池是文殊山山脚下的灵验的碳酸药水。
26,大伽倻历史主题旅游地(旅游地),庆尚北道高灵郡大伽倻邑大伽倻路1216,#高龄旅行#适合散步的地方#2天1夜#我们孩子体验学习#自动露营场周边#家庭旅行#值得孩子去的地方,054-950-7002~7 7030,http://www.daegayapark.net,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160125/BE3A1C6988F2441EBB7CC7D92E02C378.jpg,,,这里是大伽倻的都邑也是以韩国最早的土器和铁器伽倻琴文化灿烂绽放的大伽倻历史为主题的旅游胜地。 为了让参观者能够将古代文化当作尖端设施来看待感受体验还有4D影像馆遗物及神秘国家大伽倻体验馆大伽倻探访林荫道等看点。
27,德川村草田宅(古宅),庆尚北道青松郡巴川面松所古宅街35-3,#超前家#青松心#德川村,054) 872-0640,http://tour.cs.go.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151110/B536732BEDD8451788820FD77569BEF9.jpg,,,这座古宅位于德川忠孝村最深处背靠低矮的山头向南坐。 初殿府邸大门左侧是八作屋顶的大厢房右侧是双排屋顶的小厢房厢房比里屋更宽敞翼房结构完好是朝鲜后期的半家。庆尚北道文化遗产资料第421号
28,退溪宗宅(文化遗产),庆尚北道安东市陶山面土溪里466,#安东#安东旅行#安东退溪宗宅#全家出去#家庭旅行#约会路线,054-840-6094 (安东市文化艺术系) 054-852-6800 (庆北综合旅游咨询处),http://www.tourandong.com,,http://tour.gb.go.kr/upload2/tour/content/thumb/20180806/F5950391DFCC4EC1BD7873D4FF1559B7.jpg,,,
29,龙溪亭(文化遗产),庆尚北道浦项市北区杞北面德洞文化街26,# 浦项文化遗产#了解朝鲜时代#庆尚北道有形文化遗产#以前是怎么活过来的#治愈旅行#和家人旅行#和哥哥一起把#自然作为散步的好地方#山,054-270-2274,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150924/5DCC178A88824B3586A89696C2CFDCA8.jpg,,,朝鲜明宗1年(1546)建成的建筑是壬辰倭乱当时担任北平寺的农浦郑文富先生的别墅。 肃宗十二年(1686)重修。 正祖(在位1776~1800年)以后被用作世德寺的讲堂高宗5年(1868年)为了躲避大院君的西原撤废令之祸彻夜筑墙仅废止。
30,金乌山城(文化遗产),庆尚北道龟尾市金乌山路433-3(南通洞),# 了解龟尾旅行#庆尚北道纪念物#高丽时代#龟尾文化遗产#适合登山的地方,054-450-6063,http://www.gumi.go.kr/main.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/5BA1EC8A2956437888EAE868833D95B2.jpg,,,高丽时代建造的这座山城规模为3500米(高2.4米)内城2700米(高2米)但外城只剩下城郭恢复了部分城门和城郭。
31,京山公设市场 (5 10 日)(传统市场),庆尚北道庆山市庆安路三一街19 (西上洞),#庆山旅行#徒步旅行#沿着壁画之路#美食旅行#汤饭美食店#友情旅行#值得和孩子们一起去的地方,053) 816-9939,http://gbgs.go.kr/main.jsp,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/6C32721C44A64226A2FDB097FA55114F.jpg,,,庆山市长从1956年开设至今一直延续着传统市场的命脉。 但随着时间的推移它一直代表了地域商圈的变化和老百姓的生活状态。赶集的每5 10 15 20 25 日和当月的最后一天约有 300 多个摊贩迎客每天有数千人利用这个市场。 不仅是庆山人就连大邱人也在这里购买很多便宜新鲜的农产品。 因为市场中央有供汽车通行的公路出行方便而且市场现代化程度高市场整洁有序。
32,平海长 (2 7 日)(传统市场),庆尚北道蔚珍郡平海邑平海路64-28(平海邑),# 蔚珍旅行#传统市场出入,054-785-6231,http://www.uljin.go.kr/tour/index.uljin#btn-prev,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/E863F0A252E04C1AA47CF2044043A454.jpg,,,据悉平海场产生于距今约100多年前。 赶集日温井面箕城面等地生产的农产品及后浦面生产的水产品成为市场的主流。
33,道口海水浴场(海),庆尚北道浦项市南区东海海面81路33号日月海水浴场工具,# 浦项旅行#沙场#夏日避暑地,054)(居民中心的东海海面)-270 6641,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/79BF3FA7685C480DBEACE3DD038D51DE.jpg,,,《三国遗事》中记载了燕乌兰世五女传说的道口海水浴场沙滩长800米宽50米面积达1万2千坪每天可容纳25000人。 附近的中学设施的一部分东海的各级学校的培训受人瞩目。
34,道东港(海洋),庆尚北道郁陵郡郁陵邑道洞里,#郁陵岛旅行#适合散步的地方#好吃旅行#适合散步的地方#家庭旅行#和哥哥一起去的地方#适合散步的地方,道洞旅游咨询处 054-790-6454,http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/B3C982D72A1F4307B0ED8EDB712A125D.jpg,,,这是位于浦项东北方向188公里海上的郁陵岛门户港2种港。 港内水域为20000平方米港湾设施除装载设施岸壁80米物量场133米外还有外围设施防波堤184.6米放射堤79米。
35,花样翻鱼汤(韩食海鲜汤),庆尚北道尚州市咸昌邑咸宁街31,#尚州旅行#尚州美食店#汤#气韵正浓的食物,054-541-7813,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/7B0BEA88416249478071FFB926F5D509.jpg,,,
36,东林食堂(普通韩餐),庆尚北道庆州市阳北面虎岩里 494,#庆州旅行#庆州美食店#气韵非凡的食物,054-746-2160,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151006/ABC96858491C4DBAAC1D1809C78E6D52.jpg,,,
37,大光伏集(普通韩餐),庆尚北道庆州市外东邑产业路2516-6,#庆州旅行#庆州美食店#海产物美食店,054-776-3090,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/48A97C7F36B74B84B16D61099E29B566.jpg,,,
38,吃刀切面(一般韩餐),庆尚北道漆谷郡东明面汗峙路597,# 七谷可看之处#七谷观光#七谷旅行#七谷小吃#七谷美食店,054-972-5624,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161028/ECFE08A4B0034E0AB8FABB4E521C02A9.jpg,,,
39,东海(传统市场)综合市场,庆尚北道浦项市南区中央路一三四号街,# 浦项旅行#徒步旅行#美食旅行#传统市场出入,054-272-3489,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/1C90F4ADB4FF44D9BB821FCF9CC43E1F.jpg,,,在浦项传统市场中有日益繁荣的地方。 市场之后商圈上形成了1洞发展海岛的贡献和住宅市场准入容易对居民生活便利。 建筑周边市场相比东海更繁荣商家给人一种主客颠倒了但居民的生活的催化剂红火起来。
40,玉山细心村(体验),庆尚北道庆州市安康邑玉山里细心路20-9,#庆州旅行#以前是怎么过的#旅行#民俗游戏#适合孩子去的地方#孩子体验学习#家庭旅行,010-2082-6148,http://sesim.go2vil.org/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/8FA9F2F51A444E858760A2F976596C49.jpg,,,* 拥有体验韩国传统味道和魅力的庆州细心村*等200多件国家指定宝物的细心村是拥有韩国传统美的村庄。 在细心的村庄不仅是泡菜还可以通过制作橡子凉粉米酒等传统食品和各种传统游戏礼仪教育等体验韩国传统的味道和魅力。 美食:辣汤硫磺鸭石锅饭韩定食等附近景点:良洞民俗村宝镜寺石窟庵雁鸭池佛国寺虎尾串三沙公园等
41,九城公园(旅游景点),庆尚北道荣州市龟城路三七三号街,# 荣州旅行#九城公园#适合散步的地方,054) 634-3100 639-6606 (旅游产业科),http://www.yeongju.go.kr/open_content/tour/index.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/ED06E55F8DC14DF297D17311F9D94EB5.jpg,,,荣州市的北侧和忠北丹阳东侧有烽火西侧和闻庆醴泉相连。永州从新罗时代开始建了很多寺庙。 永州有很多浮石寺小寿书院熙芳寺等蕴含太白山正气的文化遗产因此前来考察的人络绎不绝。 九城公园位于荣州2洞旧山城旧址上。
42,KBS电视剧拍摄现场(旅游地),庆尚北道安东市民俗村街13,#出来安东旅行#TV#电视剧拍摄地#和孩子们去的地方#和哥哥一起,054) 840-6392,http://www.doopedia.co.kr/m/photobox/gallery/gallery.do?_method=list_view&GAL_IDX=161108001032843,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151013/1C4DCEDE27594282A99647A57C73D383.png,,,○ 登上片场最先映入眼帘的是大瓦房。 该建筑为官衙建筑用石墙围起最外面的建筑是外三门共5间夹层。 从目前的太史庙外三门三间来看其规模可想而知。
43,Gallery Garam,庆尚北道庆州市河东工艺村街78(河东),#庆州旅行#感性充电,054-772-0130,http://guide.gyeongju.go.kr/deploy/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/227FD5DC519640889481E610EB4818D9.jpg,,,位于庆州民俗工艺村的画廊可蓝(音)可以欣赏到各种各样的陶瓷器。 这里有茶具马克杯茶杯碗等各种商品可爱的陶瓷小物令人印象深刻。
44,宋学书院(书院),庆尚北道青松郡安德面石井街53(安德面),,054) 870-6681 (青松旅游咨询处) 054) 870-6245-7 (青松郡文化旅游科),http://tour.cs.go.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151110/69DE78ADE4E541C89938E77889253CDE.jpg,,,纪念退溪李滉的学问和遗德在安德堂邸外宅出生的鹤峰金圣一和避免壬辰倭乱的女轩张显光在重振儒教方面功不可没。
45,安东义城金氏宗宅,庆尚北道安东市临河面京东路1949-9(川前里),#安东旅行#了解朝鲜时代#宝物,文化艺术科(文物) 054-840-5230 安东旅游信息中心 054-856-3013,http://www.tourandong.com/public/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/A79197DF57634C2B9C39370B882C7091.jpg,,,安东义城金氏宗宅是义城金氏清溪金辰(1500~1580)的宗宅现在的建筑是壬辰倭乱时被烧毁的金成一(1538~1593) 建筑分为厢房内房行廊房厢房是主人生活接待客人的空间规模为前四间侧面两间形态为一字形。
46,丙岩古宅(古宅),庆尚北道尚州市外西面牛山里,#尚州旅行#瓦集的初夜#和孩子们可以去的地方#2天1夜#家庭旅行,054) 537-6092 (常州市旅游振兴科),http://www.sangju.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/1308EE363C05470A99ADC218F15AC11C.jpg,,,本建筑为禹福先生的第六代孙立帝郑宗路(1738年-1816年)先生之弟宰诺(1775年生)在改建前居住时所用房屋
47,青岩亭(古宅),庆北奉化郡奉化邑柳谷里,#烽火旅行# 适合孩子去的地方#适合散步的地方# 以自然为伴,文化旅游科(文物) 054-679-6332-63334,http://www.bonghwa.go.kr/open.content/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/CE711D1C8A574CA5825C25FC8DB1F1B8.jpg,,,位于奉化邑柳谷里的达实村忠正公忠财权伐(1478~1548)中宗二年(1507)文科及右찬城。 明宗时期尹元亨排斥尹任柳宽柳仁淑三大神后尹元亨表示反对后来被流放到朔州在那里结束了生命宣祖时期被追授为领议政。 本亭因忠财权伐牵扯起墓事画而坐落于幽谷隐居15年潜心修道学研究与长子权东宝同为九岩像中建立的亭子建筑风格。 这一带被指定为史迹及名胜第3号。
48,郁陵岛游船(体验),庆尚北道郁陵郡郁陵邑道东街14,#郁陵岛旅行#家庭旅行#和孩子们可以去的地方#和哥哥去的地方#和适合拍照的地方,游船协会 054-791-2002,http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151008/07C0F3CEB3A140BEBCAB3485D476A542.png,,,郁陵岛距离浦项只有3个半小时。 郁陵岛观光可以分为陆地观光和海上观光周边岛屿观光。 江原道东海161在庆北浦项发现217 Km在159厚浦Km的面积Km 73公里的火山岛平方的小岛中央高高耸立的(984 m)圣人峰中心沿着海岸线部落组成。
49,安东皮划艇体验(体验),庆尚北道安东市石州路202 502-1 (上儿童),#安东皮划艇体验#安东皮划艇体验#夏日#休假#去安东值得一去的地方#安东避暑胜地#适合一家人去的地方#情侣之间,010-2529-0888,http://adcanoe.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160711/818D671DC4EC43ACA338B0187E5B6B16.jpg,,,
50,山水亭(文化遗产),庆尚北道安东市丰山邑磨崖街70-31(丰山邑),#安东旅行#庆尚北道民俗文化遗产#了解朝鲜时代,054-840-5230,http://www.tourandong.com/public/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/CF47DB009ACE4005A6C5BB0FC861595D.jpg,,,* 湖峰李敦先生为培养后学而建造的亭子山水亭 *山水亭是湖峰李敦先生(1568~1624)离开官职回到故乡为专心研究学问和培养后辈而建造的。 虽然无法确定建造时间但据推测应该是朝鲜先祖光海君年间建造的。
51,肯辛顿度假村庆州博文(酒店),庆尚北道庆州市普门路182-29,#京珠住宿#宝文旅游区住宿#宝文旅游区#家庭旅游#二路#徒步旅行#适合孩子去的地方#适合孩子去的地方#适合步行的地方#自行车,054-748-8400,http://www.kensingtonresort.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/8F9CF685A52646B1A406098F422DE01A.jpg,,,
52,普门花园(韩正植),庆尚北道庆州市北郡街27,#庆州旅行#庆州美食店#充满朝气的小吃#宝文观光园区周边#宝文观光园区周边美食店,054-745-6202,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/5868D302A2B74DDEBEB1B23B0A5D6422.jpg,,,120席
53,BEASTRONY,庆尚北道安东市全巨里二街111(龙上洞),#BEASTRONY#安东美食店#安东旅行#PASTA#披萨#约会,054-823-0969,http://www.instagram.com/bistro_sunny,,http://tour.gb.go.kr/upload2/tour/content/thumb/20181220/C903D1C1A2244C95AFF8E7280DB8D0D1.jpg,,,在菜园里种植的新鲜草本展现了健康的味道! 是预约制的旧炸猪排意大利面店。
54,秀谷古宅(韩屋寄宿),庆尚北道安东市丰川面佳日街78(丰川面),#安东淑朴#瓦房的初夜#家庭旅行,011-9577-1309(权正淑),http://blog.naver.com/jsg8503,,http://tour.gb.go.kr/upload2/tour/content/thumb/20190311/3D94B9E73735462EA8082085DB9FC78C.jpg,,,从安东市丰山邑到安东河回村的幽静路口右侧是安东权氏的集城村佳一村。 很多游客虽然前往河回村但只要稍作停留就会被村里宁静的风景所吸引。 秀谷古宅是其中蕴含着岁月痕迹的地方让人心情更加平静。
55,玉方天(江),庆尚北道奉化郡小川面南回龙里,# 烽火旅行# 以自然为伴# 生态旅游# 适合步行的地方,054) 673-4996(奉化郡综合观光咨询所),http://www.bonghwa.go.kr/open.content/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/A873B8156A1A40D283EA33D59D15CF0F.jpg,,,在庆北奉化郡小川面将军峰(1135米)南侧的五味村一股泉水从地下涌出开始向北侧流去。 与英阳郡分界的该溪流的名字叫回龙川。 前不久分校남회룡改称为兆麟36号옥방천的地点开始国道改名为:광비천的岭东线和乘府车站的中间位置汾川站去的水和乘府里因此吸引了。洛
56,七浦海水浴场(海),庆尚北道浦项市北区兴海邑海岸路一五五五号街,# 浦项旅行#夏天避暑地#和孩子们可以去的地方# 视野好的地方# 适合孩子旅行的地方# 友情旅行#夏天旅行#家庭旅行#七炮爵士音乐节,054) 261-3001 兴海邑事务所(海水浴场),http://phtour.ipohang.org,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/9C5C4860D4BA478CBA154A2A6DBFE0AE.jpg,,,这是位于浦项以北13公里的海水浴场。 沙滩长2公里宽70米平均水深1米面积320662.6平方米每天可容纳10万人。 白沙场中混杂着很多王砂还可以在周边的石滩上钓鱼。 庆尚北道建成七浦游乐园酒店练歌房便利店淋浴场停车场公共厕所等各种便利设施竣工。
