여행지이름,주소,태그,전화번호,홈페이지,영업일,OVERVIEW
10. 씨엔블루 펜션,충청남도 태안군 이원면 원이로 2771-152,#숙박#충청권#태안숙소#펜션,041-675-9220,<a href="http://namingrose.com" target="_blank" title="새창 : 씨엔블루펜션 홈페이지로 이동">http://namingrose.com</a>,,햇빛이 반짝이는 바다  등대섬  아기자기한 겟바위  소나무숲  각 객실에서 느낄 수 있는 자연의 모습이다. 해와 바다의 금빛 만남이 꿈처럼 펼쳐질 때  여러분의 꿈을 돌아본다. 가로림만의 색다른 일출에서 새로운 꿈과 용기를 충전한다. 색다른 서해에서의 휴식과 추억으로 여러분을 초대한다.
11. 실크로드관광호텔,경기도 수원시 팔달구 인계로94번길 27-19,#수원숙소#숙박#호텔#휴식하기좋은곳,031-232-9981,실크로드관광호텔 <a href="http://www.hotelsilkroad.co.kr" target="_blank" title="새창 : 실크로드관광호텔 홈페이지로 이동">http://www.hotelsilkroad.co.kr</a>,,수원의 중심지 인계동에 위치한 실크로드관광호텔은 수많은 내/외국인들을 최상의 서비스로  최고의 시설로 맞이하고 있다. 수원 시청역 인근에 위치하여 교통이 편리하며  넓은 주차장으로 고객의 만족도가 높다.
12. 경남관광호텔,서울특별시 동대문구 장한로 110,#관광호텔#서울숙소#숙박#휴식하기좋은곳#힐링&여행,02-2247-2500,경남관광호텔 <a href="http://kyungnamhotel.co.kr/main/main.php" target="_blank" title="새창 : 경남관광호텔 홈페이지로 이동">http://kyungnamhotel.co.kr/main/main.php</a>,,경남관광호텔은 서울의 북동쪽 장한평에 자리한 관광호텔로 편안하고 즐거운 쉼터가 될 수 있도록 노력을 하고 있다. 장안평역 인근에 위치한 지상 10층의 호텔로 세련된 인테리어로 꾸며진 80개의 객실을 보유하고 있고 고객을 위한 최상의 서비스로 방문하는 모든 고객에게 만족도가 높다. 객실은 다양한 콘셉트로 보다 현대적이고 보다 품격 있는 분위기를 자아내고 있으며 사업차 방문한 비즈니스맨이나 레저를 목적으로 안락한 휴식처를 찾는 관광객에게 인기가 좋다. 또한 쇼핑이나 문화생활을 할 수 있는 다양한 지역이 인근에 위치해 있어 지리적으로도 효과적이다. 내부에 위치한 부대시설로는 볼링시설과 기념품가게  나이트클럽 등이 완비되어 있으며 고객에게 다양한 볼거리와 색다른 즐거움을 주고자 항상 거듭나고 있다.
13. 세심자연휴양림,전라북도 임실군 삼계면 임삼로 485,#관광지#자연,휴양림 관리사무소 063-644-4611 & 문화관광산림과 063-640-2475,세심자연휴양림 <a href="http://smhu.imsil.go.kr/" target="_blank" title="세심자연휴양림 사이트로 이동">http://smhu.imsil.go.kr</a>,,산중복 이하는 리기다소나무 30년생 내외의 조림지(약 50ha)이며  기타 지역은  침·활 횬효림지로 ha당 107㎡으로 임상이 좋은 편이며   계곡부에는 수원이  풍부하고 기암괴석 등 경관이 수려하다.   또한 휴양림상류에 농촌용수 확보를 위한 댐이 완공되면 휴양림기능이 더욱 향상될 것으로 기대된다.    * 구역면적 - 101.45 ha  
14. 삼척 너와마을,강원도 삼척시 도계읍 문의재로 1113,#가족여행#강원권#관광지#산촌체험#삼척너와마을#서울근교여행#아이와함께#이색체험#체험#체험학습,정보센터 033-552-1659,삼척 너와마을 <a href="http://neowa.invil.org/" target="_blank" title="삼척 너와마을 사이트로 이동">http://neowa.invil.org</a>,,눈 내리는 밤 산촌칼국수 먹으며 추억만들기  너와란 소나무나 참나무를 두께 4~5cm  가로 20~30cm  세로 40~60cm정도로 자른 널빤지를   말하고 너와집이란 이 너와를 지붕에 얹은 집이다.    강원도에서는 느에집 또는 능에집 이라고도 한다. 신리마을에 가면 점차 사라져가는 이 너와집을 만나볼 수 있다.    이와달리 굴파집은 나무의 속껍질을 일정하지 않게 벗겨내고 잘라내 지붕에 올린 것이다.   가을에 신리 너와마을에 가면 너와집을 지어보는 체험을 할 수 있고 송이채취 등 가족단위   산촌체험을 즐길 수 있다. 황토너와집 펜션에서의 숙박  마을 부녀회가 운영하는 식당에서의 산촌 먹을거리맛보기 등은 웰빙여행의 대표적 사례이다.    특히 겨울철에 가면 눈 덮인 골짜기에서 눈발구타기  굴피집 추억만들기  등잔불켜고 밤보내기 등 겨울 산골마을의 정취를 한껏 느낄 수 있다. 또 산촌칼국수  산촌 된장찌개  칡전병  송이백숙 등의 별미도 맛보고 떡만들기  순두부만들기 등도 체험해 볼 수 있다.
15. 썬라이즈펜션,충청남도 태안군 원북면 옥파로 1155,#숙박#충청권#태안숙소#펜션,041-674-9998,<a href="http://www.sunrisei.com" target="_blank" title="새창 : 썬라이즈펜션 홈페이지로 이동">http://www.sunrisei.com</a>,,썬라이즈 펜션은 두개로 나누어진 학암포 해수욕장 정중앙에 위치하고 넓은 주차장과 다양한 평수의 객실을 보유하고 있어 연인  가족들이 방문하기에 더할 나위 없이 좋다. 학암포 해수욕장이 한눈에 들어오며 층층마다 야외에서 바다를 보면서 음식을 즐겨 먹을 수 있는 공간도 있고 넓은 옥상에서는 바라보는 그림같이 펼쳐진 바다는 가슴을 시원하게 만들어 준다.
16. (주) 파레스 관광호텔,광주광역시 동구 중앙로160번길 13,#관광호텔#광주숙소#숙박#숙박시설#휴식여행,062-222-2525,,, 광주에 위치한 파레스 관광호텔은  저렴한 객실요금으로 고객들이 부담없이 이용할수있다. 시청에서 20분  버스터미널에서 20분  기차역에서 20분  공항에서 30분 소요된다. 
17. 솔마루황토펜션,충청남도 태안군 안면읍 여수해길 118-3,#숙박#충청권#태안숙소#펜션,041-673-3972,<a href="http://www.anmyon.net/7solmaru" target="_blank" title="새창 : 솔마루황토펜션 홈페이지로 이동">www.anmyon.net/7solmaru</a>,,향긋한 바다 내음과 황토 냄새가 즐거운 솔마루 황토펜션은 태안군 안면읍에 있다. 주변에 안면도의 해수욕장들이 있어 해수욕장을 이용하는데 어려움이 없으며  한적한 곳에 있어 조용하게 여가를 즐길 수 있다. 펜션 앞에 탁 트인 들녘과 서해의 일몰을 즐길 수 있으며  객실이 많지 않아 펜션에 와도 번잡함이 없으니 진정한 휴가를 보낼 수 있다.  안면도 여행을 즐기면서도 조용한 휴식을 취할 수 있는 솔마루황토펜션이 여러분을 기다리고 있다.
18. 밧개오션텔,충청남도 태안군 안면읍 해안관광로 248,#숙박#충청권#태안숙소#펜션,041-674-5400,<a href="http://www.oceantel.co.kr" target="_blank" title="새창 : 밧개오션텔 홈페이지로 이동">http://www.oceantel.co.kr</a>,,고급스럽고 엔틱한 최고급형 펜션인 밧개오션텔은 충남 태안의 안면도에 위치해 있다. 거실에서 일몰을 감상할 수 있으며  문을 열고 밖으로 나오면 상큼한 바다 내음과 파도소리가 가슴을 설레게 한다. 핑크빛 인테리어로 우아하고 로맨틱한 분위기를 내는 객실  고풍스럽고 클래식한 인테리어가 편안함을 더해주는 객실  럭셔리하고 엔티크한 객실 등 다양한 느낌을 주는 객실을 보유 하고 있다. 목조건물로 건축된 밧개오션텔은 조경이 뛰어나 운치를 자랑하며 늘 쾌적하고 친절한 서비스를 자랑하고 있다. 바다 경치와 함께 바비큐를 먹을 수 있도록 야외 바비큐장을 마련해 놓았다. 밧개해수욕장에서는 최근까지 그 전통이 이어져오다 흔적만 남은 독살잡이를 할 수 있어 여행 중 이색 체험을 할 수 있어 특별한 추억을 만들 수 있다. 
19. 몽산포비치펜션,충청남도 태안군 남면 달산포로 167-32,#숙박#충청권#태안숙소#펜션,010-3699-1427,,,자연을 벗 삼아 모든 것을 잊고 편안하게 쉬고 싶을 때  자연 속에서 충분한 휴식을 누리실 수 있는 곳. 달산포해수욕장이 내려다보이는 전망 좋은 곳. 몽산포비치펜션은 편의시설이 갖추어져 있으며 야외 테이블  바비큐 그릴  족구장  노래방 시설이 완비되어 있다.
20. 마로니에펜션,충청남도 태안군 원북면 신두해변길 135,#숙박#충청권#태안숙소#펜션,041-675-1617,<a href="http://www.oceanworld.co.kr" target="_blank" title="새창 : 마로니에펜션 홈페이지로 이동">http://www.oceanworld.co.kr</a>,,마로니에펜션은 전 객실 창밖으로 바다가 보이는 전망 좋은 곳에 위치하고 있다. 서해안의 어느 바다와 비교해도 뒤지지 않을 드넓은 백사장이 마로니에 전 객실 창밖에 펼쳐져 있다. 전 객실 TV  냉장고  에어컨  싱크대  주방시설  식기류 일체 등 각종 편의시설이 각 객실에 준비되어 있다. 또한 고객의 편의를 위해 각층에 전자레인지  청소기  정수기가 구비되어 있고 세탁기  고객용 인터넷 한 대가 설치되어 있어 손님께서 공동으로 사용 가능하다.  
21. 몰디브,충청남도 태안군 안면읍 풍어제길 44-12,#숙박#충청권#태안숙소#펜션,041-672-8161~2,<a href="http://www.mdv-pension.co.kr" target="_blank" title="새창 : 몰디브 홈페이지로 이동">http://www.mdv-pension.co.kr</a>,,고풍스러운 유럽식 몰디브는 황도에 위치하고 있어 바다가 바라보이며 자연휴양림 수목원  삼림욕 체험장  꽃지해수욕장  방포해수욕장 등 10여 개의 해수욕장이 있다.
22. 블루라군 펜션,충청남도 태안군 이원면 원이로 2771-226,#숙박#충청권#태안숙소#펜션,041-675-0045 & 010-6487-0245,<a href="http://www.pensionbluelagoon.com" target="_blank" title="새창 : 블루라군 펜션 홈페이지로 이동">http://www.pensionbluelagoon.com</a>,,블루라군은 영화의 제목이지만  말 그대로 펜션앞 바다에 사는 산호 때문에 지은 이름이기도 하다. 모든 객실에서 바다가 보이도록 설계된 여덟 동의 목조주택이 바닷가 절벽을 따라 길게 늘어서 있다.  또한 해넘이도 볼 수 있다. 넓은 데크에서 바비큐나 식사도 할 수 있으며 따로 바비큐장으로 이동하지 않아도 된다.  모두 나무로 지어졌으며 데크에도 베지 않은 소나무가 자라고 있다.  또한 내부 마감재는 바이오 황토를 썼다. 만대바다의 맑은 공기 그대로의 쾌적한 실내를 만날 수 있다. 황토 찜질방도 만들어 황토의 은근한 향을 느낄 수 있다. 
23. 스타팰리스 펜션,충청남도 태안군 남면 마검포길 273-9,#숙박#충청권#태안숙소#펜션,010-6440-0095,<a href="http://www.starspalace.net" target="_blank" title="새창 : 스타팰리스 펜션 홈페이지로 이동">http://www.starspalace.net</a>,,스타팰리스 펜션은 천혜의 해양 국립공원인 태안반도에서 드넓은 마검포 해수욕장이 있는 조용한 어촌마을에 있는 테마형 펜션이다. 유럽풍의 최고급 목조주택으로 옥상에는 대형 천체망원경을 갖춘 천문 관측 돔이 설치되어 있어 별이 보이는 날은 항상 무료로 천체관측 행사를 한다. 고급 내부시설과 넓고 편리한 외부 파티장이 있으며  간단한 야채는 텃밭에서 얻을 수 있다.
24. 그림속풍경 펜션,충청남도 태안군 남면 진산1길 277-115,#숙박#충청권#태안숙소#펜션,010-7688-7080,<a href="http://www.grimpension.com" target="_blank" title="새창 : 그림속풍경 펜션 홈페이지로 이동">http://www.grimpension.com</a>,,충남 태안군에  위치해있는 그림 속 풍경펜션은  진산리의 바다 앞에 위치해 있다. 주변의 경관이 뛰어나 자연경관과 더불어 편리하게 이용할 수 있는  휴식 공간을 제공한다. 해변이 바로 앞에 있어 객실 내에서 바다 조망이 가능하며 파도소리와 함께 야외 바비큐장을 이용할 수 있다. 객실은 아기자기하고 여성들이 좋아하는 꽃무늬의 벽지를 사용해 우아함을 강조하였다. 각 객실마다 넓은 데크가 마련되어 있어 바비큐 파티도 가능하고 와인 한 잔을 마시며 낙조의 풍경도 바라볼 수 있다. 야간 조명에도 신경을 써서 한 것 분위기 있고 로맨틱한 느낌을 느낄 수 있도록 해 놓았다. 인근에 항과 포구가 있어 저렴하고 싱싱한 회를 직접 사와 야외 테라스에서 먹을 수 있다. 진산리에는 드라마 일지매  장길산 세트 장이 있어 아이들뿐 아니라 어른들의 호기심도 자아내고 있다.
25. 백합펜션,충청남도 태안군 남면 안면대로 1296-47,#숙박#충청권#태안숙소#펜션,010-6720-2048,<a href="http://www.lilypension.co.kr" target="_blank" title="새창 : 백합펜션 홈페이지로 이동">http://www.lilypension.co.kr</a>,,펜션 주위의 둑에는 쑥들이 돋아나서 쑥을 넣은 쑥떡도 맛볼 수 있으며  주위에는 백합시험장이 있어 은은한 백합꽃향기를 맡으며  자생 백합꽃을 일반인에게도 볼 수 있도록 일반인의 견학을 허가하고 있다. 청포대 해변에는 커다랗게 자리한 자라바위가 있으며  이 자라바위에 전해지는 전설로는 별주부전이 있다. 토끼에게 속은 자라가 용왕을 바라보는 모양을 한 자라바위에서 별주부전을 상징하는 조각상 자라와 토끼의 형상물이 있는데 그 조각상을 손으로 만져보면 소원성취와 무병장수한다는 이야기가 전해진다. 
26. 서해송,충청남도 태안군 남면 마검포길 335,#숙박#충청권#태안숙소#펜션,010-4172-8068,<a href="http://www.gomgp.kr" target="_blank" title="새창 : 서해송 홈페이지로 이동">http://www.gomgp.kr</a>,,소문 없이 찾는 사람들이 이어진다는 마검포해수욕장. 그 한적한 해변 한쪽에 자리한 서해송은 조용한 분위기의 자연 그대로를 즐길 수 있는 곳이다. 바다와는 70m 정도의 거리며 해수욕과 함께 조개 캐기  꽃게 잡기  낚시 등 다양한 체험활동을 할 수 있다. 객실들은 깔끔하게 정돈되어 있다.
27. 경주관광호텔,경상북도 경주시 보문로 383,#경주숙소#경주호텔#관광호텔#숙박#숙박시설,054-745-7123,,,신라 천년의 고도 경주! 그곳에 경주관광호텔이 있다. 천혜의 조건을 모두 갖추고 넓은 보문호수가 바로 보이는 광경은 옛 신라의 향기를 느낄 수 있다. 특히 보문호 주변은 전체가 온천지구나 관광특구로 지정되어 있어 생생하게 역사 문화체험을 할 수가 있다. 또한 천년고도 경주는 사방이 문화유적지로 형성되어 있으며 경주 일원과 남산 주변은 노천 박물관이자  세계문화유산으로 이루어져 있다. 경주관광호텔은 한국 정취와 현재적 감각을 더한 호텔 분위기를 살려서 편안하고 안전한 여행이 될 수 있도록 각 분야 전문팀을 구성하여 운영하고 있다. 또한 경주역에서 버스로 20분 거리(보문 단지 방향으로)에 위치하고 있다. 객실은 보다 현대적인 감각으로 안락하게 꾸며져 있으며 다양한 콘셉트로 고객 취향에 한 걸음 더 다가가고자 노력했다. 고품격 인테리어와 차원이 다른 서비스로 고객 감동 그 이상을 맛볼 수 있을 것이다. 기타 시설로는 프런트  접견실  야외무대  또래오래  보문 산책로 등이 마련되어 있다.
28. 힐 사이드 관광호텔,부산광역시 중구 중구로 160,#관광호텔#모텔#부산숙소#숙박#숙박업소#휴식하기좋은곳#힐사이드관광호텔,051-464-0443,힐 사이드 관광호텔 <a href="http://www.hillsidehotel.co.kr" target="_blank" title="새창 : 힐사이드관광호텔 홈페이지로 이동">http://www.hillsidehotel.co.kr</a>,,언덕 위의 작은 별장 힐사이드 호텔은 부산의 상징인 오륙도와 영도가 한 눈에 내려다 보이는 영주동 언덕 위에 작은 별장 같은 호텔이다.
29. 프라임관광호텔,부산광역시 동구 중앙대로 399,#부산숙소#숙박#호텔#휴식여행#휴식하기좋은곳,051-465-4011,프라임관광호텔 <a href="http://www.primehotel.co.kr/" target="_blank" title="새창 : 프라임관광호텔 홈페이지로 이동">http://www.primehotel.co.kr/</a>,,부산진역 주변에 위치한 프라임관광호텔은 부산의 중심지에 위치하여 교통이 매우 편리하며 이동이 용이해 부산의 명소들을 관광하기에 안성맞춤이다. 호텔에서 바라보는 부산항의 전경은 보는 사람이 부산의 매력에 흠뻑 젖어들게 만든다. 프라임관광호텔은 부산 제일의 중심지에 위치하여 부산의 명소인 자갈치  국제시장  해운대  태종대  광안리  범어사 등을 편리한 교통으로 관광할 수 있는 동구지역의 유일한 관광호텔이다. 멀리 부산항의 전경과 부산진 역사가 바라다 보이는 아늑한 전망과 서정적인 분위기로 넓은 공간  청결하고 깨끗한 객실은 물론 여행  출장  여가 등을 찾는 고객에게 최고의 서비스와 친절로 성심껏 모시고 있다.또 연회장은 세미나와 회의를 위한 최신시설과 장비가 갖춰져 있으며 결혼식  약혼식  돌잔치  가족모임 등의 다양한 각종행사 및 연회를 특성에 맞추어 품격 있는 자리로 완성시켜준다. 낭만적인 분위기로 보석을 세팅하듯 소중히 고객을 모시는 프라임관광호텔의 웨딩홀에서는 여유롭고 감동적인 결혼식을 연출해준다. 오랫동안 꿈꾸던 소중한 순간  평생을 두고 간직될 추억의 결혼식이 이뤄지는 웨딩홀에서는 프라임관광호텔이 선보이는 고품격 맞춤 웨딩을 경험해볼 수 있다.
30. 팜밸리리조트,제주특별자치도 서귀포시 중산간서로 193,#리조트#서귀포숙소#숙박#휴식여행#휴식하기좋은곳,064-738-0002 & 064-738-7705,팜밸리리조트 <a href="http://www.palmvalley.co.kr" target="_blank" title="새창 : 팜밸리리조트 홈페이지로 이동">http://www.palmvalley.co.kr</a>,,제주도 서귀포에 위치한 팜밸리리조트는 천혜의 자연계곡과 이국적인 야자수로 둘러싸인 제주 풀빌라 리조트로서 개인정원에서 개별바베큐가 가능하며  전객실 월풀욕조가 구비되어있다. 리조트 중앙에 모두가 이용할 수 있는 대형수영장과 유아수영장이 마련돼 있으며 룸 종류에 따라 전용 풀장을 따로 사용할 수도 있다. 각 객실별로 지정된 시간에 조식을 객실로 제공해준다.
31. 팔공 에밀리아호텔,대구광역시 동구 팔공산로 1121,#대구숙소#숙박#호텔#휴식여행,053-623-1000,팔공 에밀리아호텔 <a href="http://www.emillia.co.kr/" target="_blank" title="새창 : 팔공 에밀리아호텔 홈페이지로 이동">http://www.emillia.co.kr/</a>,,팔공 에밀리아 호텔은 수려한 자연 경관 속의 평화로운 휴식을 제공하기 위해 품격있는 객실과 다양한 크기의 연회장  갤러리  카페  레스토랑  펍  노래방 등의 편의시설을 갖추고 있어 편안한 휴식은 물론 다양한 세미나 및 예식 등의 행사에 완벽한 편의를 제공한다.
32. 울릉 마리나 관광호텔,경상북도 울릉군 울릉읍 사동2길 44-28,#관광호텔#숙박#울릉도숙소,054-791-0020~4,울릉 마리나 관광호텔 <a href="http://www.ullungmarina.co.kr/" target="_blank" title="새창 : 울릉 마리나 관광호텔 홈페이지로 이동">http://www.ullungmarina.co.kr/</a>,,후박골 관광휴양시설지구 내에 위치한 천혜의 자연경관을 자랑하는 신비의 섬 울릉도의 유일 23 100㎡   2 460㎡(객실 및 부대시설 포함)의 원시림 속에 위치한 독립된 산림 휴양 관광 호텔이며 바다와 500M 떨어진 해발 150M의 고도에 위치한 까닭에 연중 해풍 및 염분의 피해를 전혀 느끼지 않고 사계절 쾌적한 산림욕을 즐길수 있는 친자연 환경적인 관광호텔이다.
33. 롯지벨로세앙,충청남도 태안군 이원면 원이로 2088-20,#숙박#충청권#태안숙소#펜션,02-730-0118,<a href="http://www.belocean.co.kr/intro.php" target="_blank" title="새창 : 롯지벨로세앙 홈페이지로 이동">http://www.belocean.co.kr/intro.php</a>,,벨로세앙은 beautiful ocean의 아름다운 바다라는 뜻의 프랑스어로 태안반도의  해안가에 위치한 해양리조트이다. 고급 소재로  단장된 벨로세앙은 유럽풍의 지중해식 낭만적 공간으로 육체적  정신적인 건강의  조화를 제공하며  행복한 시간을 선사한다. 
34. 랑데뷰펜션(구.하늘꽃펜션),충청남도 태안군 원북면 옥파로 1170,#숙박#충청권#태안숙소#펜션,041-631-6699,<a href="http://www.sky-flower.net" target="_blank" title="새창 : 랑데뷰펜션 홈페이지로 이동">http://www.sky-flower.net</a>,,랑데뷰펜션은 바닷가 바로 앞에 위치하고 있으며  바비큐 시설이 완비되어 있어 가족단위로 여행 온 사람들이 이용하기에 좋다. 바다와 파도소리  서해의 아름다운 일몰을 감상할 수 있다. 객실은 모두 4인 기준 객실로 가족여행객들에게 안성맞춤이다.
35. 보물섬펜션,제주특별자치도 서귀포시 성산읍 한도로242번길 10-11,#서귀포숙소#숙박#제주도#펜션,064-784-0039,<a href="http://www.jejubms.com" target="_blank" title="새창 : 보물섬펜션 홈페이지로 이동">http://www.jejubms.com</a>,,제주의 굿모닝 하우스는 아름답고 수려한 자연환경의 천국인 중문 관광단지 인근에 위치한 테마 펜션이다. 이곳은 40㎡ 와 57㎡의 객실들을 보유하고 있으며  모든 객실은 원룸형이고  40㎡의 객실은 제주 중문단지와 서귀포의 바닷가가 훤히 보이는 조망권을 가지고 있으며 럭셔리 함이 느껴지는 커플 룸으로 신혼부부와 젊은이들에게 인기가 높은 객실 형태이다. T테이블이 준비되어 있어 커피를 마시며 둘만의 시간을 가질 수 있고  나무 향과 아기자기한 디자인이 포근함을 안겨준다. 57㎡의 객실은 넉넉함과 럭셔리 함이 느껴지는 가족 룸으로서 최대 6명까지 쉴 수 있는 장소이다. 사계절 언제든지 이용하는 데에 불편함이 없도록 항상 모든 사항이 완비되어 있다. 재료만 준비되면 우천시에도 맛있는 음식과 파티를 즐길 수 있는 바비큐장이 마련되어 있다. 넉넉한 테이블과 의자가 준비되어있어 언제든지 이용 가능하다. 
36. 산토리니 펜션,충청남도 태안군 이원면 원이로 2771-138,#숙박#충청권#태안숙소#펜션,041-675-0123,<a href="http://산토리니펜션.kr" target="_blank" title="새창 : 산토리니펜션 홈페이지로 이동">http://산토리니펜션.kr</a>,,사랑하는 가족  연인  친구들과 낭만의 서해에서 동해의 시원함  가슴 후련함을 모두느길 수 있는 환상의 산토리니 펜션이다.
