여행지이름,주소,태그,전화번호,홈페이지,영업일,이미지,OVERVIEW
10. 대한제국군 서울시가 전투지,서울특별시 중구 세종대로 39,#관광지#대한제국군서울시가전투지#수도권#역사#역사공부#역사를품은곳#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#현충시설,서울상공회의소 02-6050-3205,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=9b4820bc-b604-4a79-b61d-a70f2cc043e2,1907년 통감부가 대한제국 군대해산을 통고하자 제1연대 1대대장 박승환은 대한제국군의 해산 소식에 격분해  군인으로서 나라를 지키지 못하고 신하로서 충성을 다하지 못하였으니 만 번 죽은들 무엇이 아깝겠는가. 라는 말을 남기고 자결을 택했다. 이를 본 장병들이 대대 일부 장교들의 지휘에 따라 무기고를 부수고 총을 꺼내 일본군과 교전을 시작하였다. 대한제국군 장병들이 분투했으나 현격한 전력의 차이로 인하여 시가전은 일본군의 승리로 끝나고 말았다. 이 전투에서 대한제국군은 장교 11명 등 68명이 전사하고 100여명이 부상당했다. 해산된 대한제국의 군인들은 의병에 합류했고 항일의병의 전력이 예전과는 비교 할 수 없을 만큼 강해졌다. 현재는 서울대한상공회의소 부지로 건물 오른쪽 화단에 현충시설 안내판이 설치되어 있다. 
11. 김익상 의거지,서울특별시 중구 소파로 126,#관광지#교과서속여행#김익상의거지#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#현충시설,서울시청 문화융합경제과 02-2133-2597,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=6dee40c2-a567-40c5-97ff-61e508a6e026,김익상은 1895년 평남 강서에서 태어나 평양 숭실학교를 졸업하고  서울로 와서 광성연초공사의 기계감독으로 한동안 근무하였다. 그후 중국으로 건너간 김익상은 북경에서 김원봉을 만나 의열단에 입단하였다. 의열단에서 조선총독부 폭파 지령을 받고 서울로 잠입한 김익상은 1921년 9월 12일 전기수리공으로 가장하고 남산 중턱 왜성대 조선총독부 청사에 들어가 비서과 인사계실과 회계과에 폭탄 2개를 던졌다. 이 가운데 하나는 불발하고 회계과에 던진 폭탄이 터져 기물을 파손하였으나 인명피해는 없었다. 거사 직후 피신하여 북경으로 돌아온 김익상은 1922년 2월 상해로 가서 동지 오성륜과 함께 2월 28일 오후 3시 반경 상해 세관 부두에서 필리핀에서 도착한 일본 전육군대신 다나카 기이치[田中義一] 육군대장을 향해 폭탄을 던지고 총탄을 발사하였으나 소기의 성과를 거두지 못하고 체포되어 일본 나가사키[長崎]형무소에서 옥고를 치르다 순국하였다. 현재는 서울애니메이션 센터 부지로 의거지임을 알리는 표지석이 설치되어 있다. 
12. 이충순 자결 터,서울특별시 중구 서소문로 88,#관광지#수도권#역사#역사공부#역사를품은곳#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#이충순자결터#현충시설,서울시 역사문화재과 02-2133-2637,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=101f51eb-1096-4e24-9b80-1404c65c39de,이충순 지사는 충청남도 홍성(洪城) 출신이다. 일찍이 군문에 들어가 1902년 7월에 육군보병 참위(參尉)로 임관되었다. 1905년에 군인구락부를 조직하고 구국운동을 전개하였다고 한다. 1907년 정미7조약(丁未七條約)이 체결되고 이어서 비밀각서에 의하여 한국군마저 강제 해산되기에 이르렀다. 8월 1일 시위대(侍衛隊)가 전격적으로 해산 당하자 이를 거부하고 이러한 사태에 대처하여 미리 파견된 일군과 경성에서 접전하던 중 크게 부상을 당하였다. 적에게 사로잡히게 될 위기에 처하자  그는 즉석에서 자결하여 체포당하는 수모를 받지 않았다. 정부에서는 고인의 공훈을 기리어 1990년에 건국훈장 애국장(1977년 건국포장)을 추서하였다. 중앙일보 빌딩 앞 화단에 서울시에서 설치한 표지석이 자리하고 있다. 
13. 신석구 사택 터,서울특별시 중구 청계천로 100,#관광지#수도권#신석구사택터#역사#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#현충시설,서울 중구청 02-3396-5319,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=4286ee87-0499-4bf6-83d7-cadc060d02d4,신석구는 충북 청주군 미원면 금관리에서 태어났다. 15세때 고향을 떠나 방랑생활을 할 때 친구 김진우의 전도로 기독교로 개종하고 신앙생활을 시작하였다. 그는 1908년 정식으로 전도자의 길을 가게 되었는데 1918년에는 서울 수표교 교회에 파송 받아 목회하는 중에 3·1운동에 민족대표 33인중 1인으로 참여하였다. 1919년 2월 27일 기독교 측 대표들이 정동교회 이필주 목사 집에 모여 독립선언서에 서명할 때 신석구도 참여하여 서명하였다. 3월 1일 명월관 지점에 모일 때도 참여하여 독립선언 후 체포되어 2년 반의 옥고를 치루게 되었다. 1921년 11월 4일 출옥 후에는 목회에 임하였다. 천안교회의 목회 중에는 신사참배 반대투쟁을 일으켜 믿음을 지키도록 하다가 다시 체포되어 중형을 받아 중한 병을 얻고 석방되었다. 그 후 1939년 일제의 신사가 없는 평남 용강군 신유리교회  유사리교회  문애리교회에서 목회하다가 1945년 5월 전승기원 예배와 일장기 게양을 거부했다는 이유로 용강경찰서에 연행되어 감옥에서 해방을 맞았다. 
14. 이재명 의거지,서울특별시 중구 명동길 74,#관광지#수도권#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#이재명의거지#현충시설,서울시 중구청 02-3396-5319,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=4cd9c988-d724-42e5-bbd6-2804814426d0,1909년12월22일 청년지사 이재명이 친일 매국노 이완용을 처단하기 위해 의거한 곳으로 서울시에서 설치한 표지석이 자리하고 있다. 
15. 솔라리아 니시테츠 호텔 부산(구 베스트웨스턴 UL 부산),부산광역시 부산진구 서면로 20,#부산숙소#숙박,051-802-8586, http://nnr-h.com/solaria/busan/korean ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=5151f2a3-1f2c-455d-8211-efc21c4c90f2,솔라리아 니시테츠 호텔 부산은 금융  쇼핑  관광  의료  비즈니스의 중심인 부산 서면의 랜드마크이다. 다양한 객실을 보유하고 있으며  세심한 서비스와 합리적인 가격으로 소중한 비즈니스와 즐거운 여행 모두 즐길 수 있는 호텔이다.
16. 정동교회 이필주 사택 터,서울특별시 중구 정동길 46,#관광지#수도권#역사#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사이야기#역사탐험#이필주사택터#정동교회#현충시설,정동제일감리교회 02-753-0001,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=c70cc4e8-49f5-44fa-9489-f6d23e689e09,3·1운동에 앞서 제2  3차 학생단 간부회와 기독교계 대표들이 회합을 가졌던 이필주 목사의 사택이 있던 곳. 목사의 사택에서는 2월 25일  26일 학생 대표들이 모여 독립운동 참여 방안을 논의하였고  2월 28일에는 학생대표들에게   독립선언서  를 배부하기 위한 모임이 열렸다. 또한 이곳에서 기독교계 대표들이 모여 독립선언에 참여할 기독교측 민족대표의 인선을 마무리 지었다. 1918년부터 정동교회를 담임하던 이필주 목사는 3·1운동 추진계획을 듣고 그 취지에 동의하여 민족 대표 33인의 한 사람으로   독립선언서  에 서명하였고  이로 인해 2년 여의 옥고를 치렀다. 
17. 마포전차종점 3·1운동 만세 시위지,서울특별시 마포구 마포대로 20,#3·1운동_100주년_여행지추천#관광지#마포전차종점3·1운동만세시위지#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐험#현충시설,(재)대한불교진흥원 02-719-1855,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=8eded65c-2011-476e-9aa4-1e028fd2c205,1919년 3월 1일 오후 8시경 약 1천명의 군중이 모여 독립 만세시위를 벌인 장소로 현재는 불교방송국이 있는 다보빌딩이 자리하고 있다. 만세시위지임을 알리는 표지석이 건물 앞 화단에 설치되어 있다. 
18. 맥아더 사령관 한강방어선 시찰지,서울특별시 영등포구 신길로 275,#관광지#맥아더사령관한강방어선시찰지#수도권#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#현충시설,서울시 공원조성과 02-2133-2076,국가보훈처 현충시설 정보 서비스  http://mfis.mpva.go.kr/main.do ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=ca8e3d55-732d-4a1b-ab42-27f62b3753f9,맥아더 사령관이 1950. 6. 29. 도쿄에서 날아 와 수원비행장에서 내려 이승만 대통령과 채병덕 육군참모총장이 참석한 가운데 전쟁상황에 관한 브리핑을 실시하였다. 맥아더는 직접 전선을 시찰하기로 하고 시흥지구전투사령부 김종갑 작전처장과 동행하여 한강전선이 보이는 신길동 근처에서 전황을 관측하였다. 이때 맥아더 사령관이 한강 남쪽을 지키고 있던 한 병사에게  너는 이곳을 얼마 동안 지킬 수 있다고 생각하는가? 라고 질문하자  병사가  상관이 철수명령을 내릴 때까지 지키겠다 고 답변하여 그럴 감동시켰다. 맥아더장군의 현지 전선 방문은 후퇴를 거듭하던 한구군의 사기를 크게 고무시켰다. 이와 더불어 인천상륙작전의 아이디어를 얻는데도 큰 도움이 되기도 하였다. 그는 1951년 4월 해임되기 전까지 한국전선을 10회 이상 방문하였다. 당시 시찰지는 영등포공원 앞 도로로 추정되며 영등포공원 내 분수대 인근에 현충시설 안내판이 설치되어 있다. 
19. 영해향교,경상북도 영덕군 영해면 예주8길 14-5,#경상권#관광지#교과서속여행#문화재#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#영해향교#향교,영덕군 문화관광과(문화재) 054-730-6296,영덕 문화관광  http://tour.yd.go.kr   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=c0a66478-177c-4605-96cd-b5865dec8b2a, 1346년(충목왕 2)에 장서기(掌書記)·이천년(李天年)이 향중의 노소들과 협의하여 현재의 위치에 대성전과 동무(東廡)·서무(西廡)를 창건하고 영해향교라 하였다. 그 뒤 1529년(중종 24)에 부사 공서린(孔瑞麟)이 명륜당과 태화루(太和樓)를 건립하여  현유(賢儒)의 위패를 봉안  배향(配享)하고 지방민의 교육과 교화를 담당하였다. 1590년(선조 23)에 대대적으로 보수하였으며  임진왜란 때 소실되었다가 1671년(현종 12)에 명륜당을 중수하고  1706년(숙종 32)에 대대적으로 중건하였다. 1800년(순조 즉위년)에 향원(鄕員)과 유생들이 중수하고 1838년(헌종 4)에 다시 중수하였다. 1940년대 초에 영덕 군수 임경선(任景善)이 1군 1향교제에 따라 관내 영해향교를 철폐시키고 영덕향교에 통합하였다. 그 뒤 6·25전쟁으로 영덕향교가 소실되어 영해 주민들을 중심으로 향교 복설을 추진  1979년에 대성전을 비롯한 건물을 중건하고 영해향교라 하였다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생 70명을 가르쳤으나  갑오경장 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠：공자에게 지내는 제사)을 봉행하며 초하루·보름에 분향하고 있다. 현재 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다.  
20. 가평향교,경기도 가평군 가평읍 향교로 23-1,#가평향교#관광지#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#유적지#향교,031-580-2063,가평 문화관광  http://www.gptour.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=ad1fe2eb-2a0f-42c3-b4cb-ad141186e0cd,1398년(태조 7)에 현유(賢儒)의 위패를 봉안  배향하고 지방의 중등교육과 지방민의 교화를 위해 창건되었다. 1979년에 부속건물을 신축  보수하고 1980년에 재실(齋室)을 신축함과 동시에 전체 건물을 보수하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·내삼문(內三門)·제기고(祭器庫) 및 기타 부속건물이 있다. 대성전에는 5성(五聖)  송조 2현(宋朝二賢)  우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 전답과 토지·전적 등을 지급받아 교관이 교생을 가르쳤으나  현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 있으며  전교(典校) 1명과 수명의 장의(掌議)가 운영을 담당하고 있다. 이 향교에서는 방학 동안 명륜학당(明倫學堂)을 개설하여 지방의 중등학생들에게 전통교육 등을 실시하고 있다. 
21. 천은사(삼척),강원도 삼척시 미로면 동안로 816,#강원권#관광지#사찰#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#천은사#풍경좋은곳,033-572-0221,삼척 천은사  http://cafe.daum.net/cheoneunsa ,연중개방,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=0a575bb3-dc9f-41d7-adcb-37c3a44acf06,천은사는 이승휴가 한민족의 대서사시인 제왕운기를 저술한 곳이다. 창건역사는 경덕왕 17년(738년) 인도에서 두타의 세 신선이 흰 연꽃을 가지고 와서 창건했다는 백련대까지 거슬러 올라간다. 그 뒤 흥덕왕 4년(829년)에 범일국사가 극락보전을 건립함으로써  사찰의 면모를 갖추기 시작했다. 고려 충렬왕 때 이승휴가 중수하고 이 곳에서 대장을 다 읽었다는 뜻에서 간장이라 하였고 조선 선조 때 청허 서산대사가 절을 중건하고 흑악사라 하였다. 다시 1899년 이성계 4대조의 묘인 목조릉을 미로면 활기리에 만들면서   이 절을 원당사찰로 삼고 `임금의 은혜를 입었다   하여 천은사라 불렀다. 한국전쟁 때  큰 불을 만나 완전 폐허가 되다시피 하였는데 1983년 문일봉 스님이 중건하였다.  잔 자갈이 밟히는 오솔길을 따라 경내로 들어서게 되며 오솔길 양쪽으로 서 있는 벚꽃나무들은 봄이면 엷은 분홍색 꽃을 흐드러지게 피운다. 
22. 천은사(구례),전라남도 구례군 광의면 노고단로 209,#가족여행#관광지#구례천은사#사찰#산사#역사#역사유적지#유네스코세계문화유산#템플스테이,천은사 061-781-4800,천은사  http://www.choneunsa.org ,연중개방,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=3bccaac9-8f21-4581-8495-b9546ca6eb27,천은사는 구례읍 북쪽 9km지점  지리산 일주도로 입구에 위치하고 있으며 신라 흥덕왕 3년 (828년)에 덕운조사와 인도의 승려   스루  가 터를 닦고 지은 절로서 화천양사라 하여 화엄사와 함께 지리산 3대 사찰로 손꼽힌다.임진왜란 때 불타 없어진 것을 조선 광해군 2년(1610년)에 혜정선사가 다시 지었으나 숙종2년(1676년)에 불에 타버려 그 이듬해 절을 지었다가 영조49년(1773)에 화재를 당해  영조 51년 (1775년)에 혜암선사가 다시 지어 오늘에 이르렀다. 천은사의 본래 이름은 828년 인도승려와 덕운조사가 창건할 당시 경내에 이슬처럼 맑은 차가운 샘이 있어 감로사라 했는데  이 물을 마시면 흐렸던 정신이 맑아진다 하여 많은 스님들이 몰려 들어 한 때는 천명이 넘는 스님이 지내기도 했으며 고려 충렬왕 때는  남방제일사찰로 승격되기도 했다. 그러나 임진왜란으로 불탄 뒤 중건할  때 샘가에 큰 구렁이가 자주 타나기에 잡아죽였더니 샘이 솟아나지 않았다고 한다.   그래서 샘이 숨었다하여 조선 숙종 4년(1677년)부터 천은사라 이름을 바꾸었는데  이상하게도 이름을 바꾼 후부터  원인모를 화재가 잦고 재화가  끊이지 않았다.  주민들도 절의 수기를 지켜주는 구렁이를 죽였기 때문이라며 두려워하였다. 이 소식을 전해들은 조선4대 명필의 한사람인 원교 이광사가 지리산 천은사라는 글씨를 물 흐르는 듯한 서체로 써서 걸었더니 이후로는 화재가  일어나지 않았다고 한다. 지금도 새벽녘 고요한 시간에는 일주문 현판 글씨에서 물흐르는 소리가 은은하게 들린다고 한다.그러고 보면 일주문은 절의 귀중한 내력을 담고 있는 셈이다. 천은사는 주위의 풍광이 아름다울 뿐 아니라 극락보전 아미타후불탱화인 보물1점과 지방문화재 2점이 있으며  절입구 계곡을 가로질러서 있는 정자 수홍루는 눈 아래 어리는 물그림자와 더불어 아름다운 한폭의 동양화를 연상케 한다. 
