이름,주소,태그,전화번호,홈페이지,운영시간,이미지,소개
159. 구천서원,대구광역시 북구 구암로21길 41,#경상권#관광지#교과서속여행#구천서원#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험,대구 북구 관광자원개발과 053-665-4326,대구 북구 문화관광  http://www.buk.daegu.kr/tour/index.do   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=7a6cba2e-53f5-45bd-bfa4-097455c72119,1701년(숙종 27) 지방유림의 공의로 박맹지(朴孟智)·양관(梁灌)·표연말(表沿沫)·강한(姜漢)·양희(梁喜)·하맹보(河孟寶)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여오던 중  대원군의 서원철폐령으로 1869년(고종 6) 훼철되었다. 그뒤 후손들이 불망계(不忘契)를 조직  구천재와 유허비를 세워 헌례(獻禮)를 올려오다가  1983년 복원하고 양홍주(梁弘澍)를 추가 배향하여 지금에 이르고 있다. 
160. 등선폭포(삼악산),강원도 춘천시 서면 경춘로,#관광지#자연,관리소 033-262-2215,춘천 문화관광  http://tour.chuncheon.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=3f1a2739-2c87-4931-b430-d7a708550f2b,서울에서 북쪽으로 80km  춘천에서 남서쪽으로 10km 떨어진 등선폭포(계곡)는 경춘국도변에서 100m 계곡안에 자리잡아 서울  경기  인천지역 시민들의 주말여행이나 1일관광코스로 적합하다.
161. 화암서원,대구광역시 북구 노곡로5길 7-18,#경상권#관광지#교과서속여행#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐험#화암서원,대구 북구 관광자원개발과 053-665-4326,대구 북구 문화관광  http://www.buk.daegu.kr/tour/index.do   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=b490256d-6307-4451-8123-1b160b1f6163,화암서원(華巖書院)은 정조 을유년(乙酉年)에 영남의 많은 사림들이 백인관(白仁寬) 선생의 충효정신을 추모하고 교육의 목적으로 성서(城西) 장기동(퇴락(頹落)함에 사람 및 후손들은 우구(憂懼)함을 이기지 못하여 경선재지(景長基洞)에 청원하여 봉사(奉祀)하여 오던 중 백문연·백용채(白文連·白龍采) 두 분을 추향하게 되었다. 82년간 지속하다 훼철당한 후 공께서 노후에 노곡동에 두어간 집을 세워 경선정(景禪亭)이라 편액하여 후학강론(後學講論)하시든 정(亭)을 사림 및 후손들이 경선재(景禪齋)로 중창(重刱)하였으나 또한 재(齋)가 禪齋址)에 중건을 합의하여 경오년(庚午年)에 기공(起工)하여 정축년(丁丑年 1997) 중춘(仲春)에 낙성(落成)하여 지금에 이르고 있다. 
162. (구)인천일본제58은행지점,인천광역시 중구 신포로23번길 69,#관광지#교과서속여행#구인천일본제58은행지점#문화재#수도권#역사#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방,인천시 중구 문화유산팀 032-760-6474,인천 중구 문화관광  http://www.icjg.go.kr/tour  문화재청   http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=7e62f852-bb74-41d6-a527-df82341d62d6,일본 오사까(大阪)에 본점을 둔 일본 제 58은행이 설치한 인천지점으로 1892년에 개점하였다. 1946년에 조흥은행이 인천지점으로 사용하였으나 1958년 이후 신사옥을 지어 옮겨가면서 적십자사 경기도지사로 사용하다가 현재는 인천 중구 요식업조합에서 사용하고 있다. 지상 2층 건물로서 1층은 돌기단으로 되어 있고  2층 발코니와 아래 방을 지붕창이라 부르는 도머(Dormer)창이 있다. 지붕은 2중으로 경사를 이루고 있는 맨사드(Mansard) 지붕을 조합하여 전체적으로 프랑스식 르네상스 양식이다. 
163. 삼악산(춘천),강원도 춘천시 서면 경춘로 1401-25,#강원권#관광지#등산#산#삼악산#자연#풍경좋은곳,관리소 033-262-2215,춘천 문화관광  http://tour.chuncheon.go.kr ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=ff05aa15-98af-42a3-b8bf-9d9bde8d7a62,서울에서 북쪽으로 80km 춘천에서 남서쪽으로 10km 떨어진 삼악산과 등선폭포(계곡)는 경춘 국도변에서 가깝기 때문에 수도권 시민들의 주말여행이나 일일관광코스로 적합하다. 깎아지른 듯한 절벽 및 기암괴석 사이로 크고 작은 폭포가 연이어 있으며 높이 10m 의 아담한 제1폭포를 시작으로 제2 3폭포 및 선녀탕을 경유하여 삼악산 주봉(해발 655.8m)을 오르는 등산로는 그리 험하지 않아 초보자들도 쉽게 오를 수 있다. 협곡과 아기자기한 바위능선으로 이루어진 삼악산의 산세는 설악산의 빼어난 암봉미와 오대산의 웅장함을 한 곳에 모아놓은 듯하다. 울창한 수목도 인상적이고 의암호와 북한강이 내려다 보이는 정상에 서면 마치 다도해에 떠 있는 듯한 착각이 들 정도이다.
164. 평안도족발집,서울특별시 중구 장충단로 174-6,#맛집#음식,02-2279-9759,,월요일 / 명절연휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=02bde99d-e980-4fb2-a011-0f4ae4afd8d0,※ 영업시간 12:00 ~ 22:30 (주문마감 22:00)  50여 년 전통의 장충동 족발거리에 위치한 유명 맛집이자 원조집으로 소문난 평안도족발집이다. 족발 본연의 담백한 맛을 느낄 수 있어 족발 마니아들의 단골 맛집 중 하나로 꼽힌다. 다른 족발집과 다르게 족발거리에서 오른쪽으로 꺾어 안쪽에 위치해 있으므로 방문 시 주의가 필요하다.   허영만 화백의 만화  에서   평안도 족발집  을 족발 메뉴 개발자로 소개하고 있다.
165. 족회관,서울특별시 중구 장충단로 168,#맛집#음식,02-2275-0863,,명절당일,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=93a263c2-9445-4741-87bd-ec5ad491fbc6,※ 영업시간 10:00 ~ 24:00  1970년에 문을 연 이래로 전통과 역사를 자랑하는 곳이다.   가게 내부가 깨끗하고 넓은 편인데다가 족발 손질이 오픈된 공간에서 이루어지므로 안심하며 즐길 수 있다. 녹두빈대떡과 콩나물국이 서비스로 제공된다.
166. 원조평남할머니집족발,서울특별시 중구 장충단로 170-1,#맛집#음식,02-2278-5168,,명절연휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=615291c1-eccf-43bb-9fe0-44a410759afb,※ 영업시간 12:00 ~ 22:00  40여 년 전에 개업한 곳으로 역사와 전통을 자랑하는 곳이다. 더불어 주인 아주머니의 풋풋한 인심이 마음 편하게 음식을 즐길 수 있게 한다.
167. 고향냉면,인천광역시 동구 화평로 6,#맛집#음식,032-777-9393,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=a6c46a05-012c-4d8f-a203-97a15cb44432,※ 영업시간 10:00 ~ 22:00  1993년 쯤 문을 열었다. 깔끔한 실내와 각종 조형물 인테리어로 편안한 분위기에서 음식을 즐길 수 있다.
168. 삼미소문난냉면,인천광역시 동구 화평로 10,#맛집#음식,032-763-4861,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=d54e1825-72ba-46e9-8ac1-8d1dced5be6f,※ 영업시간 10:00 ~ 21:00  30년 된 집이다. 세월이 느껴지는 실내 분위기가 냉면 맛을 더욱 살린다.
169. 냉면천국,인천광역시 동구 화평로 14,#맛집#음식,032-777-1248,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=0bf44e74-c3e8-4316-963b-512893639aac,※ 영업시간 10:00 ~ 22:00  냉면천국은 냉면과 함께 묵밥을 파는 것이 특징이다.  메인메뉴인 쫄깃한 세숫대야 냉면 뿐만 아니라 부드러운 즉석메밀 냉면도 제공하므로 원하는 입맛에 따라 초이스가 가능하다.
170. 아저씨냉면,인천광역시 동구 화도진로91번길 27,#맛집#음식,032-765-3553,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=dd1c6bd5-62cd-4bb4-9e9f-59a3ed32c9be,※ 영업시간 10:00 ~ 21:00  1978년경에 문을 연 집이다. 오래된 세월이 실내에서 느껴진다. 나이드신 분들이 많이 찾는 등 오래된 단골이 많다.
171. 인천기독교사회복지관(현 창영사회복지관),인천광역시 동구 우각로 57,#관광지#문화재#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#인천기독교사회복지관#창영사회복지관,대구 동구 문화관광과 053-662-2362,인천동구 문화관광  http://www.icdonggu.go.kr/open_content/culture  문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=dce1cb1a-69ee-4256-af44-8ccb3d98c3bf,인천기독교사회복지관은 19c말 미국 감리교회가 보낸 선교사들의 합숙소로 이용하기 위하여 지어진 건물들 중에서 현재까지 남아있는 건물이다. 이 곳은 해방 후 1949년 4월 미국 감리교 선교사 헬렌 보일즈에 의하여 인천기독교사회관으로 다시금 창설됐으나 한국전쟁 등 파란만장한 일들을 겪고 1956년부터는 여자 선교사들의 숙소였던 이 건물을 기독교사회복지관으로 사용하게 되었다. 1894년에 지어진 이 건물은 양철(함석)지붕으로 구조가 독특하며  벽체는 빨간 벽돌로 쌓았다. 창호는 조선시대 서원이나 절의 승방 등에서 사용하던 방법을 빌어  쓸 용(用)자 모양으로 꾸몄고  가장자리는 빗살 모양으로 짜 넣었다. 내부는 목조로 되어 있으며  2층 가로축에 지하로 드나들 수 있도록 시설하였다. 비교적 원형을 잘 보존하고 있는 근세 르네상스 양식의 건물이다. 현재는 재단법인 기독교대한감리회 유지재단에서 창영사회복지관으로 운영하고 있다. 
172. 서계서원,대구광역시 북구 호국로51길 45-17,#경상권#관광지#교과서속여행#서계서원#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험,대구 북구 관광자원개발과 053-665-4326,대구 북구 문화관광  http://www.buk.daegu.kr/tour/index.do  문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=5dcb54eb-4bce-4aa9-81ff-e8b450705eca,서계서원 (西溪書院)은 1781년(정조 5) 지방유림의 공의로 이문화(李文和)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 1801년(순조 1) 이주(李輈)를 추가 배향하여 선현배향과 지방교육의 일익을 담당하여 왔다. 대원군의 서원철폐령으로 1868년(고종 5)에 훼철되었다가 그 뒤 점차 복원하여 오늘에 이르고 있다. 경내의 건물로는 3칸의 사우(祠宇)  신문(神門)  동·서 협문(夾門)  3칸의 강학당  1칸의 서고(書庫)  각 3칸의 동재(東齋)와 서재(西齋)  주사(廚舍)·대문 등이 있다. 사우에는 이문화와 이주의 위패가 봉안되어 있다. 강학당은 화수정(花樹亭)이라 칭하는데 1924년에 중건된 건물이다. 동재는 금수랑(琴水廊)이라 칭하며 서원 내의 여러 행사와 유림의 회합  학문의 토론장소 등으로 사용되며  문헌과 가보(家寶)를 보관하고 있다. 서재는 희리당(希理堂)이라 칭하여 유생이 강학하는 곳으로 사용하였으며  창포리에 있는 환성정(喚惺亭)을 서재로 옮겨 왔다. 서고는 부용장(芙蓉帳)이라 하여 유생의 휴식소 겸 숙소로 사용하고 있으며  주사는 향사 때 제수(祭需)를 마련하여 두는 곳이다. 이 서원에서는 매년 봄과 가을에 향사를 지내고 있으며  소장전적으로는『오천실기(烏川實紀)』 외 200여 권이 있다.  
173. 북한산국립공원(도봉 지구),서울특별시 도봉구 도봉산길 86,#관광지#자연,북한산국립공원 도봉분소 02-954-2566,북한산국립공원  http://bukhan.knps.or.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=50be2168-cdd9-49ab-9ca8-85621d39c685,1983년에 국립공원으로 지정된 삼각산(북한산)국립공원은 총 넓이 78.45 ㎢로 삼각산(북한산)과 도봉산 지역을 포함한다. 북한산의 인수봉  만경대  백운대  노적봉  보현봉  비봉  원효봉과 도봉산의 자운봉  만장봉  선인봉  오봉 등 20여 개의 봉우리가 이어져 있다. 백운대(835.6m)  인수봉(810.5m)  만경대(799.5m)를 일컬어 삼각산이라고 하는데  인수봉의 암벽타기 등을 즐기는 산악인들과 그 외 많은 등산객이 찾고 있다. 공원 전체가 도시지역으로 둘러싸여 생태적으로는  고립된 섬 이지만 도시지역에 대한  녹색허파 로서의 역할을 훌륭히 수행하고 있으며  수도권 주민들의 자연휴식처로 크게 애용되고 있다.  수도권 어디에서도 접근이 용이한 교통 체계와 거대한 배후 도시로 연 평균 탐방객이 500만에 이르고 있어   단위면적당 가장 많은 탐방객이 찾는 국립공원 으로 기네스북에 기록되어 있지만  이같은 과도한 탐방압력이 삼각산(북한산)의 자연생태계를 점차 약화시키고 있다. 자연휴식년제 구간  산불조심기간 중 통제구간  수많은 샛길  안전사고  위험지역 등 출입금지구역에 대한 탐방객 스스로의 주의가 절대 필요하다.  삼각산(북한산)국립공원은 거대한 화강암으로 이루어진 주요 암봉사이로 수십 개의 맑고 깨끗한 계곡이 형성되어 산과 물의 아름다운 조화를 빚어내고 있으며  그 속에 10 300여 종의 동식물이 서식하고 있다. 또한  삼국 시대 이래 과거 2천 년의 역사가 담겨진 북한산성을 비롯한 수많은 역사  문화유적과 100여 개의 사찰  암자가 곳곳에 산재되어 있어 다양한 볼거리와 생태  문화  역사 학습장소를 제공하고 있다. 삼각산(북한산)은 계절별로 봄에는 온갖 꽃들이 다투어 피어  공원 전체를 동화 속의 나라로 바꾸어 놓고  여름에는 울창한 숲과 그 밑을 흐르는 계곡에서 잠시 쉬고 있노라면 무릉도원이 따로 없을 정도이다. 가을에는 조상의 거친 숨결이 아직까지도 느껴지는 듯한 사적 제162호 북한산성 유적지를 따라 거닐면 고즈넉한 정취에 흠뻑 심취해 볼 수 있다. 그리고 겨울에는 흰눈이 덮인 인수봉  백운대  만경대의 삼각산을 바라보고 있노라면 순결함과 신성한 기운이 감도는 듯한 신비함도 맛볼 수 있다.
174. 매양서원,대구광역시 북구 매천로37길 48,#경상권#관광지#교과서속여행#매양서원#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험,대구 북구 관광자원개발과 053-665-4326,대구 북구 문화관광  http://www.buk.daegu.kr/tour/index.do   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=452f2dff-938c-4726-b651-20014ef71e5e,매양서원(梅陽書院)은 광해군 때 아헌 송원기(宋遠器)가 사간원으로 있으면서 광해군의 폭정을 간하였으나 이를 듣지 않자 자신의 호를 벙어리라는 뜻에서 아헌으로 고치고 지금의 매남동 지역으로 내려와 후진을 양성 하였다는 데서 매남이라는 이름이 유래되었고  매양서원이 창건된 것은 1692년(숙종18)이다. 이 서원은 아헌(啞軒)송원기(宋遠器)를 기리고 선비가 모여 학문을 강론하기 위해 지어졌다. 1783년(정조7)에는 사람들의 합의로 매헌(梅軒) 송명기(宋命基)와 남촌(南村) 송이석(宋履錫)을 배향하게 되었다. 1871년(고종8) 흥선대원군의 서원훼철령으로 두 차례 훼철된 후 1886년 재차 복원했지만 다시 소실됐고 2004년 제 모습을 찾게 됐다. 매양서원의 복원은 문중의 영광으로 그치기보다 지역 문화유산으로 등재돼 강학의 장으로 삼아야 한다는 유림과 지역민들의 권유에 따라 2009년 4월 26일 기적비(紀積碑) 제막식과 함께 세상에 알려지게 됐다. 
175. 금샘 홈스테이 [한국관광 품질인증/Korea Quality],부산광역시 금정구 금강로379번길 50,#금샘#부산추천숙소#숙박#숙소#외국인친구에게추천#추천숙박#한국관광품질인증#한국관광품질인증업소#홈스테이,010-5525-9303,,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=01092ce1-4a7d-4fa1-9e40-a0050e4b39cc, 금샘은 외국인 전용 홈스테이 숙소다. 금샘에서 부산대학교까지 도보 약 20분  외국어대학교까지 버스로 약 20분 거리에 있어 어학연수로 부산을 찾는 학생들에게 인기 있다. 금샘은 아파트를 숙소로 활용하는데 홈스테이용 객실은 모두 4개다. 거실과 주방  화장실은 공동으로 사용하고 원할 경우 조식  석식을 제공한다. 호스트와 영어로 소통이 가능하다. 한국의 역사와 문화에 관해 대화를 나누거나 부산의 여행지를 안내해준다.   금샘에서 가까운 지하철은 1호선 장전역으로 걸어서 10분 거리다. 부산 여행을 할 경우 지하철을 이용하는 게 좋다. 지하철로 장전역에서 해운대역까지 약 38분  광안리해변으로 갈 수 있는 광안역까지 약 34분  자갈치시장이 있는 자갈치역까지 약 35분 걸린다. 부산역이나 김해공항까지 대중교통으로 약 1시간 걸린다.   
176. 용화산,강원도 화천군 하남면 용화산로,#강원권#관광지#등산#산#용화산#자연#풍경좋은곳,화천군 농업기술센터 033-440-2426,화천 문화관광  http://tour.ihc.go.kr ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=6ee4f938-e15f-4d09-b3f0-6daac8d81d6b,해발 877.8 m의 용화산은 화천군 간동면  하남면과 춘천시 사북면 경계에 솟아 있다. 화천군민의 정신적 명산이며 해마다 용화축전시 산신제를 지낸다.  전설에 의하면 이 산의 지네와 뱀이 서로 싸우다 이긴 쪽이 용이 되어 하늘로 올라갔다 하여 용화산이라 이름 지어 졌다. 암벽등반을 하지 않고도 암벽등로를 누비는 재미를 맛볼 수 있다. 득남바위  층계바위  하늘벽  만장봉  주전자바위  작은 비선대 등 숱한 기암괴석과 백운대 코스와 비슷한 깔딱고개까지 있어 온종일 바위등로를 오르내리게 된다. 특히 858m봉에서 정상까지는 지그재그로 이어지는 암릉 코스여서 스릴만점이다.  용화산 준령 북쪽에 성불령이라는 고개가 있고 여기에 성불사 터가 있다. 예부터 성불사 저녁 종소리와 용화산의 안개와 구름  기괴한 돌  원천리계곡의 맑은 물  부용산의 밝은 달  죽엽산의 단풍  구운소의 물고기 등을 화천팔경이라 불렀다. 춘천에서 화천가는 국도를 달리다 춘천댐 입구에서 오른쪽 도로로 접어들어 15분을 더 가면 춘천 고탄리 양통마을. 이곳이 산행기점이다. 최근 춘천시 사북면 고성리에서 화천군 하남면 삼화리로 넘어가는 포장도로가 뚫려 있고 산 정상 1km 아래 지점에 주차장까지 생겨 등산 대신 드라이브 코스로도 훌륭하다.
177. 목계서원,경상남도 산청군 단성면 석대로525번길 40-13,#경상권#관광지#교과서속여행#목계서원#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험,산청군 문화체육과 055-970-6413,산청 문화관광  http://www.sancheong.go.kr/tour/index.do   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=85ab3d5a-1848-4e61-9a55-02858b88c3ad,1778년(정조 2) 창건되었으며  서원철폐령에 의해 훼철되었다. 그 후 1983년에 중수되었다. 현재 편액은 목계정사(牧溪精舍)이고 1동이다. 재실만 있다. 조선 숙종 조에 사림이 김담(金湛)과 이조(李晁)를 두능서원(杜陵書院)에서 봉향하다가 서원이 훼철되자 1778년(정조 2)에 유림들이 목계서원을 지어 다시 봉향하였다. 그 뒤 대원군의 서원훼철령에 의해 철폐된 것을 1883년(고종 20)에 강당을 중수하였으며 1983년에 완전히 복원되었다. 이 서원을 ‘목계정사(牧溪精舍)’로도 부르는 것은 훼철을 피하기 위해서였던 것 같다. 
178. 약속떡볶이,서울특별시 중구 퇴계로76길 58,#맛집#음식,02-2252-2616,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=08f58bd4-9a95-41b3-91ff-6f0a9ec47630,※ 영업시간 00:00 ~ 24:00  내부가 깔끔하다. 옛날식 얇은 프라이팬에 떡볶이를 만들던 곳으로 그 역사가 20년이 훌쩍 넘는다. 최근에 가게를 넓히고 내부를 다시 단장한 것이다.
179. 우리집떡볶이,서울특별시 중구 다산로 217-1,#맛집#음식,02-2232-4531,,공휴일 / 명절 전날 및 당일,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=b28c0c37-8cd5-40be-8d62-f36aae874a13,※ 영업시간 00:00 ~ 24:00  일본인 여행자들이 종종 들르는 집이다. 지하에 100명 정도 들어갈 넓은 자리가 있다. 1979년에 문을 열었으니 이 골목에서 30년 세월 떡볶이를 만든 집이다.
180. 우정,서울특별시 중구 퇴계로76길 55,#떡볶이#맛집#서울맛집#수도권#우정#음식,02-2233-0669,,첫째 셋째 수요일 / 명절 전날 및 당일,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=eaa9b566-5c7a-4d63-98ce-a7b567b1048c,※ 영업시간 00:00 ~ 24:00  70년대 말에 문을 연 집이다. 30년 정도 됐지만 실내는 깨끗하다. 간혹 오래된 물건들이 보이기도 하는데 세월이 느껴져 입보다 먼저 마음으로 맛을 본 느낌이다. 요즘도 학생들이 많이 찾는다.
181. 아이러브 신당동 떡볶이,서울특별시 중구 퇴계로76길 50,#맛집#음식,02-2232-7872, http://www.ilovesindangdong.com ,첫째 셋째주 월요일,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=5824a7e0-437e-4d7d-8894-65bdf0a93b93,※ 영업시간 00:00 ~ 24:00  25년 정도 역사를 가진 떡볶이집 7곳이 모여 2001년에 지금의 모습으로 문을 연 곳이다. 아직도 DJ가 음악을 틀어주고 사연을 이야기 한다. 통기타 라이브 무대도 펼쳐진다. 홈페이지로 들어가면 떡볶이 주문게시판이 있는데 이곳을 통해 택배로 떡볶이를 받아서 맛볼 수 있다.
182. 종점떡볶이,서울특별시 중구 다산로 217-1,#맛집#음식,02-2234-3649,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=b698e2b8-5565-4adb-97f1-624b1badee6d,※ 영업시간 00:00 ~ 24:00  1978년에 처음 문을 연 집으로 신당동 떡볶이거리에서도 유난히 인기가 많은 집이다. 떡볶이에 볶음밥을 추가해서 먹는것이 특색 있다.
183. 평천서원,경상남도 산청군 생초면 왕산로 439-13,#경상권#관광지#교과서속여행#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#평천서원,산청군 문화체육과 055-970-6413,산청 문화관광  http://www.sancheong.go.kr/tour/index.do   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=dca48975-048f-4c18-bf8d-553a00531028,1694년(숙종 20)에 창건하였다. 창건된 후 선현 배향과 지방교육의 일익을 담당하여 오던 중 대원군의 서원철폐령으로 1868년(고종 5)에 훼철되었다. 배현경(裵玄慶)  배신침(裵愼甚)  배세겸(裵世謙) 등 세 사람을 배향하고 있다. 본 서원 일대가 1990년대에 대진간 고속도로 교착지로 편입하게 되어 있어 생지봉 임당선생묘소(生旨峰 林塘先生墓所) 산록으로 이건하고 평천서원으로 복원하였다. 평천서원기문에 의하면 본 서원은1788년( 정조 12)에 열읍 사림의 공의로 산음현서모음(山陰縣 西毛音)에 배신침과 배세겸 양 부자를 봉향하기 위하여 창건하였으며 1819년(순조 19)에 배현경을 추향하였다고 하였다. 
184. 가호서원,경상남도 진주시 이반성면 용암길 59-2,#가호서원#경상권#관광지#교과서속여행#문화재#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐험,진주시 문화예술과 055-749-8579,진주 문화관광  http://tour.jinju.go.kr  문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=efe36ad4-34a1-4225-b5bb-006ffb82d640,임진왜란 때 의병장으로 활약한 정문부(鄭文孚)를 모시기 위해 세운 서원이다. 당초 함북(咸北)에 있는 네 개의 사우에 향사하였다가  1970년에 진주 향교 사람들의 공의와 선생 후손들의 협찬에 의해 현 위치에 사우를 건립하였다. 그 후에 서원 내에 정문부장군유물전시관도 건립되었다. 
185. 재약산,경상남도 밀양시 단장면 구천리,#관광지#자연,표충사종무소 055-352-1150,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=aa88be43-4176-4601-acc8-b741bea68d10,천년고찰 표충사 뒤에 우뚝 솟은 재약산(주봉 : 수미봉 1119.1 m)은 영남알프스 산군 중 하나로 사자평 억새와 습지를 한 눈에 볼 수 있으며  산세가 부드러워 가족 및 친구들과 가볍게 산행 할 수 있는 아름다운 명산이다.  인근에 얼음골  호박소  표충사  층층폭포  금강폭포 등 수많은 명소를 지니고 있으며  수미봉  사자봉  능동산  신불산  취서산으로 이어지는 억새능선길은 가을 산행의 멋을 느낄 수 있는 최고의 힐링 길이다.
186. 삼강서원,경상남도 밀양시 삼랑진읍 삼랑1길 32-9,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험,밀양시 문화예술과 055-359-5637,밀양 문화관광  http://tour.miryang.go.kr  문화재청  http://www.cha.go.kr ,,,낙동강가 민씨 오우정(五友亭) 안에 있는 서원으로 연산군  중종 때 학자인 민구령(閔九齡)  민구소(閔九韶)  민구연(閔九淵)  민구주(閔九疇)  민구서(閔九敍) 등 5형제를 배향하였다. 삼강서원은 조선 연산군·중종 때의 김종직(金宗直)의 문인이였던 민구령(閔九齡)이 1510년(중종 5)경에 삼랑루(三郞樓)가 있던 자리에 정자 하나를 짓고  아우인 민구소(閔九韶)  민구연(閔九淵)  민구주(閔九疇)  민구서(閔九敍)와 더불어 5형제가 베개를 나란히 하여 기거하면서 학문을 닦고 실천하여 형제간의 우애가 출천(出天)하여 향도에 그 평판이 자자하였다. 1547년(명종 2)에 당시의 경상도 관찰사 임호신(任虎臣)이 그 명성을 듣고 이곳을 찾아와 사실을 확인한 다음 조정에 벼슬을 천거하는 한편 오우정(五友亭)이라는 현판을 써서 걸었다. 그 뒤 1563년(명종 18)에 이곳 향중의 사림들이 민씨 5선생의 우애와 덕행을 추모하고 정자 안에 오우사(五友祠)를 지어 병향(幷享)하였으며 경내에 따로 기사비(紀事碑)를 세웠다. 후에 오우사는 삼강사(三江祠)로 바뀌었고 다시 삼강서원으로 승격하여 조두(俎豆)의 위의를 더욱 갖추었다. 정자와 사당은 임진왜란 때 불타 버렸다가 그 뒤 자손들에 의하여 복원되었고  이후 수백년 동안 여러 차례 흥폐를 거듭해 오다가  1868년(고종 5) 서원철폐령에 의하여 훼철되었다. 1897년(고종 34)에 후손인 민영지(閔泳智)  민영하(閔泳夏) 등이 문중의 의논을 주도하여 사당에 있던 자리에 큰 집을 새로 짓고 오우정의 현판을 걸어 보존하였다. 1904년에 일부를 중건하였으며  1979년에 14세손 민병태(閔丙兌)의 주선으로 후손들이 협력하여 정자의 규모를 확충하고 사당을 다시 지어 향중 유림들의 공의로 삼강서원의 현판을 걸고  향사림의 주관으로 서원 향사를 받들고 있다. 
