인덱스,이름,주소,#태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
16,인어상,강원도 춘천시 신동면 의암리 산81-2,#강원도#춘천#관광지#문화,033-250-3075,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0048_I_01.JPG&w=454&h=242,없음,3대 주차 가능무료주차,주변에 삼악산과 의암호가 어우러진 경관이 뛰어나 행랑 객으로부터 꾸준한 사랑을 받고 있는 곳이다. 인어상은 1971년 당시 춘천고등학교 교사로 재직 중이던 이길종 춘천교대 명예교수와 그의 제자들이 습작품이다. 그러나 40년이 지나면서 색이 변하는 등 노후화되자 2013년 청동 조형물로 새 단장하였다. 인어상 주변에는 애니메이션박물관 청평사 등 볼거리들이 있다.
17,신포리낚시터,강원도 춘천시 사북면 지촌길 36-6,#강원도#춘천#관광지#레저스포츠,033-243-8351,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0016_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,신포리낚시터는 춘천호에서 가장 넓은 붕어 낚시터로 연안 대낚시보다 좌대낚시 조황이 월등히 뛰어나다. 춘천댐에서 화천 방면 12km지점에 있는 사북면 소재지에 이르면 도로 오른편으로 울긋불긋한 수상좌대의 모습이 멀리 보이고 소재지를 거의 지나가면 낚시터 입간판이 나타난다.
18,거북이낚시터,강원도 춘천시 서면 현암리 698-3,#강원도#춘천#관광지#레저스포츠,033-242-3199 010-50,http://blog.daum.net/777turtle777,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0031_I_02.JPG&w=454&h=242,무료,주차 가능무료주차,의암호 중류권에 있으며 소문난 드림 낚시터를 조금 지나 오르면 보인다. 크고 작은 계곡을 따라 맑고 깨끗한 물이 흘러가는 곳이다. 산림 수종도 다양하여 계절에 따라 녹음 단풍 설경 등 수려한 경관을 감상할 수 있다. 더불어 다양한 야생동물이 서식하고 있다. 거북이낚시터에서 강원도의 매력을 충분히 느낄 수 있을 것이다.
19,월척낚시터,강원도 춘천시 박사로 914-14,#강원도#춘천#관광지#레저스포츠,033-243-2271,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0019_I_10.JPG&w=454&h=242,무료,주차 가능주차무료,사계절 즐길 수 있는 월척낚시터는 강원도의 아름다운 강을 따라 달리다 보면 나오는 춘천에 위치하고 있다. 계절별로 온 가족이 사계절 어느 때나 편안한 휴식을 즐길 수 있는 공간이다. 인근에 강촌유원지 애니메이션박물관 청평사 등 주변에 관광명소가 많아 일상의 스트레스를 털고 재충전 할 수 있는 휴양지로 적합한 곳이다.
20,원평리낚시터,강원도 춘천시 사북면 원평길 36-64,#강원도#춘천#관광지#레저스포츠,033-243-6820,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0018_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,원평리는 춘천호 중류권으로 유료 좌대 낚시터(세월낙시터)와 함께 길게 이어진 밤나무골 연안 포인트로 유명한 곳이다. 춘천댐에서 화천 방향 5km지점에 있는 낚시터 간판을 확인하고 급우회전해 내려가면 낚시터로 진입할 수 있다. 교통이 조금 불편하지만 지형 여건상 바람의 영향을 덜 받는 곳에 위치하여 조용하고 아늑한 분위기에서 낚시를 즐길 수 있는 곳이다.
21,삼천낚시터,강원도 춘천시 삼천동 335-1,#강원도#춘천#관광지#레저스포츠,033-251-3145,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0013_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,춘천시 의암호에 위치해있는 삼천낚시터는 고객들의 편의를 위해 최신시설을 완비하여 편안하고 즐거운 낚시를 즐길 수 있게 조성되었다. 특히 가족 나들이 장소로 인기가 좋다. 주로 붕어 잉어 향어 장어 등이 서식한다. 수상좌대는 10대 정도 운영하며 바비큐장이 구비되어있어 관광객들도 많이 찾는 곳이다.
22,소문난드림낚시터,강원도 춘천시 서면 덕두원리,#강원도#춘천#관광지#레저스포츠,033-244-8831,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0010_I_01.JPG&w=454&h=242,60000~170000원,주차 가능무료주차,춘천 의암호 초입에 위치하고 있다. 1만평 내외 지역에서 수상좌대는 10동이 있다. 토종붕어와 떡붕어 잉어 향어를 낚시할 수 있고 수심은 1M 내외이다. 주변에 강촌유원지 애니메이션박물관 청평사 등 관광 명소가 많다. 수려한 경관과 편리한 시설 때문에 남녀노소 누구나 함께 즐길 수 있는 곳이다.
23,그린낚시터,강원도 춘천시 강창골길 64,#강원도#춘천#관광지#레저스포츠,033-255-1314,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0009_I_02.JPG&w=454&h=242,10000원,주차 가능무료주차,춘천시 삼천동에 위치한 그린낙시터는 깨끗한 주변환경과 안락한 시설로 낚시를 즐기기에 제격이다. 짜릿한 손맛과 풍부한 어자원으로 낚시를 사랑하는 강태공들에게 인기 있는 곳이다. 맑은 물과 좋은 경관으로 즐겁게 낚시를 즐길 수 있는 곳이다.
24,고탄리낚시터,강원도 춘천시 춘화로 337,#강원도#춘천#관광지#레저스포츠,033-244-4300,http://cafe.daum.net/gotan-fish/,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0006_I_02.JPG&w=454&h=242,50000~70000원,주차 가능무료주차,춘천시 사북면 고탄리에 위치한 낚시터로 주차장을 겸비하여 방문객들의 편의를 고려하였다. 중상류 권에는 펜션 형 좌대동들이 위치하고 있다. 밤에는 아름다운 밤하늘의 별들을 감상하며 밤낚시도 즐길 수 있다. 언제나 아름다운 전경으로 낚시를 즐기려는 낚시꾼들에게 인기가 좋은 곳이다.
25,호반낚시터,강원도 춘천시 송암길 47,#강원도#춘천#관광지#레저스포츠,033-263-5179,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0004_I_01.JPG&w=454&h=242,없음,주차 가능무료주차,경춘 국도를 타고 춘천으로 관광을 시작하다보면 도로 옆으로 계속해서 강이 도로를 따라 이어지고 있다. 청평과 가평을 지나 강촌에 접어들게 되면 의암댐과 의암호가 펼쳐진다. 의암댐을 중심으로 펼쳐져 있는 낚시터는 자연산 잉어 붕어 등의 낚시를 사철 즐길 수 있으며 주변의 덕두원 붕어섬 용늪 등의 낚시터는 잘 알려져 있다. 낚시터 주변을 청소하기 위해서 성인 어른만 1000원 입장료를 받고 있다.
26,강촌 번지점프,강원도 춘천시 강촌로 256,#강원도#춘천#관광지#레저스포츠,033-262-2228 010-54,http://www.gcltime.com,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0001_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,강촌에 위치해있는 레저스포츠 센터로 강촌에서 유일하게 번지점프가 가능한 곳이다. 몸무게 30KG 이상이면 누구나 즐길 수 있어 가족과 친구들이 함께 방문하면 더욱 좋다. 국내 최초 아치형 번지점프가 진행되고 있으며 25m와 45m 중 본인이 원하는 높이를 선택해 뛰어내려 스릴을 만끽할 수 있다. 상체와 하체를 잡아주는 보호대 2개를 착용하여 안정감 있고 안전하게 체험할 수 있다. 높은 점프대에서 바라보는 강촌의 풍경도 번지점프를 통해서만 맛볼 수 있는 요소 중의 하나이다.
27,춘천 자전거길,강원도 춘천시 서면 신매리,#강원도#춘천#관광지#길,없음,http://www.chuncheon.go.kr,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0010_I_01.JPG&w=454&h=242,없음,없음없음,사계절 즐길 수 있는 춘천 자전거길은 강원도의 아름다운 강을 따라 달리다 보면 나오는 춘천에 위치하고 있다. 계절별로 온 가족이 사계절 어느 때나 편안한 휴식을 즐길 수 있는 공간이다. 인근에 금병산 춘천레포츠타운 공지천등 주변에 관광명소가 많아 일상의 스트레스를 털고 재충전 할 수 있는 휴양지로 적합한 곳이다.
28,봄내길 2코스,강원도 춘천시 강촌구곡길 254,#강원도#춘천#관광지#길,033-251-9363,http:///www.bomne.co.kr,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0005_I_01.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,주차 가능경차 1000원 / 중소형 2000원 / 대형 4000원,춘천에서 대표적인 트레킹 코스는 봄내길 실레이야기길 석파령너미길 물깨말구구리길 의암호나들길 소양호나루터길 품걸리 오지마을길 등 총 6개 코스로 이뤄졌다. 봄내길 2코스는 물깨말구구리길로 경로는 구곡폭포 주차장→봉화산길→문배마을→구곡폭포 주차장 이며 거리는 81㎞ 이고 소요시간은 3시간 정도이다.
29,낭만골목,강원도 춘천시 효자 1동,#강원도#춘천#관광지#길,033-261-1360,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AE0002_I_01.JPG&w=454&h=242,없음,주차 가능무료주차,춘천시 효자동의 낙후된 마을을 예술과 문화가 깃든 공간으로 변화시키는 ‘낭만골목 프로젝트’라는 이름 아래 효자동 주민과 지역 예술가들이 함께 마을 환경을 개선하는 작업을 진행하여  낭만골목 프로젝트 1호 효자마을 낭만골목이 탄생했다. 춘천 곳곳에 숨어있는 요소들로 춘천을 더욱 낭만적인 공간으로 만들어주는 곳이다.
30,강촌 출렁다리공원,강원도 춘천시 남산면 강촌리 671-5,#강원도#춘천#관광지#공원,033-250-3075,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AC0054_I_10.JPG&w=454&h=242,없음,주차 가능무료주차,출렁다리의 정식 명칭은 등선교이다. 출렁다리는 보행만 가능한 관광형이며 폭 2M 길이 58M이다. 출렁다리 양 끝에는 추억광장과 공원이 조성되어 있다. 추억 광장에는 예전 강촌 출렁다리 사진과 과거 대학생들로 붐빈 강촌의 번영을 재현한다는 뜻의 조형물이 전시되어 있다.
31,박사마을,강원도 춘천시 당산1길 7,#강원도#춘천#관광지#체험마을,033-250-4110,http://ccbs.invil.org,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0003_I_08.JPG&w=454&h=242,없음,주차 가능무료주차,고려시대 충신인 신숭겸 장군의 묘역이 들어서 있는 충절의 고장으로 강원도 춘천시 서면에 있는 지역 명소이다. 북한강 상류 40㎞에 걸쳐 있는 서면의 23개 리를 가리킨다. 마을 앞에는 아름다운 의암호가 그림처럼 펼쳐져 있고 뒤로는 포근한 산들이 감싸주어 춘천 특유의 자연미와 세련미를 갖추고 있어 관광객들이 많이 들러보는 마을이다.
32,문배마을,강원도 춘천시 남산면 강촌문배길,#강원도#춘천#관광지#체험마을,033-261-0088,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0002_I_01.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,주차 가능경형 1000원 / 소형중형 2000원 / 대형 4000원,구곡폭포 입구에서 오른쪽 능선 길로 길을 잡아 40여분정도 오르면 산 정상처럼 보이는 분지마을이 나타나는데 이곳이 문배마을이다. 2만여 평의 분지인 이곳 문배마을의 시골풍경은 한 폭의 풍경화처럼 고향의 정취를 물씬 풍긴다. 마을에서는 산행인을 위한 산채백반과 그곳에서 키운 토종닭 요리 등을 먹을 수 있다. 산행에서 즐기는 색다른 즐거움이 될 것이다.
33,의암호 스카이워크,강원도 춘천시 칠전동 485,#강원도#춘천#관광지#전망대,033-253-3700,,3~11월까지 개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AP0001_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,2014년 춘천시 의암호 주변 김유정문인비와 송암스포츠타운 방면을 연결하는 길이 100m의 교량 중간에 만들어진 스카이워크는 6개월간 약 30만명의 방문객이 몰릴 정도로 큰 인기를 끌고 있다. 스카이워크는 허공을 걷는 듯한 스릴을 느낄 수 있도록 전 구간을 투명 강화 유리로 마감했다.
34,용화산자연휴양림,강원도 춘천시 용화산로 76-117,#강원도#춘천#관광지#자연휴양림,033-243-9261,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0002_I_04.JPG&w=454&h=242,성인 800~1000원 / 청소년 500~600원 / 어린이 200~300원,주차 가능경차 1500원 / 소중형 3000원 / 대형 5000원,용화산자연휴양림은 강원도청 소재지 춘천시에서 북동쪽으로 28㎞ 떨어진 춘천시 사북면 고성리와 화천군 간동면 및 하남면의 경계지역에 위치하고 북쪽의 파라호 서쪽의 춘천호 남쪽의 소양호와 의암호의 중심에 있으며 주요산은 해발 878m의 용화산을 중심으로 오봉산 대룡산 금병산 북배산 화악산 등이 있고 교통은 춘천-화천간 최단거리 도로인 407번 지방도와 연접하고 있어 접근성은 좋고 산림청 선정 100대 명산으로 등산객이 사계절 많이 찾는 곳이다.
35,춘천지구 전적비(춘천지구 전적기념관),강원도 춘천시 수변공원길 45,#강원도#춘천#관광지#유적,033-250-3668,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AM0003_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,한국전쟁 때 국군 6사단이 치열한 방어전을 펼쳤던 춘천지구전투를 기념하기 위해 만든 전적비이다. 춘천전투의 대승은 우두평야에 진출한 적을 포격으로 격퇴하고 자주포는 육탄공격으로 파괴한 후 봉의산에서 적의 소양강 도하를 막는 등 지형의 이점과 투혼에 의해 만들어졌다. 이와 같은 전승을 기념하기 위한 춘천지구전적비와 기념관은 의암호를 한눈에 볼 수 있는 수변공원에 있다.
36,강촌유원지,강원도 춘천시 남산면 강촌로 34,#강원도#춘천#관광지#유원지,033-262-4464,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AL0001_I_01.JPG&w=454&h=242,무료,없음없음,수도권과 멀지않아 여유롭게 다녀 올 수 있는 강촌유원지는 대학생들의 MT장소로도 유명하다. 강촌역에서 하차하여 15분 거리에 자리한 강촌유원지는 자연을 벗삼아 자전거를 타고 경치를 감상 할 수 있다. 이외에도 사륜바이크나 스쿠터 카트 등 각종 레저를 즐길 수 있는 곳이다.
37,남이섬,강원도 춘천시 남이섬길 1,#강원도#춘천#관광지#섬,031-580-8114,http://www.namisum.com,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AJ0001_I_10.JPG&w=454&h=242,성인 10000원/ 청소년 8000원 / 어린이 4000원,주차 가능1일 4000원,동화나라 노래의 섬 남이섬은 원래는 구릉지로 만들어진 작은 봉우리였다고 한다. 지금은 문화예술 자연생태의 청정보고이다. 사시사철 다양한 전시프로그램과 문화행사 등을 개최해 오고 있으며 어린 친구들에게는 꿈과 희망을 심어주고 연인들에게는 사랑과 아름다운 추억을 선사하는 장소이다.
38,애니메이션박물관,강원도 춘천시 서면 박사로 854,#강원도#춘천#관광지#박물관,033-245-6470 6411,http://www.animationmuseum.com,매주 월요일 1월1일 월요일이 공휴일인 경우 다음날 정기휴관,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0007_I_01.JPG&w=454&h=242,성인 4000~5000원 / 청소년 3200~4000원 / 어린이 3200~4000원,350대 주차 가능무료주차,강원도 춘천시 서면에 위치한 애니메이션 전문박물관국내 최초의 애니메이션 박물관이며 애니메이션을 전문적으로 다루는 국내 유일의 박물관이기도 하다. 의암호 호숫가에 자리 잡고 있어 호숫가풍경도 볼만하다.1층 2층 3층에 애니메이션 전시실 3D입체관 영화관 등이 있고 애니메이션박물관 건물 외에도 박물관 밖으로 다양한 애니메이션 캐릭터들이 전시되어 있다.
39,막국수체험박물관,강원도 춘천시 신북읍 신북로 264,#강원도#춘천#관광지#박물관,033-244-8869,http://romantic.chuncheon.go.kr/open_content/page/include/nudle/index.html,설날 추석 연휴,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0004_I_01.JPG&w=454&h=242,성인 800~1000원 / 청소년군인 600~700원 / 어린이 400~500원,20대 주차 가능무료주차,춘천의 향토음식인 막국수를 테마로 한 체험박물관을 건립하여 막국수의 명품화를 목표로 설립되었다. 춘천 막국수 박물관은 메밀전시관과 막국수 관이 있다. 메밀전시관에는 메밀의 유래와 분포와 메밀의 효과 메일의 역사 그리고 메밀과 관련된 전문자료 등을 확일할 수 있다. 또 막국수 관에는 막국수의 종류와 막국수 제조법과 막국수의 유래 등 막국수 탄생 후부터 지금까지의 막국수에 대한 역사를 한눈에 알아볼 수 있도록 전시되어 있다.
40,국립춘천박물관,강원도 춘천시 우석로 70,#강원도#춘천#관광지#박물관,033-260-1500,http://chuncheon.museum.go.kr,1월 1일 매주 월요일,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0003_I_08.JPG&w=454&h=242,무료,100대 주차 가능무료주차,강원도 춘천시 우석로에 있는 국립 박물관으로 2002년 10월 30일 개관하여 지역문화의 원형과 특성을 찾고 이를 널리 알리기 위해 연구와 전시 및 교육 등의 다양한 문화행사를 개최하여 지역사회의 관심과 문화수준을 높여주는 곳이다. 넓은 주차장이 준비되어 있어 이용 시에 편리하다.
