이름,주소,태그,전화번호,홈페이지,운영시간,이미지,소개
11.전주 덕진예술회관, 전주시 덕진구 권삼득로 407 (덕진동 2가)  ,#전주#문화공간#관람시설, 063-281-6650,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5ad147d2-435b-414c-a16b-5f27c2912eb5.jpg.png,	대관안내	덕진예술회관은 문화예술 공연을 우선적으로 대관하고 있으며 오전 오후 야간등 1일 3회 대관을 하고 있으며 사용신청은 신청서 접수 전화 팩스 등의 방법에 의한 선순위에 의해 허가합니다.	※ 상반기 대관은 전년도 12월 하반기 6월부터 신청을 접수합니다.	사용요금	(시설기본 사용료/공연/평일 1회) 기준 : 오전(08:00~12:00)/ 오후(13:00~17:00)/ 야간(18:00~22:00)	※ 평일 공연기준 조명 음향 냉난방 포함        (오전 270000원 오후 290000원 오후310000원) 휴일야간 20% 가산.        ※  신청서는 사용개시 15일 이전에 제출하며 사용료는 5일전 까지 시금고(전북은행)에 납부하여야 합니다. 	교통안내 	전주 I.C(전주나들목)에서 ⇒ 시청 방향으로 6km 정도	전주 I.C(전주나들목) ⇒ 원광대한방병원 사거리(좌회전) ⇒ 국악원사거리(우회전) 	전주역에서 ⇒ 종합경기장 방향으로 4km 정도		(전주역 ⇒ 종합경기장 사거리(우회전) ⇒ 전북대학교(지하보도) ⇒ 덕진공원 입구(우회전) ⇒ 덕진공원앞(좌회전)	고속＆직행 버스터미널에서 전주 I.C(전주나들목)방향으로 2km 정도		버스터미널 ⇒ 종합경기장 사거리 ⇒ 전북대학교(지하보도) ⇒ 덕진공원 입구(우회전) ⇒ 덕진공원앞(좌회전)				시설개요	공연장 관람석 : 486석(1층 396석 2층 90석) 	공연장 면적 : 750㎡(227평) 	무대 규모 : 163㎡(49평) / 폭10.5mx길이15.5mx높이12.5m 	분장실(남·여) : 65㎡(20평) 	주차시설 : 200대 정도 	공연장 장비현황	무대시설 : 음향반사판 및 무대기계 29종	음향시설 : 음향콘솔 32채널 무선마이크 등	조명시설 : 디머유니트 151회로 조명콘솔 1024dim	영상시설 : 빔 프로젝트 6500ansi	    ※덕진예술회관 사용허가 신청서 다운받기 		 ※덕진예술회관 개인정보이용에 대한 동의서 파일 다운받기 		 ※덕진예술회관 사용허가 취소 및 사용자 준수사항(개정) 다운받기 		※덕진예술회관 사용(변경추가취소) 신청서 다운받기 		 ※덕진예술회관 사용료 파일 다운받기 		 ※덕진예술회관 관리 및 사용료징수조례 파일 다운받기 		 ※덕진예술회관 현황 파일 다운받기     ※덕진예술회관 무대평면도 다운받기     ※덕진예술회관 무대기계/조명기기 다운받기  		 ※덕진예술회관 공연장 좌석배치도 다운받기 		
12.전주미술관, 전주시 완산구 풍남문 4길 25-26 성원시티타워 B01  ,#전주#문화공간#관람시설, 063-283-8887, http://www.jeonjumuseum.com, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/dc7a422d-8f61-43d8-b681-481e8ee5f2bb.jpg.png,전주미술관은 전북을 대표하는 제1종 사립미술관(경력인증기관)으로 조선시대 전라도 중심이었던 전라감영과 풍남문 인근에 위치하며 기획전시관과 상설전시관 교육실 야외전시장 등을 갖추고 있습니다. 해마다 기획전과 특별전을 통해 관람객과 소통하고 교육 강연 체험프로그램을 진행하는 복합문화공간입니다.운영시간 : 오전 10시 ~ 오후 6시휴관 :  매주 월요일 1월 1일 설 연휴 추석연휴
13.전주부채문화관, 전북 전주시 완산구 경기전길 93 ,#전주#문화공간#관람시설, 063-231-1774, http://www.jeonjufan.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/d22bb56b-f80e-4e9c-9d82-83e1dbc74b7d.jpg.png, 
14.전주시민놀이터, 전주시 완산구 현무2길 38  ,#전주#문화공간#관람시설, 063-287-2012, http://www.dongmunst.com, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c7ec691d-e5ff-415c-9f0c-5554a4cb3669.jpg.png,시설 소개전국 최초 24시간 개방하는 연습공간입니다. 지역의 전주시민 다양한 동호회 등 전주시민 누구나 연중 사용 가능합니다.참여형 회원제를 통한 운영으로 시민들의 재능기부 자원봉사 등 자율로 운영합니다. 연습과 발표 교육 및 휴식 등 다목적 공간입니다.시민 생활 예술 발표 및 교류를 지원합니다.1층 떠듬 공간에서는 누구나 편하게 이야기를 나누는 공간을 운영합니다.다양한 작은 모임 회의 작은 발표회 공간으로 열린문화공간으로 운영합니다. 전주시의 다양한 생활 예술 정보 네트워크 센터로 관계망형성을 지원합니다.준전문가이상 시민 문화예술 활성화로 지역문화의 생동감을 가져옵니다. 준전문가수준 이상의 시민 생활 예술가과 지역예술가와의 연결을 지원합니다.예술가 연계 지원 및 기획 프로그램을 운영합니다.시민 생활예술 역량강화 및 네트워크 지원을 통한 지역문화생태계 건강성 확보를 지향합니다.공간구성 및 활용계획구분기능개요시설구성1층 이야기놀이터운영 사무실다목적 사무 공간- 사무실떠듬공간모임 까페 등 다용도 공간- 모임 중심형 까페 작은 발표 공간 조성- 셀프 무인 까페 운영회의공간세미나공간- 회의 및 세미나공간배려공간(장애인 연습장)장애인 우선지원 공간- 장애인 편의시설 연습실 작은 갤러리2층 소리놀이터두드림 공간(음악중심 방음 연습장)공연예술장르인활동공간개인연습장- 소리중심의 공연동호회연습실- 방음공간으로 음악동호회위주 연습 공간3층 창작놀이터모듬공간(다목적 연습장)모둠공간(창작공간)다목적연습장 개인연습장단체창작공간- 연습실 간이탈의실 개인사물함 등- 무용 등 연습 공간 및 미술 사진 등 시각예술동호회 위주의 창작 공간
15.전주역사박물관, 전북 전주시 완산구  쑥고개로 259 (효자동2가) ,#전주#문화공간#관람시설, 063-228-6485, http://www.jeonjumuseum.org, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/219030ce-d638-46ef-a6f0-0299b53b4e16.jpg.png,전주와 전주 사람들에 대한 이야기를 하는 지역사 박물관이다. ○ 박물관 연혁     - 2002. 5.24 전주역사박물관 개관(동학농민혁명기념사업회)     - 2005. 4.20 제2기 전주역사박물관 출범(전주문화사랑회)     - 2006. 12. 5 전주시 민간위탁 문화시설 운영평가 ‘우수시설선정’ 수상 ○ 단체관람안내     단체관람은 예약에 관계없이 박물관 앞에 먼저 정열한 순서에 따릅니다.     오전 10~12시 사이 단체관람객이 많으므로 상당시간을 기다려야 합니다.     입장하기 전 현관에서 단체관람 일지를 꼭 기재해 주시기 바랍니다.     학생들의 단체관람시 인솔교사가 반드시 동행해야 합니다. ○ 시설안내     - 5층 조선시대 전주의 역사를 한눈에 볼 수 있는 깐깐한 전주이야기     - 4층 동학농민혁명 관련 전시공간     - 3층 전주의 역사 문화와 관련된 주제별 기획전시 공간     - 2층 故김철순씨 기증민화를 볼 수 있는 공간     - 1층 구석기시대에서 고려시대 전주의 역사를 한눈에 볼 수 있는 깐깐한 전주이야기     - b1층 녹두관은 초청 강연 및 역사문화 강좌 청소년 문화공연 영상매체 상영 공간입니다.     - b2층 수장고는 유물의 분류ㆍ정리ㆍ보존처리ㆍ관리 공간입니다. 
16.전주자연생태관, 전북 전주시 완산구 교동   951-1 ,#전주#문화공간#관람시설, 063-281-2831,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/07300cdc-e7f2-4203-af15-1b58fb815082.jpg.png,  전주의 주산인 승암산의 절경을 배경에 두고 전주천 청정물결이 앞으로 흐르는 아름다운 자연환경 속에 자리한 “전주자연생태박물관”이 2008년 5월22일 개관하여 한옥마을과 더불어 새로운 관광명소로 부상되고 있습니다.  부지면적이 1만8766㎡에 지하1층 지상3층 연면적 2074㎡의 규모로 1급수 청정한 수질에서 서식하는 쉬리를 형상화한 건축물을 신축하여 냉방과 난방을 지열시스템으로 가동하여 운영되고 있는 실천적인 친환경 건축물로도 주목을 받고 있으며   1층은 자연생태체험관으로 전주의 자연생태 환경을 종합적으로 안내하고 있고 지표생물로서 가장 깨끗한 물에서 서식하는 쉬리수족관과 전주천에서 발견된 수달을 소개하는 등 자연의 소중함을 깨달을 수 있는 체험 학습공간입니다. 또한 2층은 친환경에너지체험관으로 에너지 이용과 변천 신재생에너지 미래에너지에 대하여 전반적으로 이해할 수 있는 12종의 에너지 관련 체험시설과 에너지영상실이 마련되어 있으며 이러한 시설들은 전국 에너지전시관중 가장 다양한 종류의 체험시설을 갖춘 규모로 평가받고 있습니다. 이와 더불어 전주천 둔치에 마련한 수변생태공원에는 어류은신처 수생식물과 물억새 수크렁 갯버들 등 야생화 120505본을 새롭게 식재하여 습지정화 및 수생식물에 대한 체험학습과 휴식공간이 되고 있습니다.  단체 20인 이상과 개인으로 구분하여 300원 ~ 2000원의 관람요금을 받고 있으며  오전 9시부터 오후 6시까지 관람이 가능하고 하절기인 5월 ~ 9월 까지는 1시간이 연장되어 오후 7시까지 관람이 가능하며 매주 월요일과 1월1일 설날과 추석날 당일은 휴관되고 단체로 관람을 하고자 하는 경우에는 사전에 예약신청을 하면 자원봉사해설사의 해설 안내를 받을 수 있고 매주 토요일에는 다양한 행사가 운영되고 있습니다. 또한 살아있는 곤충을 직접 만져볼 수 있는 체험장을 마련하여 관람객에 대한 새롭고 다양한 볼거리를 제공하고 있습니다.  천년의 역사와 수려한 자연 경관이 보존되어 온 전주의 새로운 관광 트랜드인‘전주자연생태박물관’에서 바람결과 물길이 소살대는 자연의 이야기에 귀 기울이다 보면 어느새  “사람이 자연임을 깨닫는 체험”까지 덤으로 챙길 수 있는 특별한 생태관광 여행이 될 것입니다.
17.전주한지박물관, 전북 전주시 덕진구  팔복로 59 (팔복동 2가) ,#전주#문화공간#관람시설, 063-281-1530, http://www.hanjimuseum.co.kr/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5b207aa9-5f60-4bed-918d-3260d88bc6ab.jpg.png,한국 최초의 종이 관련 박물관으로 종이의 역사적 변천과정과 종이 관련 유물 및 자료 1200여 점을 전시하고 있다. 특히 한지를 직접 제작 체험해 볼 수 있는 체험형 테마박물관이다. 정보와 문화의 시대인 21세기 ... 종이와 출판문화의 본고장인 전주에 위치한 팬아시아 종이박물관은 재미있는 종이나라로 여행을 떠나볼 수 있는 테마형 박물관이다. 종이와 종이문화의 모든 것을 선보이기 위해 국내 최초로 1997년 10월 21일에 건립된 팬아시아 종이박물관은 인류의 종이문명 발달사와 더불어 관련 유물 등을 체계적으로 소개 전시하고 있을 뿐만 아니라 관람객들이 직접 우리의 전통한지를 만들어 볼 수 있으며 컴퓨터 검색시스템을 통해 종이공예품 유물들을 만져보고 자세한 정보도 알아보고 종이접기를 통해 상상의 나래를 펼 수 있는 기회를 제공하는 등 참여형 박물관을 표방하고 있다. [교통정보] 시내버스 : 정비공단 한화정공 하나로마트 방향 버스(70-1 73-1 77 78-4 84 165번) 이용 팬아시아페이퍼코리아(또는 남양아파트 입구) 앞에서 하차 택 시 : 터미널·전주역에서 약 30분 정도 소요 승 용 차 : 호남고속도로 전주ic→월드컵 경기장 방향→정비공단→팬아시아 종이박물관[주변 정보]음식점 : 갑기회관 고궁 기 타 : 덕진공원 동물원 한국 소리문화의 전당
18.창작극회·창작소극장, 전북 전주시 완산구   동문길 100 (경원동1가) ,#전주#문화공간#관람시설, 063-282-1810, http://www.changjak1961.co.kr , ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/86c471a2-1cee-4c9e-8c5a-ff01edd04391.jpg.png,창작극회는 이 지역을 대표하는 가장 오래된 연극 단체입니다. 1961년 아직 전쟁의 남은 한숨이 채 가시지 않았던 시절에 그 비극적인 전쟁 이야기를 다룬 희곡 [나의 독백은 끝나지 않았다] (박동화작 연출)를 무대에 올리면서 창작극회는 그 긴 발걸음을 시작했 습니다. 그로부터 지금에 이르기까지 무려 114편의 작품을 공연해 온 연보가 말해주듯 오랜 전통과 일관된 작품경향은 전국에서 몇 손가락 안에 드는 연극단체로서의 이름을 부끄럽지 않게 합니다. 창작극회는 어느 한사람 소유의 극단이 아닙니다. 임기제 대표와 운영단원들의 협의로 운영되는 협의체극단입니다. 이는 창작극회가 목적하는 연극은 공공의 일이며 사회에 이바지해야한다라는 테제를 시스템으로 분명히 하고 있습니다. 연극과 뮤지컬 마당극 아동극 인형극을 통한 따뜻한 세상 만들기는 창작극회가 지향하는 분명한 푯대입니다. 
19.태조어진 박물관, 전북 전주시 완산구 태조로 44 (풍남동 3가)  (경기전 경내) ,#전주#문화공간#관람시설, 063-231-0090,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/ff0752f3-4a82-4427-a87d-dd552d70c477.jpg.png,2010년 11월 6일에 개관한 어진박물관은 전주의 새로운 관광자원으로서 경기전과 태조어진을 중심으로 다양하고 격조 높은 전시를 통해 찬란한 조선왕실 문화유산의 보존·관리 및 선양의 중심지이다.          어진실    -태조어진(보물 제931호)과 새로 모사한 6분의 어진(세종 영조 정조 철종 고종 순종) 전시-경기전 정전의 침실과 똑같은 모형을 만들어 장엄하게 연출            역사실    -전주에 태조어진을 봉안한 이래 현재까지의 경기전과 태조어진의 역사 이야기를 담았음      -전란을 피해 태조어진을 지켜온 내용과 경기전의 운영과 관리조직 각종 제례 경기전 건축 등을 유물을 통해 살펴 봄            가마실    -1872년 태조어진을 봉안할 대의 행렬과 당시 사용했던 각종 가마에 대한 내용을 담았음      -어진의 이안이나 봉안에 사용했던 가마인 신연을 비롯해 채여 가교 등 전시            기획전시실    -세계문화유산으로 지정된 조선왕릉 특별전 개최 중      -조선왕릉 특별전은 517년 27대에 걸친 조선왕조의 흥망성쇠를 한눈에 볼 수 있는 전시임            반차도    -1872년의 태조어진 봉안행렬을 각종 문헌자료와 고증을 통해 닥종이 인형으로 제작ㆍ전시  
20.팔복예술공장, 전북 전주시 덕진구 구렛들1길 46  ,#전주#문화공간#관람시설, 063-283-9221, http://www.palbokart.kr/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c73b084c-6347-4a63-8cac-1c40f21b3c28.jpg.png,팔복예술공장은 전주시가 카세트테이프 제작공장으로 운영하다 25년간 멈춰서 있던 산업단지 속 노후산업시설을 예술인 창작공간이자 시민 문화예술놀이터로서의 복합문화공간입니다.(재)전주문화재단이 운영하는 팔복예술공장은 예술가의 재도약과 창작 활동을 지원함으로써 예술창작교류의 거점 역할을 하며 주민과 팔복동 기업을 위한 문화플랫폼을 구축하고 시민이 향유할 수 있는 복합문화시설로 자리매김하고자 합니다. 공간구성○ 1단지(‘18.3.23 개관) : 예술창작․전시공간 카페 아트샵 예술놀이터  - 1층 : 창작스튜디오&셀 작업실 카페&아트샵  예술창작공간에는 공모를 통해 선발된 국내외 13팀의 예술가가 입주하여 활동  - 2층 : 전시공간 예술교육 창작스튜디오  - 옥상(3층) : 예술놀이터○ 컨테이너 브릿지 : 1단지와 2단지를 이어주는 통로이자 백인의 서재 아카이브 포토존으로 구성○ 2단지(‘18.12월 개관예정) : 문화예술교육공간 예술놀이터 등팔복예술공장은- 창작-실험-인큐베이팅을 통해서 실험적인 예술창작생태계를 조성하고 장르간 융합시스템 기반을 구축하여 동시대예술의 구현- ‘예술의 힘’을 통해 예술공장-예술공원-공단예술마을-예술공단을 만드는 팔복산업단지재생의 플랫폼구축- 아시아문화심장터 전주문화특별시를 실현하기 위한 예술창작교류의 거점조성- 예술가와 기업 주민의 협업으로 생산과 소비가 일어나는 지역공동체 형성
21.한국소리문화의전당, 전북 전주시 덕진구   소리로 31 (덕진동1가) ,#전주#문화공간#관람시설, 063-270-7800, http://www.sori21.co.kr/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/d3654d4a-d9d0-429a-b967-095be72bf110.jpg.png,전주세계소리축제 등 국내 · 외 문화예술 및 공연이 열리는 2000여석 규모의 대극장과 국제회의장 전시장이 들어서 있으며 7000석 규모의 야외 공연장과 놀이마당을 갖추고 있다.  - 국제적인 각종 회의와 이벤트행사 공간 - 만남의 장소와 휴식공간 - 보고느끼고 함께 참여할 수 있는 문화공간 - 세계적인 문화예술 활동공간 
