인덱스,이름,주소,태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
927,어린이교통공원,제주특별자치도 제주시 봉개동 산 53-19 (봉개동 4.3 공원 맞은편),#아이#경관#포토#테마공원#액티비티#체험관광,064-710-6281~2,,점심시간 12:00 ~ 13:00 / 일요일 공휴일 휴관 / 개인적으로 아이와 방문할 경우 체험관과 야외체험관 무료 이용가능하나 교육 프로그램은 이용 불가.  최소 20명 이상 단체만 교육 프로그램 이용 가능,https://api.visitjeju.net/photomng/imgpath/201812/19/b7b7a592-352c-4123-aae2-b821a29d2bee.JPG,,,봉개동에 위치한 ‘제주어린이교통공원’은 5세에서 초등학교 저학년의 교통교육을 위한 체험의 장으로 어린이 눈높이에 맞춘 체험교육을 중심으로 운영하고 기초질서 및 예절을 통한 교통안전 교육을 진행하고 있다.
928,화조원,제주특별자치도 제주시 애월읍 납읍리 58,#아이#동물#체험,064-799-9988,,하절기 : 09:30~18:30 동절기 : 09:00~17:00,https://api.visitjeju.net/photomng/imgpath/201809/13/2c4c79eb-ed33-4c17-aa7c-0d680a8f4471.jpg,,,늘 높은 하늘에 떠있는 매 밤중에 눈을 밝히고 있는 올빼미 오색의 매력을 가진 앵무새 등. 늘 멀리서 지켜볼 수 밖에 없었던 다양한 새들과 다양한 소형 동물들을 직접 체험할 수 있는 공간으로 여러분을 초대합니다. 제주 유일의 매 사냥 체험으로 방문하신 모든분들게 소중한 추억을 드리고 싶습니다. 
929,전농로 서사라문화거리,제주특별자치도 제주시 삼도2동 1230-4,#꽃#걷기#등산#맑음#봄,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/5b837521-caaa-4a3c-ac6d-3893b9c96a0f.jpg,,,​​서사라는 제주공항과 제주시청을 잇는 제주시 중심가에 위치한 마을이다. 서사라는 서녘서 물가사 비단라자를 써서 서사라(西沙羅)라고 하였는데 예로부터 잡석이 섞여 땅이 비옥하고 농사도 잘 되어 붙여진 이름이라 한다. 제주시 최초의 신도시 개발 지역으로 금융기과느 가구점 병원 등이 밀집되어 있었으나 다른 개발지역이 많아지면서 현재는 축제가 유치되고 ​​​​​​​곳곳에 예쁜 카페들이 자리잡고 있는 문화거리로 불리운다.​​매년 왕벚꽃이 만개하는 계절이면 왕벚꽃과 청사초롱의 어울림을 주제로 벚꽃축제가 펼쳐진다. 2005년부터 개최된 축제로 3월 말에서 4월초까지 열린다. ​​​​​​​흐드러지겐 핀 벚꽃과 도로 양쪽을 밝히는 청사초롱의 불빛이 봄의 낭만을 부추기는 풍경을 자아낸다.​
930,제주카약,제주특별자치도 제주시 조천읍 함덕리 207-1,#액티비티#커플#맑음,064-711-1786,,캠프개장기간 : 3월 15일 ~ 10월 30일 / 캠프개장시간 : 일출시 ~ 일몰시,https://api.visitjeju.net/photomng/imgpath/201804/30/c5275f0d-c063-4955-9227-a63e88525845.jpg,,,제주도민과 청소년 관광객들이 카약을 타고 천혜의 절경인 253km 제주도 해안선과 90개 부속도서(2010년기준)의 감추어진 해안신비를 구석구석 탐사하며 그 아름다움을 만끽하고 제주의 독특한 문화와 신비한 자연을 세계에 알릴 수 있기를 소망합니다.
931,해품은체험농장,제주특별자치도 서귀포시 성산읍 수산리 225,#체험관광#친구#커플,070-8871-2098,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/a41b70fc-b8de-414d-bc96-09efb009c770.png,,,제주의 뜨거운 태양과 맑은 물을 머금고 자라나 맛좋은 싱싱한 감귤을 체험할 수 있는 해품은체험농장은 1년을 하루하루 정성껏 가꾸어 맛도 좋고 품질 좋은 감귤을 작접 생산 판매하고 있습니다.감귤을 포함해 한라봉 황금향 레드향 천혜향 카라향 등 고품질 신품종을 전문적으로 재배하고 있으며 품질 개선을 위해 매년 새로운 재배기술로 더욱 맛이 좋은 감귤생산을 위해 최선을 다하고 있습니다.이곳에서 생산 판매되는 귤은 화학비료 대신 유기질비료 퇴비사용으로 좋은 토양에서 자라나 믿을 수 있는 귤입니다.​​​​​​​ 또한 강제착색 및 광택제사용 등을 일절 진행하지 않고 직접 딴 생과 그대로 신선하게 드실 수 있도록 하고 있습니다.
932,한라감귤체험농원,제주특별자치도 서귀포시 성산읍 수산리 735,#체험관광#친구#커플#아이#겨울,064-782-2479,,,https://api.visitjeju.net/photomng/imgpath/201804/30/52b44758-03b0-4355-aea5-6aeb2ad88726.jpg,,,감귤 따기 체험 및 각종 감귤을 직접 구매할 수 있는 농장.전시판매장은 체험농원과 함께 운영되고 있으며다양한 특산품과 감귤을 구입하는게 가능하다.​친환경으로 감귤을 재배하여직접 감귤을 수확 할 수 있고맛 볼수 있다.​제주의 싱그러움을 느낄 수 있는 체험.
933,비블리아성서식물원,제주특별자치도 제주시 한림읍 상명리 1191-5,#수목원#테마공원#흐림#맑음,064-796-1130,,하절기 18:00까지 운영,https://api.visitjeju.net/photomng/imgpath/201804/30/726f8540-a4e3-4746-b9df-4f776a1d9beb.jpg,,,미리 예약을 하시면 성서식물 해설과올리브잎차를 드실 수 있습니다.​​​​​​​
934,제주카트클럽,제주특별자치도 제주시 한림읍 월림리 341-2,#액티비티#아이,064-772-5080,,동절기 하절기 성수기 별로 이용시간 변동이 가능하므로 사전 전화문의 요망,https://api.visitjeju.net/photomng/imgpath/201804/30/ee6816b2-c626-4c18-947c-ac84723353c9.jpg,,,​카트라이더가 되어 스피드를 느껴보자​​​​​​​제주도 최초로 카트를 시작한 곳으로 알려져 있는 ‘제주카트클럽’은자연경관이 빼어난 한림에 위치해 있어 애월 협재 등 주변 관광지와 접근성이 좋다.정해진 코스 안에서 주행하기 때문에 면허가 없어도 체험이 가능하다.차체가 낮아 안전하기 때문에 안전교육을 받는다면 남녀노소 누구나 스피드를 즐길 수 있다.​​1인승 2인승 카트가 구비되어 있어 성인 2명까지 동승이 가능하며 다른 곳과는 다르게의자를 조절할 수 있어 키가 125cm 이상(8세 이상)이라면 운전이 가능하기 때문에 어린이들도 혼자 탈 수 있다.15분의 체험 시간 동안 약 20바퀴 정도 돌 수 있고 빠른 속도로 넓은 규모의 서킷을 달리며 스트레스를 풀 수 있다.​​​​​​​더운 여름이나 햇빛이 강한 날에는 차체에 햇빛가리개가 장착되어 있어 그늘 아래에서 시원하게 카트를 즐길 수 있다.​​​​​​​​​​​​​​​​
935,포니밸리,제주특별자치도 서귀포시 표선면 성읍리 2684,#승마#액티비티#아이#맑음#우수관광사업체,064-787-2256,,9시~18시(계절마다 다름),https://api.visitjeju.net/photomng/imgpath/201804/30/4b1b5e84-cb49-41cb-be42-1655277d192a.jpg,장애인 할인 입장료 : 10.000원,,​​​​​​​​화려한 마상쇼와 낙타 체험을 동시에 즐기다포니 밸리에서는 말과 함께 태어나고 자란 몽골리안과제주에서 태어나고 자란 토종 조랑말이 호흡을 맞춘 마상쇼와 서커스를 볼 수 있다.공연은 하루 세 번으로 총 4부작으로 진행되며1부 조랑말 쇼 2부 칭기즈칸 스토리 3부 서커스 4부 마상쇼로 진행이 된다.​​​​​​​​​​​​​​​​​더불어 이곳에서는 호주 청정지역의 낙타를 국내 최초로 수입하여제주도내의 아름다운 자연경관과 더불어 낙타 트래킹 체험도 즐길 수 있다.도내 유일의 낙타 체험장이자 낙타 트래킹 공간으로어른들에게는 낙타와의 교감을 어린이들에게는살아있는 학습이 될 수 있는 이색적인 관광코스가 될 것이다.​​​​​​​​​​​​​​​​​​​​​​​
936,햇살정원 제주캠핑,제주도 서귀포시 보목동 526번지,#야영장#캠핑장,010-6640-4337,,,https://api.visitjeju.net/photomng/imgpath/201804/30/82ba62a0-6ac4-4a70-925d-6b3658a57f3c.jpg,,,서귀포시 보목동에 위치한 숙소로2개의 독채민박과 사이트 5개의 오토캠핑장으로 구성되어 있다.작고 소박하지만 별도의 준비물 없이 캠핑을 할 수 있도록 여러가지 캠핑 필요물품을 구비하고 있다.주변에 쇠소깍 이중섭거리 매일올레시장 천지연폭포 등 서귀포권 관광지로의 이동이 편리하다.
937,산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),#등대#일몰#경관#포토#친구#맑음#가을,064-720-2672,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/dc510fed-9cac-4c85-952c-77bc74de1417.jpg,,,​​​​​​​​제주시 아름다운 등대산지등대 주변은 넓은 바다와 사라봉이 펼쳐진 주변광경이 뛰어나고 도심지와 가까운 위치에 있어유치원생부터 고등학생까지 등대 탐방을 겸한 체험 학습장으로 각광을 받고 있으며등대 역할 뿐만 아니라 관광 자원으로서도 제 몫을 톡톡히 하고 있다.제주도의 관문인 제주항 배후 사라봉 중턱에 설치된 등대로제주북부연안을 항해하는 선박의 지표역할을 하고 있으며체험숙소가 있어 체험학습장으로 인기가 높아 년중 이용객이 끊이질 않고 있다.​​​​​​​​​​​​​​​​​​​​​​​​
938,제주에코승마장(구.제주승마장),제주특별자치도 제주시 조천읍 교래리 39-3번지 (비자림로 1065),#승마#액티비티#친구#커플,064-747-2563,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/283751e6-2ffb-43a0-92df-a15989f355de.png,,,​​트레킹은 초보자를 대상으로 운영하는 세가지 코스와 단체 기업인을 대상으로 하는 단기 속성 승마 레슨반을 운영하고 있는 승마장이다. 들어오때는 승마 초보로 들어와도 나갈때는 승마인이 되어 나갈수 있게끔 체계적인 훈련을 하기 위해 노력하고 있다. 조천읍 중산간에 위치하고 있어 제주 중산간의 풍경을 감상하며 승마를 즐길수 있다.​​
939,알프스승마장포니,제주특별자치도 서귀포시 표선면 서성일로 73,#승마#액티비티#흐림#가을,064-787-3663,,하절기 09:00~19:00 동절기 09:00~18:00 조금 늦으시는 분은 미리연락하세요.,https://api.visitjeju.net/photomng/imgpath/201804/30/aa49d155-0390-448c-b8fd-6f69b0e35bef.gif,,,​​승마레슨 다양한 코스별 승마가 가능하고 어린이를 위한 제주 유일 포니마차 운영하고 있다.최장의 외승코스 보유 승마동호인이 선호하는 승마장 최대 마필을 보유한 승마장이다.승마 외의 말인형만들기체험 말도자기 꾸미기체험 등 여러가지 말관련 체험이 가능하다.​​
940,제주해양레저,제주특별자치도 서귀포시 중문동 2785-2,#해수욕장#액티비티#맑음,064-738-5111,,,https://api.visitjeju.net/photomng/imgpath/201804/30/85eb5979-1665-4e91-a338-a63596bcccb7.jpg,,,​제주해양레저는 대한민국 최고의 종합해양레저 시설을 사업장으로직원일동 안전요원자격증과 조정면허1급 자격을 갖추고 있다.전기구 최대보험 가입되어 있으며 샤워&amp탈의실 및 주차장이 완비되어편리하게 해양레저를 체험할 수 있다.​​* 파라세일링!바다에서 하늘로 UP~!!! 최고200M 상공에서 하늘을 나는 짜릿한 느낌한국에서 제주에서 하나밖에 없는 스타일의 낙하산!중문관광단지 앞바다 위를 날아 한라산을 한손에 잡아보자.* 제트스키!본인이 직접 운전체험을 할수있는 체감속도 300KM 폭풀질주!!* 플라이피쉬!수면 위를 미끌어지듯 달리다. 순간 하늘로 날아 오르는 짜릿함!* 밴드웨곤!넘실거리는 파도와 제트스키가 만들어내는좌우 슬라이딩하며 파도를 거스르는 액티피티한 체감은 상상이상의것!* 카약!주상정리대 해안에 숨겨진 비경을 찾아 카약을 타고 떠나는 바다 올래코스!* 바나나보트출렁이는 제주의 최남쪽바다를 바나나보트를 타고 최고의 스릴을 느껴 보자!* 스노클링!제주 최고의 비경 주상절리대 물속엔 뭐가 있을까??​​​
941,황금굴(한림공원),제주특별자치도 제주시 한림읍 한림로 300,#동굴#경관#포토#부모#흐림,064-796-0001~4,,,https://api.visitjeju.net/photomng/imgpath/201804/30/7aae7f89-f4fd-4f01-a336-7460a7919ba8.jpg,,,협재굴 소천굴과 함께 제주도 용암동굴지대(천연기념물 236)를 이루는 곳.내부 길이 약 180m이며 터널은 동서 양쪽으로 뻗어 있으며 동쪽 터널은 약 50m 안쪽에서 패사로 매몰되었고서쪽 굴은 높이 2~3m 너비 7~15m 길이 100m 가량으로 그 끝이 패사로 매몰되어 있으나 주향(走向)으로 보아 쌍룡굴과 연결되는 듯하다.천장면에는 무수히 많은 수근(樹根) 종유관이 밀집해 달려 있으며그 주위에는 현무암이 검게 나타나 있어 이색적이다.천장에서 낙하한 석회분 용해수가 바닥의 패사와 함께응고되어 잉크병같이 오목오목한 구멍이 패여 있고 그 표면도 석회 피복이 되어 있다.동굴벽이나 바닥에는 용암석순 동굴포도 콩알돌 등이 발달해 있어 종유동굴을 방불케 한다.완벽하리만큼 원형 보존이 잘 되어 있고 용암굴로서는 희귀한 동굴이라 비공개 영구보존 동굴로 지정 보호되고 있다.
942,협재굴(한림공원),제주특별자치도 제주시 한림읍 협재리 2487,#동굴#경관#포토#부모#흐림,064-796-0001~4,,3~9월 08:30~19:00 여름성수기 - 7월 15일~8월 20일 08:30~19:30 10월 08:30~18:30 11월~2월 08:30~18:00 * 연중무휴 / 입장마감시간은 폐장 1시간 전,https://api.visitjeju.net/photomng/imgpath/201804/30/f0884eb0-1606-4c16-acd4-6e1644a17c9a.jpg,,,​​ 협재굴은 황금굴 소천굴 쌍용굴 만장굴과 더불어 제주도의 대표적인 용암동굴이다. 동굴의 길이는 약 200m 너비 10m 높이는 5m 정도의 규모이며 250십만년 전 한라산 일대의 화산이 폭발하면서 생성되었다. 용암동굴이자 석회동굴의 특징이 복합된 2차원적인 동굴이라는 점이 특이하며 그 일대가 모래와 조개껍질이 섞여있는 패사층으로 되어 있다. 동굴 내부에는 천장에서 뻗어 나온 석종과 마치 바닥으로부터 솟구쳐 나온 듯이 보이는 석순 등이 신비로운 광경을 연출하며 석종과 석순이 만나 하나의 기둥을 이루는 종유석이 기괴하면서 아름답다. 동굴 벽면에는 석회분이 덮여있어 마치 하나의 거대한 벽화가 새겨져 있는 듯 웅장한 모습을 보이고 있다. ​​ 동굴 내부의 온도는 연중 내내 17~18℃를 유지하여 한여름의 이색적인 피서지로 각광을 받고 있고 한 겨울에는 따뜻한 온도로 추위를 피할 수 있어 각광받고 있다. 협재굴은 천연기념물 제 236호로 지정되어 있고 페루의 돌소금동굴 유고의 해중석회동굴과 더불에 세계 제3대 불가사의 동굴로 꼽힐만큼 유명한 곳이다. 협재굴을 빠져 나오면 바로 옆에 쌍용굴이 자리하고 있어 두 동굴을 함께 돌아볼 수 있다.​​​​​​​​
943,우도올레보트,제주특별자치도 제주시 우도면 연평리 2562-1,#올레#액티비티#맑음,010-4132-8279,,,https://api.visitjeju.net/photomng/imgpath/201804/30/e4cdd644-f658-4196-84fa-24c3418e8cc6.gif,,,우도 반바퀴를 25분~30분 정도도는 코스를 운행하고 있다.​우도 최장거리를 운항하는 보트기상상황에 따라 운행여부가 결정된다.
944,서귀포호텔  카라반,제주특별자치도 서귀포시 상예동 161,#야영장#캠핑장,070-4858-4653,,22시 이후 입실할 경우 연락요망. 객실내 금연.,https://api.visitjeju.net/photomng/imgpath/201807/23/59b4d636-b552-45f0-9e7c-7737d666741a.jpg,,,2016년 9월 신규 오픈하여 서귀포 호텔 내 위치한 자연 속 청정 쉼터.테라스가 설치된 4~6인용 카라반은 쾌적한 시설을 갖춰 제주 자연 속 편안한 휴식을 가능하게 한다.서귀포호텔 카라반 인근에 위치한 중문 관광단지와 용머리해안 등 다양한 명소를 볼 수 있다.
945,폴리파크카라반,제주시 애월읍 어음리3912,#야영장#캠핑장#액티비티#흐림,010-6733-9627,,,https://api.visitjeju.net/photomng/imgpath/201804/30/691d8924-ff67-42b2-b3a5-6ab2ed1b2401.jpg,,,​​제주에 위치한 폴리파크 카라반은 바비큐 시설과 정원을 보유하고 있다.오설록 티 뮤지엄이 12km 떨어져 있고 구내에 무료 전용 주차장이 있다.모든 숙소에 휴식 공간과 식사 공간이 있으며 전자레인지 냉장고 주전자도 구비되어 있고 수건이 제공된다.기준인원 초과시 카라반 1인 1만원 미성년자는 이성일 경우 보호자의 허락아래 가능하며 혼숙은 불가능쓰레기 환경보호를 위하여 분리수거하고 있음​
946,물메 (물미 수산봉),제주특별자치도 제주시 애월읍 수산리 산1-1,#오름#걷기#등산#가을,064-710-6043,,,https://api.visitjeju.net/photomng/imgpath/201804/30/438e918b-10aa-433b-b1cb-4746af7f92b5.jpg,,,
947,김영수도서관,제주특별자치도 제주시 삼도이동 17-3,#도서관# 원도심도시재생사업,064-727-0612,,주중(월~금)오후5시~오후9시/주말(토~일) 오전10시~오후6시 ※오전9시~오후5시까지는 학교도서관으로 운영되고 있어 외부인 이용 불가 휴관일 : 매주 화요일 설·추석 연휴 운영 상 필요에 의한 날(홈페이지 참조),https://api.visitjeju.net/photomng/imgpath/201906/04/a95a13e9-a226-433a-bd2b-dbb753787b3c.JPG,,,김영수도서관은 제주특별자치도 도시재생지원센터에서 제주시 원도심 도시재생사업의 일환으로 추진된 마을 도서관이다. 새로 리모델링된 김영수도서관은 학교도서관과 사용하지 않던 창고와 관사를 활용해 지상 2층으로 확장돼 낮에는 북초등학교 학생들을 위한 학교도서관으로 오후부터 저녁까지는 마을도서관으로 개방해 누구든지 김영수도서관을 찾아 자유롭게 이용할 수 있다.고즈넉한 한옥집이 떠오를 법한 넓은 공간과    등 아기자기한 분위기를 느낄 수 있는 커뮤니티 공간은 물론 조선시대까지 제주의 중심지였던 ‘제주목 관아’가 한 눈에 보이는 정원형 서가 ‘목관아가 보이는 책뜰’을 만날 수 있다. 
948,청수성결교회,제주특별자치도 제주시 한경면 저지리 1535,#휴식#힐링# 교회,064-773-0705,,,https://api.visitjeju.net/photomng/imgpath/201812/21/e2627d53-0921-44f1-8a21-412e79dfe3f9.JPG,,,청수성결교회는 한경면 청수리에 있는 작은 마을 교회이다. 정갈하고 깔끔한 교회 건축물이 아름다운 곳으로 교회 사진을 남기기 위해 들르는 곳이기도 하며 보통은 마을 주민들이 이용하는 곳이다. 
949,추사적거지,제주특별자치도 서귀포시 대정읍 안성리 1661-1,#문화유적지#흐림#가을,064-760-3406,,연중무휴(17시 30분까지 입장),https://api.visitjeju.net/photomng/imgpath/201804/30/f7caf9b5-64b4-4afc-9106-88d724749b95.jpg,,,​‘추사체’와 ‘세한도’가 완성된 추사 김정희의 적거지에서 그의 발자취를 따라가 보자서귀포시 대정읍에 있는 추사적거지는 조선 헌종 6년에 권력싸움에서 밀려나 제주도로 유배된 추사 김정희가 9년 동안 적거하던 곳이다.2007년에 국가지정문화재 사적 제487호로 지정되었다.김정희의 글씨와 그림의 복제품을 전시해놓은 추사기념관은 김정희의 세한도를 모티브로 하여 지어졌다.​​​​김정희가 머물러 살던 초가도 있는데 이는 1948년 제주도 4·3사건 때 불타버리고 빈터만 남았다가 1984년에 복원된 것이다.이곳에 머물면서 김정희는 추사체를 완성하였고 국보 제180호인 완당세한도 또한 이곳에서 머무르는 동안 나온 서화이다.제주도의 유생들에게 학문과 서예를 가르치기도 하는 등제주에 있으면서 다양한 업적을 남긴 김정희를 기리기 위해 대정고을추사문화예술제도 추사적거지에서 매년 열리고 있다.​​​​​​​​​​​​​​​
950,제주항일기념관,제주특별자치도 제주시 조천읍 신북로 303,#실내#미술#박물관#흐림#겨울,064-783-2008,,09:00 ~ 18:00 (입장시간 09:00 ~ 17:30) / 1월 1일과 설날 및 추석 연휴에는 휴관합니다.,https://api.visitjeju.net/photomng/imgpath/201804/30/8b7dc4da-409b-4205-9d11-38fc371da2fc.jpg,,,​​제주항일기념관은 제주지역의 항일 독립운동에 관한 역사적 자료를 수집 보존 전시함으로써우리 고장 선열들의 숭고한 희생정신과 자주 독립정신을 계승 발전시키고 자라나는 후세들에게올바른 역사의식과 애국 애향정신 함양을 위한 교육의 장으로 활용하고자 건립되었다.최첨단 시설물이 조형물 벽면부조 설명패널 기록화 영상모니터 디오라마 매직비젼 와이트 칼라종합그래픽 복제 모형 등 다양한 방법을 동원하여 입체적으로 전시하고 있으며 이해력이 부족한 어린아이들도 흥미를 가지고 볼 수 있다.​​
951,해거름전망대,제주특별자치도 제주시 한경면 판포리 1608-1,#경관#포토#맑음,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/a81adc86-6696-4e15-829b-f6c8d3cd2ab4.jpg,,,​​​​​​​​바다 위 노을이 머무는 모습이 아름다운 전망대해거름은 ‘해’와 ‘거르다’가 합쳐진 말로써 어떤 일을 새로 시작하기보다는 마무리를 지어야 하는 때를 가리킨다.해거름 전망대는 시간에 관계없이 아름다운 경치를 자랑하지만 이름처럼 해가 져가는 때의 전망이 특히 아름답다.낮은 언덕 위에 걸터앉은 듯한 건물에 오르면 눈앞에 펼쳐진 바다를 한눈에 담을 수 있는 전망대를 만날 수 있다.전망대 앞에는 공원처럼 농구장 족구장 아이들이 뛰어 놀기 좋은 놀이터도 있어 친구 연인 가족 등 누구와 이곳을 찾든 상관없이 즐거운 시간을 보낼 수 있다. 카페가 운영되고 있어 시원하게 내려다보이는 바다를 보며 여유를 즐길 수 있다.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
952,하멜상선전시관,제주특별자치도 서귀포시 안덕면 사계리 116-7,#실내#미술#박물관#사계절,064-794-2940,,연중무휴동절기 08:00~17:00,https://api.visitjeju.net/photomng/imgpath/201804/30/0cadba15-677f-4469-a17b-90f07ebadd1d.jpg,,,네덜란드인헨드릭 하멜[1630~1692]이 제주에 표류하였던 것을 기념하여네덜란드암스테르담에서 건조된 스페르웨르호를 모델로 재현하였으며내부에는하멜표류 관련 자료 등을 전시하고 있다
953,황우럭만화천국사회적협동조합,제주특별자치도 제주시 한림읍 한림리 1055,#아이,064-796-7020,,,https://api.visitjeju.net/photomng/imgpath/201804/30/9560d658-f21b-4b45-90d0-c343208c167e.png,,,황우럭만화천국사회적협동조합은 한림읍을 만화천국으로 만들자는 비전을 가지고 황우럭 만화카페와만화전시관 만화 교실등을 운영하고 있으며 지역주민들의 일 상이 즐겁고 활력이 넘치는 삶이 되도록 힘쓰고 있다.Having a vision of making Hallimup a Cartoon World Hwangwooruk Cartoon Coop has been operating Cartoon Cafe Cartoon Gallery and Cartoon Class etc. We are trying to make local residents feel a daily vibrant life and we are also working to boost local economy and make a better life for our lives.​
954,손방둥이 ,제주특별자치도 제주시 노형동 1553 101호 손방둥이 ,#가죽공방#핸드메이드#체험관광, 070-4038-2947,,,https://api.visitjeju.net/photomng/imgpath/201811/20/0c1af7ac-3c18-45e9-b22e-547ebda8db44.jpg,,,가죽공예를 위한 오픈공간.부드러운 감촉과 따뜻한 느낌으로 겨울철에 어울리는 가죽공방을 경험해 볼 수 있다.내 손으로 직접 무언가를 만드는 성취감을 얻을 수 있을 것이다.
955,휴림,제주특별자치도 제주시 애월읍 광령리 2873-6,#액티비티#야영장#캠핑장,064-799-4883,,,https://api.visitjeju.net/photomng/imgpath/201804/30/77ea5d0c-8631-4734-9bae-29a7b1293b81.jpg,,,​숲속쉼터 휴림은 제주시 산림조합이 조성하여 2017년 개장한 에코힐링파크로 남녀노소 온가족이 함께 즐길 수 있는 숲속 체험을 제공한다.양묘체험 임산물 생산체험 숲속캠핑/ 글램핑/ 카라반 등을 체험할 수 있으며유치원 등의 단체가 이용할 수 있는 유아숲속 놀이터를 운영하고 있다.산림부산물인 편백 톱밥을 활용한 톱밥효소 찜질 체험장도 있어 숲이 주는 자연치유력과 힐링을 느끼는 느긋함도 가져볼 수 있다.그 밖에 꽃말을 이용한 식물을 식재해서 기념품을 가져갈수 있는 story tree체험기념식수를 식재하여 1년 후 가져가거나 지역 사회에 기증할수 있는 meet tree 체험목공을 이용해 생활소품을 만드는 DIY체험도 진행하고 있다.​​​​​​​자세한 체험 내용 및 캠핑예약은 휴림 홈페이지에서 가능하다.
956,녹차미로공원,제주특별자치도 서귀포시 색달동 산 50,#테마공원#아이#흐림#봄,064-738-4433,,하절기 09:00~19:00동절기 09:00~18:00 이용시간은 변동될 수 있으므로 전화로 문의해주시길 바랍니다.연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/93c8f4dd-4fa3-47b1-970b-f30e275d53d6.jpg,,,​​제주다원 녹차테마파크는 한라산 해발 500m 청정지역인 제2산록도로 1115번도로상에 위치하고 있으며 ​​​​​​​1996년에 조성한 제주도 민간 제1호 5만여평의 녹차다원으로 년간 5만 여명의 관광객이 다녀간다.​​제주다원 녹차테마파크 전망대에서 바라본 풍경은 서귀포 70경중 제 1경이라 할 만큼 아름답다. 서쪽으로는 서귀포 문섬과 범섬 월드컵경기장과 남쪽으로는 국제컨벤션센터와 여미지식물원을 포함한 중문관광단지가 한 눈에 내려다보이고 수평선 아래로 대한민국최남단인 마라도섬과 가파도섬이 보이며 ​​​​​​​서남부지역으로는 우보악오름군산산방산단산모슬봉등이 굽이치듯 대자연의 파노라마를 연출하여 가슴 시원한 전망을 즐길 수 있다.​
957,한라산소주공장,제주특별자치도 제주시 한림읍 옹포리 396,#한라산소주#체험관광#액티비티#사게절#실내,064-729-1958,,매주 금토일 13시 ~ 16시 한시간 간격 프로그램 진행 / 홈페이지 사전 예약 필수,https://api.visitjeju.net/photomng/imgpath/201812/21/e16ce3df-f722-4531-a24e-894878fbe277.JPG,,,
958,평수포구,제주특별자치도 제주시 한림읍 수원리 952,#포구#해변#문화유적지,,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/46ee59d4-ab55-49a1-9b3a-0a572299eef6.jpg,,,​제주다움이 한껏 묻어나는 포구비양도가 보이는 한림항을 출발점으로 시작되는 올레길 15코스를 따라가다 보면 한적하고 고요한 평수 포구가 자리하고 있다.대부분 포구들은 다양한 이름이 있는데 평수 포구 역시 여러 이름으로 불린다.과거에는 평수 포구에서 솟아 올라오는 용천수를 식수나 생활용수로 활용하였는데 만조 때마다흔적도 없이 잠겼다가 바닷물이 빠져나가면 다시 모습을 드러내는 모습에 조물케포구한자로는 잠수포 라고도 부르며 돈지개포구라고도 부른다.​​​​​​​​​​​​​​​​​한림 해안도로에 존재하는 포구들 중 대수 포구와 함께 가장 오래되었으며2004년에는 방파제 공사를 하였음에도 불구하고 예전 원형이 거의 그대로 남아있는 역사적인 포구이다.현재도 크게 개발되지 않아 마을 주민들의 어선만이 세워져 있는 자연 상태의 조용한 곳이다.북적이지 않고 조용한 곳을 찾는 관광객이라면 해안도로를 따라가다 멈춰 서서 평수 포구에 앉아저 멀리 비양도와 함께 제주의 아름다운 바다를 보고 있노라면 쉼 없이 다니던 여행의 일정 사이에 조그만 쉼터가 될 수 있을 것이다.​​​​​​​​​​​​​​​
959,풋감마을 소길리 농어촌체험마을,애월읍 소길리 650-1,#체험관광#친구#커플#흐림#사계절,064-799-8778,,,https://api.visitjeju.net/photomng/imgpath/201804/30/1929fd36-fbac-414d-aa01-b9d1110b5bbd.png,,,소길리는 옛날 ‘쉐질’이라 부르다가 쉐질의 한자음을 따 소길로 명칭이 바뀌었습니다.‘쉐질’은 소를 몰고 오가던 길의 제주어인데 이를 증명하듯 옛 쉐질이 현재에도 남아 있어 그 가치를 인정받고 있습니다.길의 형태는 제주의 해안선을 연상시키는 자연스런 곡선이면서 가늘고 한 폭의 그림처럼 매우 아름답게 느껴집니다.또한 소길리 올레길은 현재도 여전히 비포장 흙 길로 남아 있어 그야말로 ‘쉐질’과 ‘올레길’이 그대로 살아 숨쉬는 마을입니다.​​
960,거문오름승마체험장,제주특별자치도 제주시 조천읍 선흘리 2107-2,#승마#액티비티#커플,010-8229-0615,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/96ab91fa-b93a-4299-8ed3-721259ae228b.png,,,​​ 제주거문오름 승마체험장은 제주 조천읍 선홀리에서 위치하고 있으며 한라마와 함께 다양한 승마체험 코스를 다니며 작은터널 숲 바다를 내려다보며 에메랄드 빛 제주동쪽 바다경관을 바라보며 승마를 즐길 수 있다.망아지에게 먹이주기 체험 등 승마장에서의 체험과 함께 한지 공예체험 천연염색 체험 마유비누 체험도 경험할 수 있다.​​
