인덱스,이름,주소,#태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
11,KBS ON(KBS 온),首尔特别市永登浦区汝矣公园路13(汝矣岛洞),##한국#관광지#관광명소#여행지,+82-2-781-2224~5 ,http://office.kbs.co.kr/kbson,,http://tong.visitkorea.or.kr/cms/resource/23/2028323_image2_1.jpg,,,* 未来梦想体验空间 KBS On * 位于首尔中心的汝矣岛是韩国主要电视台聚集的地方。在此可以体验各种机械设备与广播电视技术，可体验播音员、配音员、制片人的工作，也可在摄影棚参观直播现场。 位于汝矣岛的KBS On是可以了解韩国广播电视的历史与现况的广播电视展览馆。1997年1月，以“KBS体验厅”为名开馆，于2012年引进先进影像技术与多媒体触屏后改名为“KBS On”后重装开馆。KBS ON给节目受众与梦想在未来从事广播电视行业的青少年提供直接间接体验广播电视职业的机会。  在此会通过大型屏幕播出用HD高清摄影机拍摄的TV幼儿园卡通套件，不需带眼镜观看的立体影像，以及KBS电视台宣传影片。而且超大型高端触屏屏幕中播出的视频可由学生们自由选择。参观者的路线是从2楼中央大厅开始，在楼梯展览厅参观宣传海报后通向4楼，参观各种展品以及体验设施后到达5楼，接着重新回到2楼中央大厅。4楼是可通过多媒体触屏以及屏幕观看韩国广播电视产业的未来的宣传馆。还设有可以观看KBS的视频，具有游戏功能的触屏桌子。参观未来广播电视馆后，即可到青少年最感兴趣的虚拟摄影棚参观。在可体验广播电视核心技术的虚拟摄影棚里，可以体验天气、新闻、《生老病死的秘密》、电视剧等节目使用的蓝色影棚特效。站在蓝色背景前拍摄，拍出的视频是完整效果的视频。KBS On是韩文“ 온(温)”与英文“On”的合成词，含有完整的、温暖的，大家为一家人之意，也含有指正在播出的英文意思On Air。 经过电视剧区与拍照区之后到达3D立体影像馆，可通过150寸大屏幕观看KBS制作的3D立体影像。在K-POP区可以观看韩流的主角——爱豆，像T-ara、少女时代等的舞台视频。在漫画配音区可以利用大型屏幕与音效系统亲自体验漫画配音。到男学生喜欢的KBS体育区可以体验了解体育比赛节目转播方法与制作方法，还可观看首尔奥运会、世界杯等的国际赛事视频。 [参观路线]KBS ON大厅→未来广播电视馆→虚拟摄影棚→KBS频道形象宣传→电视剧区→3D立体影像馆→演艺娱乐区→K-POP视频区→活动展示馆→留纪念区→名誉殿堂→KBS贡献区→漫画配音体验→KBS CI→独岛实时影像→儿童节目卡通人物与拍照区→KBS运动区→海外特派员→9点新闻主播体验→广播电视历史博物馆新闻体验：新闻主播体验色度键技术体验：天气预报主播体验在立体影像馆观看视频在现场观看节目：可到现场观看儿童童谣节目《谁做的最棒》，参观KBS On厅后3点在大厅集合，可参观每周周日下午3点30分开始录制的《谁做的最棒》节目。内设有广播电视历史年表、迷你博物馆、广播剧演播室、音效设备、9点新闻区、镭射馆、立体电视体验馆、色度键区。 *参观大厅：通过大型屏幕播出KBS代表性电视剧、娱乐综艺节目、教养纪录片、儿童节目、新闻与体育赛事视频。 *迷你博物馆：展出不同时代的收音机、电视、摄影机、麦克等稀有、又具历史意义的广播电视设备。 *广播室：可透过玻璃参观配音员与技术员工制作广播剧的现场，还可参观制作风声、雷声等音效的设备。 *主播区：可参观从1927年开馆以来历届KBS主播的照片与视频。 *新闻体验区：亲自成为KBS主播的体验区。体验者可以打开麦克风像主播一样读提词机上的稿子。 *体育赛事区：可观看KBS曾播出的足球、篮球、马拉松、奥运匹克转播等体育赛事的精彩片段，且参观体育新闻制作过程以及转播技术。 *立体电视区：戴上3D特殊眼镜观看立体电视，在不久的未来会发明出不需戴眼镜的立体电视。 *色度键区：体验影像合成技术的一种——色度键技术。在蓝色背景舞台成为一名天气预报员。穿上备好的蓝色披肩还可成为透明人。平日预约团体可在“进入色度键当中”下载体验时拍摄的照片。  [展厅分布] 2层：大厅 5层：广播室、迷你博物馆、主播区 4层：新闻体验区、体育区、立体电视区、立体影像体验馆、色度键区、镭射馆、卡通人物区 
12,观光列车HEARANG号(레일크루즈 해랑열차),首尔特别市龙山区汉江大道405(东子洞)서울특별시 용산구 한강대로 405 (동자동),##한국#관광지#관광명소#여행지,KORAIL旅游开发 法人事业处 HAERANG组 +82-1544-7755 +82-2-2084-7749,www.railcruise.co.kr,,http://tong.visitkorea.or.kr/cms/resource/43/2440943_image2_1.JPG,,,
13,格兰德华克山庄River Park(户外游泳场)그랜드 워커힐 리버파크(야외수영장),首尔特别市广津区华克山庄路 177(光藏洞)서울특별시 광진구 워커힐로 177 (광장동),##한국#관광지#관광명소#여행지,http://www.walkerhill.com/（韩英）,,,http://tong.visitkorea.or.kr/cms/resource/34/2509334_image2_1.jpg,,,格兰德华克山庄River Park游泳场是钻透地下的花岗岩而获得的拥有丰富矿物质的天然地下水来打造的游泳场。从1994年开业以来每到夏季都受到了访客们的喜爱。位于汉江与峨嵯山旁，能感到大自然的气息。拥有国际标准的主泳池(50mx19m)、流水池、幼儿专用池等。泳池边餐厅内提供夏季特选午餐，想要小麦色皮肤的客人还可以享受泳池边的250张沙滩床。
14,清潭公园(청담공원),首尔特别市江南区永东大路131街26(清潭洞)서울특별시 강남구 영동대로131길 26 (청담동),##한국#관광지#관광명소#여행지,江南区公园绿地科 +82-2-3423-6245 ,http://gangnam.go.kr/portal/main/contents.do?menuNo=201284,,http://tong.visitkorea.or.kr/cms/resource/00/204200_image2_1.jpg,,,
15,梧桐近邻公园(오동근린공원),首尔特别市江北区樊洞서울특별시 강북구 덕릉로42길 49 (번동),##한국#관광지#관광명소#여행지,绿色都市科(梧桐紧邻公园)+82-2-901-6923,www.seoul.go.kr,,http://tong.visitkorea.or.kr/cms/resource/39/2025939_image2_1.jpg,,,
16,延南洞연남동 ,首尔特别市麻浦区东桥路 39街 11,##한국#관광지#관광명소#여행지,韩国旅游咨询热线：+82-2-1330,,,http://tong.visitkorea.or.kr/cms/resource/13/2484013_image2_1.jpg,,,
17,后SPA(Whoo SPA),首尔特别市江南区鹤洞路21路52,##한국#관광지#관광명소#여행지,02-3446-5157,,,http://tong.visitkorea.or.kr/cms/resource/11/2480911_image2_1.jpg,,,
18,蚕室观光特区(잠실 관광특구),首尔松坡区蚕室洞、新川洞、石村洞、松坡洞、芳夷洞一带서울특별시 송파구 올림픽로 240 (잠실동),##한국#관광지#관광명소#여행지,国际观光负责机构(观光特区) +82-2-2147-2114,http://culture.songpa.go.kr,,http://tong.visitkorea.or.kr/cms/resource/19/722919_image2_1.jpg,,,
19,乐天世界水族馆(롯데월드 아쿠아리움),首尔特别市松坡区奥林匹克路300(新川洞)서울특별시 송파구 올림픽로 300 (신천동),##한국#관광지#관광명소#여행지,+82-1661-2000,,,http://tong.visitkorea.or.kr/cms/resource/45/2384845_image2_1.jpg,,,
20,世宗大学博物馆(세종대학교박물관),首尔特别市广津区陵洞路209(君子洞)서울특별시 광진구 능동로 209 (군자동),##한국#관광지#관광명소#여행지,世宗大学博物馆 +82-2-3408-38763076 代表电话 +82-2-3408-3114,,,http://tong.visitkorea.or.kr/cms/resource/41/1504741_image2_1.jpg,,,      世宗大学博物馆内分门别类地展有该校创立者朱宁河和崔玉子两位博士经过40多年所收集到的民俗品、木工艺品、装饰品、陶瓷、书画等物品。      该博物馆在1959年原本是附属于忠武路校舍的“首都画廊”，随着校舍于1965年搬至君子洞，1965年在世宗馆的1楼设置了民俗馆，1968年8月，在目前爱智轩的北侧重新扩建了民俗馆，作为一处常设展示厅，它为学术研究奠定了基础。此后，1973年5月5日，带有韩国固有百济塔风格的4层钢筋混凝土建筑竣工并开馆，1977年5月20日又实施了扩建。学校1979年正式更名为世宗大学，博物馆名称也改为世宗博物馆，并一直延用至今。该博物馆可为研究韩国文化、艺术、民俗、考古学等方向的学者及学生提供鲜活的历史实物。规模 建筑总面积 4959m²展示馆介绍 * 1层考古室  * 2层民俗室 - 呈传统家宅形态，再现了两班贵族的厨房、闺房、大厅、走廊、新娘房、舍廊坊等设施，用农家的稻草进行了装饰，通过民俗室可让游客了解到韩国人祖先的生活方式和生活智慧，观看到先祖们曾使用过的各种工具 * 3层服装室 - 展有古时皇帝的龙袍、皇后的礼服、文武大臣的朝服、武馆的军服、书生的道袍以及百姓的衣裳等 * 4层小型木工艺品 - 展有小型木质工艺品和民俗工艺品  * 5层大型木工艺品 - 主要展有闺房、舍廊坊、厨房中使用的橱柜等洗手间 有开放时间 周一~周五 10:00~15:00门票 免费停车设施 可以停车信息提供 信息提供者 : 世宗大学博物馆
21,东大门设计广场(DDP)동대문디자인플라자(DDP),首尔特别市中区乙支路281(乙支路7街)서울특별시 중구 을지로 281 (을지로7가),##한국#관광지#관광명소#여행지,DDP咨询 +82-2-2153-0410,http://www.ddp.or.kr,,http://tong.visitkorea.or.kr/cms/resource/73/1902773_image2_1.jpg,,,一直坚持更新、不停完善自己的地方汇集了做梦(Dream) 设计(Design) 分享(Play)等深意的DDP(东大门设计广场)是进行展示、时尚秀、博览活动、表演活动等国内外主要活动的场所。如果游客希望进行建筑内部游览的话，可通过主页确认现场报名事宜、活动日程、儿童活动等相关信息并可以在线申请。
22,平康圣书遗物博物馆(평강성서유물 박물관),首尔特别市九老区梧柳路8ra街44(梧柳洞)서울특별시 구로구 오류로8라길 44 (오류동),##한국#관광지#관광명소#여행지,平康圣经遗物博物馆 +82-2-2686-9496,,,http://tong.visitkorea.or.kr/cms/resource/43/1865343_image2_1.jpg,,,      平康圣经遗物博物馆是韩国唯一一家古代及博物馆，对于圣经历史感兴趣的基督教徒及普通人来说，可以通过参观这里来更进一步地了解到圣书的历史，而对于非基督教徒来说，从历史的角度了解下基督教的发展历程也是不错的选择。      平康教会教育馆内设置的圣书遗物博物馆展有古埃及与东方文明相关的珍贵遗物2千余件，这里的展品是由美国著名考古学家KennethVine博士(前加利福尼亚洛马林达大学校长)用尽一生进行发掘、收集的贵重文物，来此参观的游人总是络绎不绝。规模 建筑总面积 1190㎡ (地上6层、地下1层)体验活动 利用莎草纸制作圣经卷轴 制作古埃及青铜镜 制作古埃及木乃伊假面 制作古代世界地图拼图 ※ 预约制，+82-2-2686-9496 ※ 体验活动根据博物馆的实际情况可能有所变动年龄限制 小学生以上展示馆介绍 * 第一展厅 : 上帝的创造* 第二展厅 : 人类的堕落* 第三展厅 : 人类的恢复与永生之路  * 企划展厅主要设施 [1层] 售票处 咖啡厅[2层] 纪念品商店. 办公室[3层] 第1展示室[4层] 第2展示室 第3展示室[5层] 企划展示室洗手间 有开放时间 平日 10:00~17:00 / 周日 13:00~17:00※ 入场截止至闭馆前30分钟门票 高中生以上的成人2000韩元 / 小学生、初中生 1000韩元 团体(20人以上) 1000韩元 ※ 6岁以下、残疾人、65岁以上：免费(6岁以下儿童需与监护人或指导教师同行)预约 团体参观时可通过电话或官网进行预约  展示咨询及团体参观咨询：+82-2-2686-9496停车设施 可以停车停车费用 免费信息提供 信息提供者 : 平康圣书遗物博物馆
23,韩国礼仪文化院한국예절문화원,首尔特别市麻浦区成美山路 107(延南洞)(延南洞)서울특별시 마포구 성미산로 107 (연남동),##한국#관광지#관광명소#여행지,+82-2-391-1988 (韩国礼仪文化院),,,http://tong.visitkorea.or.kr/cms/resource/92/2376892_image2_1.jpg,,,
24,水西站(SRT)수서역(SRT) ,首尔特别市江南区水西洞,##한국#관광지#관광명소#여행지,SR https://etk.srail.co.kr (韩),,,http://tong.visitkorea.or.kr/cms/resource/57/2470457_image2_1.jpg,,,
25,世宗大王铜像(세종대왕 동상),首尔特别市钟路区世宗大路175(世宗路)서울특별시 종로구 세종대로 175 (세종로),##한국#관광지#관광명소#여행지,首尔咨询 +82-2-120,,,http://tong.visitkorea.or.kr/cms/resource/41/2549141_image2_1.jpg,,,
26,忠武公李舜臣铜像(충무공 이순신 동상),首尔特别市钟路区世宗大路175(世宗路)서울특별시 종로구 세종대로 175 (세종로),##한국#관광지#관광명소#여행지,首尔咨询 +82-2-120,,,http://tong.visitkorea.or.kr/cms/resource/09/1568209_image2_1.jpg,,,
27,黄鹤亭(황학정),首尔特别市钟路区社稷路9街15-32(社稷洞)서울특별시 종로구 사직로9길 15-32 (사직동),##한국#관광지#관광명소#여행지,社团法人 黄鹤亭 +82-2-738-5784,http://www.hwanghakjeong.org,,http://tong.visitkorea.or.kr/cms/resource/25/1568125_image2_1.jpg,,,
28,Art Link画廊(갤러리 아트링크),首尔特别市钟路区栗谷路3街66-17(安国洞)서울특별시 종로구 율곡로3길 66-17 (안국동),##한국#관광지#관광명소#여행지,Art Link画廊 +82-2-738-0738,,,http://tong.visitkorea.or.kr/cms/resource/94/1895694_image2_1.jpg,,,      ArtLink画廊建于2003年3月，是一处展示创作作家作品的地方，旨在向游客展现充满艺术家正能量的作品，积极推广美术事业，通过ArtLink画廊的线上和线下空间促使现代美术与大众美术之间进行融洽的交流与沟通。事业内容 1) 传承韩国现代美术的精髓，以仁寺洞的Art Link画廊为中心，将充满感性与热情的艺术作品展示给大众2) 与拥有多年现场经验的艺术咨询师一同进行艺术作品租赁项目 3) 将现代美术作品融入百姓的日常生活，设置公共美术展示作品 4) 以全球化为宗旨，举行各种教育性的大型企划展洗手间 有开放时间 周二~周六 10:00~18:00周日 12:00~17:00门票 免费停车设施 不可以停车信息提供 信息提供者 : Art Link画廊
29,西小门近邻公园(서소문근린공원),首尔特别市中区七牌路5(义州路2街)서울특별시 중구 칠패로 5  (의주로2가),##한국#관광지#관광명소#여행지,公园绿地科(公园组) +82-2-3396-5895,,,http://tong.visitkorea.or.kr/cms/resource/02/1569102_image2_1.jpg,,,
30,圜丘坛(환구단),首尔特别市中区小公路112(小公洞)서울특별시 중구 소공로 112 (소공동),##한국#관광지#관광명소#여행지,公园绿地科(文化财) +82-2-3396-5882,http://www.junggu.seoul.kr/tour/http://www.cha.go.kr,,http://tong.visitkorea.or.kr/cms/resource/66/1946566_image2_1.jpg,,,
31,首尔芳夷洞古坟群(서울 방이동 고분군),首尔特别市松坡区芳夷洞山47-4(芳夷洞)서울특별시 송파구 오금로 219 (방이동),##한국#관광지#관광명소#여행지,+82-2-412-0363,www.songpa.go.kr/www.cha.go.kr,,http://tong.visitkorea.or.kr/cms/resource/46/741946_image2_1.jpg,,,      这里是1975年在对蚕室地区进行土地开发过程中发现的古坟遗址。截止至1976年，已在这里发现了8座古坟，1983年在此进行了复原工程，将其打造成了公园。古坟所在地芳夷洞一带原本是海拔30~50米的丘陵，经开发后得以整平，形成了现有的平地。1~6号坟位于同一丘陵处，7号和8号坟则位于另一丘陵上，两座丘陵之间有一定的距离。这里所有坟墓的上端封土均呈圆形。坟墓内部是在泥土之上用石头搭成方形或正方形的玄室，设有玄道，每个墓冢均略有差异。虽然这里大部分坟墓都遭遇过盗墓，但仍在部分坟墓中挖掘到了灰青色坚硬的高脚盘子和坛子。发掘当时因推测这些遗物出自百济时代，于是将坟墓群的名称命名为百济古坟群，但后经调查研究，断定这些遗物产于统一新罗时代。指定 [首尔芳夷洞古坟群] 史迹第270号(1979.12.28 指定)休息日 年中无休需要时间 1小时停车设施 百济古坟群入口旁停车场(空间狭小)容纳人数 200名入场费 免费可用设施 无卫生间 有韩语信息服务不提供韩语咨询服务
32,首尔石村洞古墓群(서울 석촌동 고분군),首尔特别市松坡区驾洛路11街19-5(石村洞)서울특별시 송파구 가락로11길 19-5 (석촌동),##한국#관광지#관광명소#여행지,松坡观光咨询中心 +82-2-421-0970~1 ,http://www.songpa.go.kr/http://www.cha.go.kr,,http://tong.visitkorea.or.kr/cms/resource/89/203889_image2_1.jpg,,,      这里的积石冢是在开发蚕室地区之时挖掘出来的，由于毁坏严重，虽无法确认整体规模，但其中的3号坟墓呈现出公元前后高句丽时代的墓冢形态，是一处祭坛式的积石冢。3号墓地是将略微突起的地形整平后，在其下侧布上边框，用大而长的石头围在四周，用自然石堆积基坛，以此塑造出的三层墓冢。该古坟是继曾位于高句丽地区满洲通沟的将军冢之后的第二大古坟，东西长49.6米，南北长43.7米，高4米。据推测，这里可能是高句丽人南下在汉江流域建立百济时初期领导者的墓地。4号坟呈正方形，与3号坟的建造方式相似，均为积石冢，在这里出土了众多百济初期的软质土器碎片，古坟的附近还发现了一只用黄金制成的细环式耳环。5号坟目前还未能彻底进行挖掘调查，虽无法确认其中墓阁的构造和遗物，但据推测，这里大概与1、2号坟属相同构造。在古坟群中被指定为史迹第243号的坟墓是3号和4号积石冢。推测建于百济初期的积石冢对于研究百济全盛期4世纪的对外关系及三国时代文化有着极高的价值。尤其是与高句丽的积石冢相比，这里的古坟在规模及完成度上毫不逊色，由此可以推断出三国时代初期百济盛世的情况。此外，还可推测出百济统治阶级拥有高句丽的血统。指定 [首尔石村洞古坟群] 史迹第243号(1975.05.27 指定)停车设施 可以停车(请使用公营停车场)入场费 免费可用设施 无卫生间 有
33,汉阳都城博物馆(한양도성박물관),首尔特别市钟路区栗谷路283(钟路6街)서울특별시 종로구 율곡로 283 (종로6가),##한국#관광지#관광명소#여행지,汉阳都城博物馆 +82-2-724-0243,,,http://tong.visitkorea.or.kr/cms/resource/90/2033890_image2_1.jpg,,,
34,南山首尔塔韩服文化体验馆(남산서울타워 한복문화체험관),首尔特别市龙山区南山公园路105(龙山洞2街)서울특별시 용산구 남산공원길 105 (용산동2가),##한국#관광지#관광명소#여행지,韩服文化体验馆 +82-2-772-9388,www.heegwan.com,,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,,,
35,翰林国际研究生院(한림국제대학원대학교),首尔特别市江南区驿三路405(大峙洞)서울특별시 강남구 역삼로 405 (대치동),##한국#관광지#관광명소#여행지,+82-2-3453-9333,,,http://tong.visitkorea.or.kr/cms/resource/22/1364022_image2_1.jpg,,,
36,首尔风纳洞土城(서울 풍납동 토성),首尔特别市松坡区风纳1洞72-1号(风纳洞)서울특별시 송파구 풍납동,##한국#관광지#관광명소#여행지,+82-2-470-0996,culture.songpa.go.kr,,http://tong.visitkorea.or.kr/cms/resource/13/566413_image2_1.jpg,,,
